,Participant Public ID,Response,Absolute Reaction Time, Emergence,Group,Segment
0,5e6627a7ef80c639ac28b01a,4,21296.589,-3.687048033,A_8,9
1,5e6627a7ef80c639ac28b01a,6,14074.3459999523,-7.927380688,B_1,14
2,5e6627a7ef80c639ac28b01a,3,20737.6,-2.965515633,B_8,27
3,5e6627a7ef80c639ac28b01a,3,25821.0689999523,-8.374948225,B_8,8
4,5e6627a7ef80c639ac28b01a,4,15061.807,-3.506699797,B_1,13
5,5e6627a7ef80c639ac28b01a,6,14325.624,-3.163551028,B_9,11
6,5e6627a7ef80c639ac28b01a,5,21929.1749999046,-2.291627766,B_1,8
7,5e6627a7ef80c639ac28b01a,4,12804.5449998092,-9.791320821,B_4,15
8,5e6627a7ef80c639ac28b01a,4,15558.3439998569,-2.435159885,A_4,1
9,5e6627a7ef80c639ac28b01a,4,13740.913,-6.904784133,B_3,7
10,5e6627a7ef80c639ac28b01a,6,17341.9509998569,-1.816719176,B_4,29
11,5e6627a7ef80c639ac28b01a,5,19188.891,-4.407616847,B_6,15
12,5e6627a7ef80c639ac28b01a,4,13296.339,-3.861289926,B_6,16
13,5e6627a7ef80c639ac28b01a,4,17032.7539998569,-4.185638287,B_8,6
14,5e6627a7ef80c639ac28b01a,4,14024.8669999999,-6.444767915,B_3,10
15,5e6627a7ef80c639ac28b01a,4,15033.4579999046,-2.079079814,B_8,31
16,5e6627a7ef80c639ac28b01a,4,20862.1449999999,-14.65822495,B_5,16
17,5e6627a7ef80c639ac28b01a,4,12784.2989999523,0.397452619,A_10,6
18,5e6627a7ef80c639ac28b01a,3,14319.5209998092,-13.93957059,B_5,25
19,5e6627a7ef80c639ac28b01a,3,18953.1939999522,-3.631017974,B_9,9
20,5e6627a7ef80c639ac28b01a,3,13749.135,-4.965864688,A_8,16
21,5e6627a7ef80c639ac28b01a,4,11133.0539999999,-0.739297686,B_9,1
22,5e6627a7ef80c639ac28b01a,4,13035.0529999523,-2.857006458,A_9,2
23,5e6627a7ef80c639ac28b01a,6,12768.6379998569,-1.270255393,A_8,26
24,5e6627a7ef80c639ac28b01a,6,12950.0459998569,-3.510375965,B_4,27
25,5e6627a7ef80c639ac28b01a,3,14486.5779998092,-4.52710375,A_8,28
26,5e6627a7ef80c639ac28b01a,3,14572.7399999523,-2.52338575,A_2,15
27,5e6627a7ef80c639ac28b01a,4,15840.9189999999,-0.035674578,A_6,16
28,5e6627a7ef80c639ac28b01a,3,18070.494,-3.49417207,B_4,5
29,5e6627a7ef80c639ac28b01a,4,18956.471,-2.719889736,B_6,14
30,5e6627a7ef80c639ac28b01a,4,14875.0209998569,-10.38416359,B_5,26
31,5e6627a7ef80c639ac28b01a,3,27849.812,-9.28984405,B_2,2
32,5e6627a7ef80c639ac28b01a,4,16447.3179999999,-1.150484166,B_4,31
33,5e6627a7ef80c639ac28b01a,2,20193.3329999999,-7.748238146,A_8,7
34,5e6627a7ef80c639ac28b01a,3,15604.0759998093,-8.322744277,A_8,19
35,5e6627a7ef80c639ac28b01a,3,56197.5589999046,-6.72708084,B_8,30
36,5e6627a7ef80c639ac28b01a,3,21871.3769999523,-7.039451695,A_2,11
37,5e6627a7ef80c639ac28b01a,3,8938.43599980929,-2.847511121,A_8,27
38,5e6627a7ef80c639ac28b01a,3,15262.8209999999,-5.962353125,A_5,16
39,5e6627a7ef80c639ac28b01a,2,12637.1150000001,-8.93960136,A_8,18
40,5e6627a7ef80c639ac28b01a,2,15996.3329998569,-6.942226839,B_5,18
41,5e6627a7ef80c639ac28b01a,2,18628.258,-9.276196879,B_4,24
42,5e6627a7ef80c639ac28b01a,2,18098.8249998569,-1.659493527,B_8,1
43,5e6627a7ef80c639ac28b01a,2,9653.07799990463,-4.523052519,B_4,2
44,5e6627a7ef80c639ac28b01a,2,11646.336,-6.280622331,A_8,22
45,5e6627a7ef80c639ac28b01a,3,27973.9949998093,-4.742739564,A_9,11
46,5e6627a7ef80c639ac28b01a,2,104367.527999904,-6.453250851,B_5,31
47,5e6627a7ef80c639ac28b01a,2,16062.7149998568,-7.301894966,A_5,11
48,5e6627a7ef80c639ac28b01a,2,27457.2539998092,-4.87659682,A_5,13
49,5e6627a7ef80c639ac28b01a,1,21396.9389999998,-18.49240868,B_3,2
50,5e6627a7ef80c639ac28b01a,2,26761.2829998569,-5.414115297,B_9,7
51,5e6627a7ef80c639ac28b01a,3,22076.7269999046,-7.302097552,B_8,33
52,5e6627a7ef80c639ac28b01a,2,33917.5319999997,-9.475295261,B_9,12
53,5e6627a7ef80c639ac28b01a,2,9822.64599990472,-7.608836855,B_5,29
54,5e6627a7ef80c639ac28b01a,7,13139.131,0.250040899,A_8,13
55,5e6627a7ef80c639ac28b01a,6,14498.5919999999,-13.5130883,B_3,3
56,5e6627a7ef80c639ac28b01a,4,14608.4259998092,-7.234171456,B_6,4
57,5e6627a7ef80c639ac28b01a,4,13570.7409998092,-5.536880716,B_1,4
58,5e6627a7ef80c639ac28b01a,4,15923.8019999999,-6.64730983,B_6,7
59,5e6627a7ef80c639ac28b01a,6,17468.6720000002,-1.810492625,B_4,33
60,5e6627a7ef80c639ac28b01a,4,22692.0279999999,-18.26361652,B_8,17
61,5e6627a7ef80c639ac28b01a,3,18930.9129999522,-7.30771808,B_4,3
62,5e6627a7ef80c639ac28b01a,3,14988.3489999524,-2.069552363,A_6,14
63,5e6627a7ef80c639ac28b01a,3,25030.2379999524,-12.47410887,B_5,13
64,5e6627a7ef80c639ac28b01a,3,19422.2399998093,-5.818038828,B_8,34
65,5e6627a7ef80c639ac28b01a,3,12218.884999857,-7.330728107,B_8,25
66,5e6627a7ef80c639ac28b01a,3,12602.7450000001,-6.653581611,B_1,10
67,5e6627a7ef80c639ac28b01a,5,14270.448999857,-3.520670777,B_7,3
68,5e6627a7ef80c639ac28b01a,7,10410.3719998092,-1.456804112,A_8,14
69,5e6627a7ef80c639ac28b01a,4,8826.53200000012,-4.548131178,A_9,13
70,5e6627a7ef80c639ac28b01a,4,19976.1,-3.364133847,B_1,11
71,5e6627a7ef80c639ac28b01a,3,31268.8849999522,-5.464177924,A_9,12
72,5e6627a7ef80c639ac28b01a,5,14490.8459999046,-5.48546317,B_3,4
73,5e6627a7ef80c639ac28b01a,4,14081.2699999522,-6.8355978,B_8,13
74,5e6627a7ef80c639ac28b01a,3,16059.2019998093,-12.94617444,B_5,3
75,5e6627a7ef80c639ac28b01a,3,16448.9399999999,-5.151937487,B_6,17
76,5e6627a7ef80c639ac28b01a,4,14152.199,-1.168641661,B_7,1
77,5e6627a7ef80c639ac28b01a,4,22483.4550000003,-2.058963148,B_1,2
78,5e6627a7ef80c639ac28b01a,7,20221.1649998568,1.783964827,B_1,17
79,5e6627a7ef80c639ac28b01a,6,15972.1129998092,-0.254172765,A_6,12
80,5e6627a7ef80c639ac28b01a,3,17811.5209999047,-5.399644686,A_6,2
81,5e6627a7ef80c639ac28b01a,3,15904.5359999523,-5.528520129,A_5,2
82,5e6627a7ef80c639ac28b01a,2,33800.682,-5.425430602,B_4,6
83,5e6627a7ef80c639ac28b01a,2,16380.1599998092,-9.274604834,B_6,12
84,5e6627a7ef80c639ac28b01a,2,14509.6089999997,-2.652179704,A_9,5
85,5e6627a7ef80c639ac28b01a,3,34095.3489999047,-2.440604258,A_2,1
86,5e6627a7ef80c639ac28b01a,3,9545.63500000001,-9.051262838,A_8,6
87,5e6627a7ef80c639ac28b01a,3,11511.8639999523,-5.052638784,A_9,29
88,5e6627a7ef80c639ac28b01a,6,8990.20999980927,-1.870533943,A_6,11
89,5e6627a7ef80c639ac28b01a,5,21007.4969999999,-6.90688691,A_8,10
90,5e6627a7ef80c639ac28b01a,3,4989.31299980916,-9.003365766,A_9,32
91,5e6627a7ef80c639ac28b01a,3,35705.6810000003,-4.071521393,B_9,6
