,Group,Label,Answer,Emerged,Manual
0,A_2,No,No not really I'm not that sure of what happened and why it did,0,1
1,A_2,Neutral,,0,1
2,A_2,Yes,Walking in the same direction,0,1
3,A_2,No,I think that when more people move in the same direction at the same time something happened I don't think a circle would have worked,0,1
4,A_2,Yes,Yes,0,1
5,A_2,No,No,0,1
6,A_2,Yes,"Somewhat, but when we synced I wanted to continue to experiment to see if we could I sync",0,1
7,A_3,Yes,"Yes as we started moving together in a circular motion, the lights started going on and off in sync",1,0
8,A_3,No,No,1,0
9,A_3,Yes,Following the person in front and matching their pace,1,0
10,A_3,Yes,Eventually yes,1,0
11,A_3,Yes,It seemed like the flashing was beginning to synchronise,1,0
12,A_3,Yes,The lights seem to be aligning so carried on,1,0
13,A_3,Yes,I believe that the above strategies worked and  also that moving in a circle had a positive impact,1,0
14,A_3,Yes,Yes,1,0
15,A_3,Neutral,,1,0
16,A_3,No,No,1,0
17,A_4,No,A little bit – the blinking synced with nearby people – but I wasn't sure it was working,1,0
18,A_4,Yes,"Changing direction, following others",1,0
19,A_4,No,Not really,1,0
20,A_4,No,Not really – perhaps keeping in pace and trying to find a way of forming a pattern but I was surprised when lights changed,1,0
21,A_4,Yes,I thought as we looked at each other the hats lit up,1,0
22,A_4,No,No,1,0
23,A_4,No,Not really,1,0
24,A_5,Neutral,Numbers 2 and 3,0,1
25,A_5,No,Not really,0,1
26,A_5,Yes,When we all moved in unison,0,1
27,A_5,Neutral,All of them within a measure,0,1
28,A_5,Yes,Group movement,0,1
29,A_5,No,"Not much, maybe",0,1
30,A_5,Yes,Possibly constant spacing and speed,0,1
31,A_5,No,No,0,1
32,A_5,Neutral,Lining up with others ultimately seemed to work but I couldn't be sure what actually put us in synch,0,1
33,A_6,Yes,Yes,1,0
34,A_6,Yes,Proximity to others,1,0
35,A_6,Yes,"When we started walking in a circle it seemed like some people were syncing up, especially if close",1,0
36,A_6,Neutral,Testing it multiple times,1,0
37,A_6,Yes,"Yes, walking in a circle with the group",1,0
38,A_6,Yes,"Not initially, but we adapted accordingly when the synchronisation happened",1,0
39,A_6,Yes,"When all lights was synched,  knew we were doing right thing",1,0
40,A_6,Yes,Yes,1,0
