19:02:19.489 XYZ [[2.57, 4.56, 1.5], [3.44, 4.09, 1.5], [1.62, 4.06, 1.65]]
19:02:19.627 XYZ [[2.61, 4.56, 1.46], [3.45, 4.09, 1.52], [1.72, 3.16, 1.39], [1.59, 4.08, 1.63]]
19:02:19.710 XYZ [[2.64, 4.54, 1.45], [3.46, 4.09, 1.53], [1.7, 3.14, 1.4], [1.6, 4.09, 1.63]]
19:02:19.794 XYZ [[2.66, 4.53, 1.46], [3.45, 4.07, 1.54], [1.68, 3.13, 1.42], [1.62, 4.11, 1.6]]
19:02:19.877 XYZ [[2.66, 4.53, 1.46], [2.81, -1.05, 1.47], [3.44, 4.07, 1.55], [1.67, 3.13, 1.43], [1.62, 4.11, 1.59]]
19:02:19.960 XYZ [[2.66, 4.52, 1.45], [2.81, -1.07, 1.48], [3.44, 4.07, 1.56], [1.66, 3.11, 1.45], [1.64, 4.11, 1.55]]
19:02:20.044 XYZ [[2.64, 4.5, 1.45], [2.8, -1.07, 1.48], [3.41, 4.09, 1.58], [1.66, 3.09, 1.44], [1.66, 4.11, 1.53]]
19:02:20.127 XYZ [[2.63, 4.5, 1.44], [2.81, -1.08, 1.49], [3.42, 4.07, 1.59], [1.65, 3.08, 1.41], [1.66, 4.11, 1.52]]
19:02:20.211 XYZ [[2.63, 4.5, 1.44], [2.79, -1.06, 1.48], [3.43, 4.07, 1.59], [1.65, 3.07, 1.4], [1.66, 4.12, 1.51]]
19:02:20.294 XYZ [[2.63, 4.49, 1.44], [2.79, -1.04, 1.47], [3.43, 4.07, 1.6], [1.66, 3.04, 1.38], [1.66, 4.11, 1.48]]
19:02:20.378 XYZ [[2.63, 4.48, 1.43], [2.79, -1.03, 1.46], [3.43, 4.07, 1.58], [1.66, 3.04, 1.37], [1.67, 4.11, 1.46]]
19:02:20.461 XYZ [[2.63, 4.48, 1.46], [2.8, -1.04, 1.44], [3.42, 4.06, 1.59], [1.68, 3.04, 1.34], [1.67, 4.11, 1.46]]
19:02:20.545 XYZ [[2.62, 4.47, 1.43], [2.8, -1.05, 1.44], [3.42, 4.04, 1.56], [1.7, 3.03, 1.34], [1.68, 4.12, 1.45]]
19:02:20.629 XYZ [[2.61, 4.47, 1.43], [2.79, -1.04, 1.43], [3.42, 4.05, 1.56], [1.69, 3.03, 1.33], [1.68, 4.11, 1.45]]
19:02:20.712 XYZ [[2.6, 4.46, 1.43], [2.82, -1.05, 1.45], [3.42, 4.04, 1.56], [1.71, 3.05, 1.3], [1.68, 4.1, 1.44]]
19:02:20.795 XYZ [[2.59, 4.47, 1.42], [2.8, -1.05, 1.46], [3.44, 4.04, 1.56], [1.72, 3.03, 1.27], [1.65, 4.11, 1.43]]
19:02:20.879 XYZ [[2.57, 4.48, 1.4], [2.79, -1.07, 1.46], [3.42, 4.03, 1.57], [1.73, 3.03, 1.27], [1.64, 4.1, 1.45]]
19:02:20.962 XYZ [[2.58, 4.48, 1.39], [2.8, -1.06, 1.46], [3.41, 4.04, 1.6], [1.75, 3.03, 1.25], [1.63, 4.11, 1.46]]
19:02:21.046 XYZ [[2.57, 4.51, 1.39], [2.8, -1.05, 1.45], [3.43, 4.03, 1.61], [1.76, 3.05, 1.24], [1.62, 4.1, 1.47]]
19:02:21.129 XYZ [[2.57, 4.51, 1.39], [2.8, -1.04, 1.43], [3.42, 4.04, 1.62], [1.75, 3.05, 1.23], [1.61, 4.11, 1.47]]
19:02:21.213 XYZ [[2.56, 4.52, 1.4], [2.8, -1.04, 1.42], [3.44, 4.03, 1.6], [1.75, 3.04, 1.2], [1.61, 4.11, 1.47]]
19:02:21.296 XYZ [[2.54, 4.52, 1.39], [2.79, -1.03, 1.41], [3.44, 4.03, 1.6], [1.74, 3.06, 1.23], [1.61, 4.11, 1.47]]
19:02:21.380 XYZ [[2.53, 4.52, 1.42], [2.76, -0.97, 1.39], [3.45, 4.05, 1.6], [1.73, 3.08, 1.26], [1.61, 4.11, 1.48]]
19:02:21.463 XYZ [[2.53, 4.52, 1.42], [2.73, -0.9, 1.38], [3.46, 4.05, 1.61], [1.72, 3.12, 1.28], [1.61, 4.12, 1.49]]
19:02:21.547 XYZ [[2.5, 4.53, 1.43], [2.72, -0.88, 1.38], [3.46, 4.05, 1.61], [1.74, 3.13, 1.3], [1.62, 4.12, 1.48]]
19:02:21.630 XYZ [[2.47, 4.54, 1.4], [2.7, -0.83, 1.41], [3.46, 4.05, 1.61], [1.75, 3.15, 1.3], [1.62, 4.11, 1.49]]
19:02:21.713 XYZ [[2.46, 4.55, 1.4], [2.68, -0.78, 1.41], [3.46, 4.05, 1.61], [1.77, 3.15, 1.27], [1.63, 4.1, 1.49]]
19:02:21.797 XYZ [[2.45, 4.56, 1.4], [2.67, -0.73, 1.41], [3.46, 4.05, 1.61], [1.78, 3.16, 1.28], [1.63, 4.1, 1.5]]
19:02:21.880 XYZ [[2.45, 4.56, 1.4], [2.67, -0.71, 1.41], [3.46, 4.05, 1.61], [1.8, 3.16, 1.29], [1.64, 4.1, 1.49]]
19:02:21.964 XYZ [[2.45, 4.56, 1.4], [2.67, -0.68, 1.41], [3.46, 4.05, 1.61], [1.81, 3.16, 1.3], [1.65, 4.09, 1.49]]
19:02:22.047 XYZ [[2.41, 4.56, 1.38], [2.66, -0.66, 1.41], [3.4, 4.06, 1.63], [1.8, 3.16, 1.3], [1.64, 4.1, 1.47]]
19:02:22.131 XYZ [[2.38, 4.57, 1.4], [2.66, -0.64, 1.41], [3.39, 4.07, 1.62], [1.78, 3.16, 1.31], [1.63, 4.09, 1.47]]
19:02:22.214 XYZ [[2.38, 4.56, 1.43], [2.65, -0.62, 1.42], [3.4, 4.06, 1.59], [1.78, 3.15, 1.32], [1.63, 4.09, 1.44]]
19:02:22.298 XYZ [[2.38, 4.57, 1.43], [2.65, -0.62, 1.42], [3.41, 4.07, 1.58], [1.77, 3.14, 1.34], [1.63, 4.09, 1.44]]
19:02:22.381 XYZ [[2.36, 4.57, 1.46], [2.66, -0.6, 1.42], [3.4, 4.09, 1.57], [1.76, 3.11, 1.33], [1.61, 4.11, 1.41]]
19:02:22.465 XYZ [[2.36, 4.58, 1.48], [2.66, -0.59, 1.4], [3.38, 4.11, 1.57], [1.76, 3.09, 1.33], [1.59, 4.11, 1.42]]
19:02:22.548 XYZ [[2.39, 4.6, 1.5], [2.66, -0.59, 1.4], [3.38, 4.13, 1.58], [1.76, 3.06, 1.34], [1.59, 4.11, 1.42]]
19:02:22.632 XYZ [[2.4, 4.62, 1.51], [2.66, -0.59, 1.41], [3.38, 4.14, 1.6], [1.74, 3.01, 1.36], [1.6, 4.12, 1.43]]
