19:04:03.855 XYZ [[1.6, 3.33, 1.51], [3.17, 1.7, 1.48], [3.02, 3.46, 1.21], [2.42, 4.35, 1.38], [1.59, 4.15, 1.6]]
19:04:03.960 XYZ [[1.61, 3.33, 1.51], [3.08, 1.75, 1.48], [3.0, 3.44, 1.19], [2.4, 4.36, 1.42], [1.6, 4.16, 1.63]]
19:04:04.043 XYZ [[1.62, 3.32, 1.5], [3.03, 1.76, 1.47], [3.01, 3.42, 1.19], [2.4, 4.36, 1.43], [1.6, 4.16, 1.63]]
19:04:04.127 XYZ [[1.62, 3.32, 1.5], [2.99, 1.8, 1.49], [3.0, 3.41, 1.19], [2.4, 4.36, 1.45], [1.61, 4.17, 1.63]]
19:04:04.210 XYZ [[1.63, 3.31, 1.49], [2.96, 1.8, 1.46], [2.98, 3.42, 1.18], [2.38, 4.35, 1.5], [1.61, 4.17, 1.64]]
19:04:04.293 XYZ [[1.63, 3.3, 1.46], [2.91, 1.8, 1.43], [2.95, 3.44, 1.17], [2.39, 4.35, 1.5], [1.61, 4.18, 1.63]]
19:04:04.377 XYZ [[1.63, 3.29, 1.46], [2.85, 1.8, 1.39], [2.95, 3.43, 1.18], [2.39, 4.34, 1.53], [1.61, 4.18, 1.64]]
19:04:04.460 XYZ [[1.59, 3.29, 1.46], [2.84, 1.79, 1.37], [2.95, 3.43, 1.18], [2.4, 4.34, 1.54], [1.6, 4.19, 1.64]]
19:04:04.544 XYZ [[1.58, 3.28, 1.46], [2.89, 1.76, 1.36], [2.96, 3.44, 1.19], [2.39, 4.35, 1.54], [1.62, 4.21, 1.65]]
19:04:04.630 XYZ [[1.57, 3.27, 1.46], [2.9, 1.77, 1.37], [2.97, 3.45, 1.2], [2.39, 4.35, 1.56], [1.61, 4.21, 1.67]]
19:04:04.714 XYZ [[1.57, 3.25, 1.45], [2.94, 1.69, 1.34], [2.97, 3.45, 1.22], [2.4, 4.33, 1.58], [1.63, 4.2, 1.69]]
19:04:04.797 XYZ [[1.54, 3.24, 1.44], [2.95, 1.7, 1.33], [2.96, 3.46, 1.24], [2.4, 4.32, 1.58], [1.65, 4.19, 1.71]]
19:04:04.881 XYZ [[1.55, 3.24, 1.41], [3.0, 1.7, 1.33], [2.97, 3.48, 1.27], [2.38, 4.32, 1.58], [1.65, 4.18, 1.71]]
19:04:04.964 XYZ [[1.54, 3.24, 1.42], [3.03, 1.7, 1.36], [2.97, 3.48, 1.27], [2.38, 4.32, 1.57], [1.66, 4.18, 1.71]]
19:04:05.048 XYZ [[1.53, 3.22, 1.43], [3.05, 1.69, 1.37], [2.97, 3.48, 1.27], [2.37, 4.31, 1.58], [1.67, 4.18, 1.71]]
19:04:05.131 XYZ [[1.5, 3.21, 1.44], [3.08, 1.69, 1.37], [2.97, 3.48, 1.27], [2.35, 4.31, 1.58], [1.67, 4.18, 1.72]]
19:04:05.215 XYZ [[1.5, 3.2, 1.44], [3.12, 1.67, 1.35], [3.0, 3.5, 1.31], [2.35, 4.3, 1.57], [1.67, 4.19, 1.71]]
19:04:05.298 XYZ [[1.47, 3.16, 1.45], [3.16, 1.65, 1.34], [3.0, 3.5, 1.33], [2.35, 4.29, 1.58], [1.67, 4.19, 1.7]]
19:04:05.382 XYZ [[1.46, 3.15, 1.46], [3.19, 1.59, 1.35], [3.03, 3.5, 1.36], [2.35, 4.28, 1.58], [1.67, 4.19, 1.71]]
