19:17:18.211 XYZ [[2.3, 4.96, 1.5], [2.41, 2.77, 1.36]]
19:17:18.366 XYZ [[2.3, 4.96, 1.51], [2.43, 2.78, 1.36]]
19:17:18.450 XYZ [[2.34, 6.17, 1.68], [2.31, 4.96, 1.51], [2.44, 2.79, 1.36]]
19:17:18.534 XYZ [[0.0, 0.0, 0.0], [2.35, 6.17, 1.68], [2.31, 4.96, 1.5], [2.44, 2.79, 1.36]]
19:17:18.617 XYZ [[0.0, 0.0, 0.0], [2.35, 6.17, 1.67], [2.31, 4.96, 1.5], [2.43, 2.79, 1.37]]
19:17:18.700 XYZ [[0.0, 0.0, 0.0], [2.34, 6.17, 1.66], [2.32, 4.96, 1.5], [2.43, 2.79, 1.37], [2.2, 3.84, 1.52]]
19:17:18.784 XYZ [[0.0, 0.0, 0.0], [2.33, 6.17, 1.66], [2.32, 4.96, 1.49], [2.42, 2.8, 1.38], [2.18, 3.81, 1.53]]
19:17:18.867 XYZ [[0.0, 0.0, 0.0], [2.32, 6.18, 1.65], [2.32, 4.96, 1.49], [2.41, 2.8, 1.38], [2.17, 3.77, 1.51]]
19:17:18.951 XYZ [[0.0, 0.0, 0.0], [2.31, 6.17, 1.62], [2.3, 4.95, 1.48], [2.41, 2.81, 1.38], [2.17, 3.74, 1.47]]
19:17:19.034 XYZ [[0.0, 0.0, 0.0], [2.3, 6.16, 1.63], [2.29, 4.95, 1.46], [2.39, 2.81, 1.39], [2.18, 3.74, 1.46]]
19:17:19.118 XYZ [[0.0, 0.0, 0.0], [2.3, 6.17, 1.63], [2.28, 4.95, 1.45], [2.39, 2.81, 1.36], [2.16, 3.71, 1.46]]
19:17:19.201 XYZ [[0.0, 0.0, 0.0], [2.3, 6.17, 1.65], [2.28, 4.96, 1.46], [2.38, 2.79, 1.36], [2.16, 3.73, 1.47]]
19:17:19.285 XYZ [[0.0, 0.0, 0.0], [2.28, 6.18, 1.66], [2.28, 4.96, 1.46], [2.37, 2.78, 1.35], [2.18, 3.74, 1.47]]
19:17:19.368 XYZ [[0.0, 0.0, 0.0], [2.28, 6.18, 1.67], [2.28, 4.96, 1.43], [2.37, 2.78, 1.35], [2.25, 3.8, 1.49]]
19:17:19.452 XYZ [[0.0, 0.0, 0.0], [2.27, 6.19, 1.68], [2.27, 4.96, 1.43], [2.34, 2.76, 1.35], [2.28, 3.84, 1.5]]
19:17:19.536 XYZ [[0.0, 0.0, 0.0], [2.29, 6.19, 1.68], [2.27, 4.96, 1.44], [2.3, 2.74, 1.34], [2.28, 3.86, 1.51]]
19:17:19.625 XYZ [[0.0, 0.0, 0.0], [2.29, 6.18, 1.67], [2.28, 4.96, 1.45], [2.32, 2.76, 1.35], [2.3, 3.88, 1.53]]
19:17:19.708 XYZ [[0.0, 0.0, 0.0], [2.29, 6.2, 1.67], [2.27, 4.96, 1.45], [2.31, 2.78, 1.34], [2.3, 3.89, 1.57]]
19:17:19.792 XYZ [[0.0, 0.0, 0.0], [2.29, 6.19, 1.68], [2.28, 4.96, 1.48], [2.29, 2.8, 1.35], [2.3, 3.9, 1.58]]
19:17:19.875 XYZ [[0.0, 0.0, 0.0], [2.31, 6.19, 1.67], [2.27, 4.96, 1.48], [2.29, 2.8, 1.36], [2.28, 3.92, 1.6]]
19:17:19.959 XYZ [[0.0, 0.0, 0.0], [2.3, 6.19, 1.66], [2.28, 4.96, 1.49], [2.28, 2.79, 1.35], [2.29, 3.92, 1.63]]
19:17:20.042 XYZ [[0.0, 0.0, 0.0], [2.31, 6.19, 1.67], [2.29, 4.96, 1.48], [2.29, 2.77, 1.35], [2.28, 3.93, 1.64]]
19:17:20.126 XYZ [[0.0, 0.0, 0.0], [2.32, 6.17, 1.66], [2.3, 4.95, 1.49], [2.3, 2.76, 1.35], [2.29, 3.93, 1.66]]
19:17:20.210 XYZ [[0.0, 0.0, 0.0], [2.31, 6.16, 1.65], [2.3, 4.95, 1.48], [2.31, 2.77, 1.36], [2.29, 3.94, 1.66]]
