19:25:18.216 XYZ [[2.27, 4.89, 1.44], [2.21, 2.84, 1.2]]
19:25:18.360 XYZ [[0.0, 0.0, 0.0], [2.27, 6.1, 1.91], [2.25, 4.9, 1.44], [2.21, 2.83, 1.21]]
19:25:18.444 XYZ [[0.0, 0.0, 0.0], [2.27, 6.08, 1.85], [2.25, 4.9, 1.44], [2.21, 2.84, 1.21]]
19:25:18.527 XYZ [[0.0, 0.0, 0.0], [2.29, 6.09, 1.8], [2.26, 4.91, 1.43], [2.2, 2.84, 1.21], [2.07, 3.99, 1.13]]
19:25:18.611 XYZ [[0.0, 0.0, 0.0], [2.27, 6.1, 1.73], [2.25, 4.9, 1.42], [2.22, 2.85, 1.2], [2.08, 3.98, 1.15]]
19:25:18.694 XYZ [[0.0, 0.0, 0.0], [2.28, 6.12, 1.66], [2.25, 4.91, 1.43], [2.21, 2.84, 1.2], [2.09, 3.98, 1.09]]
19:25:18.779 XYZ [[0.0, 0.0, 0.0], [2.28, 6.11, 1.61], [2.26, 4.91, 1.43], [2.2, 2.85, 1.21], [2.12, 3.97, 1.1]]
19:25:18.862 XYZ [[0.0, 0.0, 0.0], [2.28, 6.13, 1.61], [2.26, 4.92, 1.44], [2.2, 2.85, 1.2], [2.12, 3.97, 1.1]]
19:25:18.946 XYZ [[0.0, 0.0, 0.0], [2.3, 6.17, 1.61], [2.25, 4.92, 1.44], [2.2, 2.85, 1.2], [2.12, 3.99, 1.12]]
19:25:19.029 XYZ [[0.0, 0.0, 0.0], [2.33, 6.19, 1.66], [2.26, 4.93, 1.46], [2.21, 2.86, 1.21], [2.13, 3.98, 1.17]]
19:25:19.113 XYZ [[0.0, 0.0, 0.0], [2.34, 6.2, 1.67], [2.26, 4.92, 1.46], [2.2, 2.86, 1.22], [2.15, 3.98, 1.18]]
19:25:19.196 XYZ [[0.0, 0.0, 0.0], [2.34, 6.2, 1.65], [2.27, 4.93, 1.47], [2.19, 2.86, 1.22], [2.12, 3.97, 1.19]]
19:25:19.280 XYZ [[0.0, 0.0, 0.0], [2.35, 6.17, 1.64], [2.29, 4.92, 1.47], [2.19, 2.87, 1.23], [2.1, 3.98, 1.19]]
19:25:19.363 XYZ [[0.0, 0.0, 0.0], [2.35, 6.18, 1.6], [2.3, 4.93, 1.47], [2.2, 2.87, 1.23], [2.09, 4.0, 1.19]]
19:25:19.447 XYZ [[0.0, 0.0, 0.0], [2.36, 6.17, 1.6], [2.29, 4.93, 1.48], [2.22, 2.86, 1.21], [2.12, 4.0, 1.21]]
19:25:19.530 XYZ [[0.0, 0.0, 0.0], [2.35, 6.17, 1.6], [2.29, 4.92, 1.46], [2.23, 2.86, 1.22], [2.11, 4.02, 1.21]]
19:25:19.617 XYZ [[0.0, 0.0, 0.0], [2.34, 6.15, 1.58], [2.3, 4.93, 1.45], [2.23, 2.86, 1.21], [2.12, 4.01, 1.19]]
19:25:19.701 XYZ [[0.0, 0.0, 0.0], [2.32, 6.15, 1.58], [2.3, 4.92, 1.45], [2.24, 2.86, 1.21], [2.13, 4.01, 1.18]]
19:25:19.784 XYZ [[0.0, 0.0, 0.0], [2.31, 6.15, 1.57], [2.29, 4.92, 1.46], [2.24, 2.85, 1.21], [2.1, 4.01, 1.19]]
19:25:19.868 XYZ [[0.0, 0.0, 0.0], [2.3, 6.14, 1.56], [2.29, 4.92, 1.47], [2.23, 2.86, 1.21], [2.13, 4.02, 1.17]]
19:25:19.951 XYZ [[0.0, 0.0, 0.0], [2.3, 6.11, 1.54], [2.29, 4.91, 1.46], [2.26, 2.85, 1.2], [2.12, 4.01, 1.2]]
19:25:20.035 XYZ [[0.0, 0.0, 0.0], [2.3, 6.08, 1.56], [2.29, 4.9, 1.45], [2.25, 2.85, 1.2], [2.11, 4.0, 1.24]]
