19:38:18.216 XYZ [[4.15, 0.93, 1.32], [4.28, 4.83, 1.54]]
19:38:18.306 XYZ [[4.16, 0.9, 1.31], [4.26, 4.84, 1.53], [4.14, 6.14, 1.82]]
19:38:18.390 XYZ [[4.16, 0.9, 1.3], [4.26, 4.85, 1.52], [4.14, 6.13, 1.83]]
19:38:18.473 XYZ [[4.15, 0.89, 1.28], [4.25, 4.84, 1.52], [4.15, 6.12, 1.81]]
19:38:18.557 XYZ [[4.16, 0.89, 1.24], [4.25, 4.86, 1.51], [4.16, 6.12, 1.8]]
19:38:18.640 XYZ [[4.15, 0.89, 1.26], [4.25, 4.87, 1.52], [4.17, 6.12, 1.79]]
19:38:18.723 XYZ [[4.16, 0.91, 1.28], [4.25, 4.87, 1.51], [4.17, 6.12, 1.79], [3.92, 3.74, 1.71]]
19:38:18.807 XYZ [[4.16, 0.94, 1.28], [4.25, 4.87, 1.5], [4.18, 6.12, 1.78], [3.94, 3.75, 1.68]]
19:38:18.890 XYZ [[4.14, 0.95, 1.28], [4.26, 4.88, 1.48], [4.21, 6.1, 1.79], [3.91, 3.78, 1.66]]
19:38:18.974 XYZ [[4.14, 0.96, 1.3], [4.26, 4.88, 1.49], [4.22, 6.08, 1.78], [3.92, 3.78, 1.67]]
19:38:19.057 XYZ [[4.15, 0.98, 1.3], [4.23, 4.87, 1.48], [4.2, 6.07, 1.79], [3.89, 3.78, 1.68]]
19:38:19.141 XYZ [[4.14, 0.97, 1.29], [4.25, 4.88, 1.52], [4.22, 6.05, 1.78], [3.96, 3.76, 1.71]]
19:38:19.224 XYZ [[4.16, 0.97, 1.3], [4.24, 4.87, 1.51], [4.21, 6.06, 1.78], [3.97, 3.75, 1.68]]
19:38:19.308 XYZ [[4.16, 0.97, 1.32], [4.24, 4.88, 1.51], [4.23, 6.05, 1.76], [3.99, 3.74, 1.67]]
19:38:19.391 XYZ [[4.18, 0.96, 1.32], [4.21, 4.89, 1.54], [4.25, 6.04, 1.73], [4.03, 3.73, 1.64]]
19:38:19.475 XYZ [[4.18, 0.95, 1.32], [4.21, 4.89, 1.54], [4.24, 6.09, 1.69], [4.05, 3.7, 1.61]]
19:38:19.558 XYZ [[4.17, 0.95, 1.3], [4.21, 4.88, 1.55], [4.25, 6.1, 1.64], [4.08, 3.68, 1.61]]
19:38:19.642 XYZ [[4.18, 0.95, 1.3], [4.2, 4.89, 1.56], [4.24, 6.11, 1.61], [4.1, 3.63, 1.59]]
19:38:19.725 XYZ [[4.18, 0.96, 1.31], [4.19, 4.89, 1.55], [4.24, 6.13, 1.58], [4.11, 3.61, 1.56]]
19:38:19.809 XYZ [[4.17, 0.95, 1.3], [4.18, 4.88, 1.55], [4.27, 6.15, 1.55], [4.14, 3.61, 1.54]]
19:38:19.892 XYZ [[4.19, 0.94, 1.29], [4.16, 4.89, 1.54], [4.29, 6.15, 1.54], [4.16, 3.6, 1.54]]
19:38:19.976 XYZ [[4.18, 0.95, 1.31], [4.15, 4.89, 1.57], [4.33, 6.14, 1.52], [4.22, 3.59, 1.49]]
19:38:20.059 XYZ [[4.18, 0.94, 1.31], [4.16, 4.9, 1.56], [4.32, 6.14, 1.49], [4.24, 3.59, 1.45]]
19:38:20.143 XYZ [[4.2, 0.95, 1.32], [4.15, 4.89, 1.55], [4.37, 6.13, 1.46], [4.24, 3.58, 1.42]]
19:38:20.226 XYZ [[4.19, 0.96, 1.31], [4.17, 4.9, 1.54], [4.4, 6.12, 1.47], [4.28, 3.58, 1.38]]
19:38:20.310 XYZ [[4.22, 0.98, 1.27], [4.17, 4.89, 1.53], [4.44, 6.1, 1.51], [4.28, 3.59, 1.37], [4.18, 2.48, 1.43]]
19:38:20.393 XYZ [[4.21, 0.98, 1.26], [4.19, 4.88, 1.53], [4.4, 6.08, 1.55], [4.28, 3.59, 1.37], [4.19, 2.49, 1.42]]
19:38:20.477 XYZ [[4.21, 0.98, 1.27], [4.2, 4.89, 1.54], [4.38, 6.07, 1.57], [4.28, 3.59, 1.37], [4.17, 2.47, 1.46]]
19:38:20.560 XYZ [[4.2, 0.97, 1.27], [4.21, 4.88, 1.53], [4.33, 6.05, 1.58], [4.28, 3.59, 1.37], [4.1, 2.48, 1.47]]
19:38:20.643 XYZ [[4.18, 0.96, 1.27], [4.2, 4.88, 1.52], [4.31, 6.04, 1.61], [4.27, 3.57, 1.37], [4.04, 2.46, 1.48]]
19:38:20.727 XYZ [[4.17, 0.96, 1.28], [4.19, 4.87, 1.51], [4.3, 6.06, 1.63], [4.21, 3.58, 1.38], [4.0, 2.44, 1.47]]
19:38:20.810 XYZ [[4.18, 0.97, 1.29], [4.19, 4.85, 1.52], [4.26, 6.08, 1.64], [4.13, 3.56, 1.37], [3.99, 2.41, 1.48]]
19:38:20.896 XYZ [[4.18, 0.96, 1.31], [4.18, 4.85, 1.53], [4.25, 6.1, 1.65], [4.07, 3.56, 1.39], [3.99, 2.39, 1.48]]
19:38:20.980 XYZ [[4.18, 0.95, 1.29], [4.19, 4.86, 1.52], [4.25, 6.1, 1.63], [3.95, 3.52, 1.36], [3.93, 2.34, 1.48]]
19:38:21.063 XYZ [[4.2, 0.94, 1.28], [4.18, 4.86, 1.51], [4.27, 6.1, 1.63], [3.85, 3.53, 1.41], [3.9, 2.29, 1.47]]
19:38:21.147 XYZ [[4.19, 0.97, 1.25], [4.19, 4.85, 1.51], [4.26, 6.1, 1.6], [3.82, 3.52, 1.43], [3.89, 2.28, 1.45]]
19:38:21.232 XYZ [[4.19, 0.99, 1.25], [4.18, 4.86, 1.52], [4.26, 6.1, 1.6], [3.77, 3.56, 1.46], [3.88, 2.27, 1.45]]
19:38:21.316 XYZ [[4.19, 1.01, 1.25], [4.19, 4.87, 1.51], [4.25, 6.07, 1.58], [3.75, 3.58, 1.49], [3.85, 2.23, 1.45]]
19:38:21.401 XYZ [[4.19, 0.99, 1.23], [4.22, 4.87, 1.52], [4.18, 6.06, 1.52], [3.73, 3.59, 1.48], [3.83, 2.23, 1.44]]
19:38:21.485 XYZ [[4.19, 0.97, 1.23], [4.23, 4.86, 1.53], [4.15, 6.05, 1.48], [3.67, 3.55, 1.55], [3.82, 2.23, 1.42]]
19:38:21.568 XYZ [[4.17, 0.98, 1.23], [4.24, 4.85, 1.54], [4.09, 6.06, 1.48], [3.59, 3.53, 1.57], [3.81, 2.19, 1.43]]
19:38:21.652 XYZ [[4.17, 0.96, 1.21], [4.26, 4.84, 1.54], [4.07, 6.02, 1.48], [3.55, 3.53, 1.6], [3.75, 2.17, 1.44]]
19:38:21.735 XYZ [[4.16, 0.95, 1.21], [4.28, 4.84, 1.53], [4.04, 6.03, 1.5], [3.53, 3.51, 1.61], [3.74, 2.16, 1.46]]
19:38:21.819 XYZ [[4.14, 0.94, 1.21], [4.28, 4.84, 1.53], [4.03, 6.05, 1.52], [3.53, 3.53, 1.65], [3.75, 2.16, 1.45]]
19:38:21.902 XYZ [[4.12, 0.95, 1.21], [4.28, 4.84, 1.53], [4.0, 6.06, 1.52], [3.51, 3.53, 1.66], [3.79, 2.17, 1.43]]
19:38:21.986 XYZ [[4.12, 0.94, 1.2], [4.26, 4.84, 1.54], [4.0, 6.07, 1.55], [3.51, 3.51, 1.65], [3.84, 2.17, 1.39]]
