19:43:18.566 XYZ [[2.19, 5.33, 1.49], [0.31, 4.88, 1.56]]
19:43:18.649 XYZ [[2.12, 5.34, 1.46], [0.29, 4.79, 1.54]]
19:43:18.733 XYZ [[2.1, 5.33, 1.47], [0.29, 4.76, 1.55]]
19:43:18.816 XYZ [[1.05, 1.53, 1.41], [2.1, 5.33, 1.47], [0.28, 4.64, 1.58]]
19:43:18.899 XYZ [[1.14, 1.46, 1.35], [1.95, 5.36, 1.45], [0.28, 4.52, 1.58]]
19:43:18.983 XYZ [[1.22, 1.45, 1.34], [1.85, 5.36, 1.42], [0.29, 4.47, 1.58], [4.15, 3.52, 1.45]]
19:43:19.066 XYZ [[1.25, 1.44, 1.34], [1.82, 5.36, 1.43], [0.29, 4.36, 1.58], [4.13, 3.59, 1.44]]
19:43:19.150 XYZ [[1.35, 1.42, 1.32], [1.68, 5.34, 1.41], [0.3, 4.27, 1.55], [4.1, 3.68, 1.42]]
19:43:19.233 XYZ [[1.41, 1.41, 1.34], [1.64, 5.33, 1.41], [0.29, 4.23, 1.55], [4.1, 3.73, 1.41]]
19:43:19.317 XYZ [[1.5, 1.4, 1.34], [1.52, 5.3, 1.37], [0.29, 4.17, 1.53], [4.1, 3.82, 1.45]]
19:43:19.400 XYZ [[1.61, 1.38, 1.35], [1.44, 5.28, 1.4], [0.31, 4.12, 1.53], [4.11, 3.9, 1.5], [3.76, 2.58, 1.33]]
19:43:19.484 XYZ [[1.71, 1.37, 1.34], [1.43, 5.26, 1.4], [0.32, 4.05, 1.56], [4.11, 3.95, 1.5], [3.83, 2.66, 1.27]]
19:43:19.567 XYZ [[1.76, 1.36, 1.35], [1.35, 5.23, 1.42], [0.35, 4.01, 1.57], [4.12, 4.02, 1.53], [3.92, 2.76, 1.22]]
19:43:19.651 XYZ [[1.86, 1.34, 1.35], [1.29, 5.2, 1.43], [0.37, 3.98, 1.57], [4.11, 4.09, 1.55], [3.96, 2.82, 1.22]]
19:43:19.734 XYZ [[1.91, 1.32, 1.36], [1.26, 5.18, 1.44], [0.39, 3.93, 1.57], [4.11, 4.13, 1.55], [4.01, 2.91, 1.21]]
19:43:19.818 XYZ [[1.99, 1.3, 1.36], [1.24, 5.12, 1.43], [0.42, 3.9, 1.55], [4.1, 4.21, 1.53], [4.05, 2.99, 1.21]]
19:43:19.902 XYZ [[2.1, 1.27, 1.37], [1.22, 5.1, 1.46], [0.43, 3.87, 1.53], [4.15, 4.29, 1.52], [4.05, 3.03, 1.21]]
19:43:19.986 XYZ [[2.18, 1.27, 1.39], [1.22, 5.08, 1.47], [0.44, 3.81, 1.5], [4.15, 4.34, 1.5], [4.05, 3.11, 1.2]]
19:43:20.069 XYZ [[2.22, 1.27, 1.4], [1.2, 5.04, 1.48], [0.45, 3.77, 1.46], [4.18, 4.44, 1.51], [4.03, 3.15, 1.2]]
19:43:20.153 XYZ [[2.3, 1.27, 1.4], [1.19, 5.0, 1.52], [0.45, 3.72, 1.49], [4.19, 4.49, 1.53], [4.01, 3.19, 1.19]]
19:43:20.236 XYZ [[2.37, 1.27, 1.38], [1.17, 4.99, 1.53], [0.45, 3.69, 1.5], [4.19, 4.6, 1.52], [4.01, 3.26, 1.15]]
19:43:20.319 XYZ [[2.41, 1.28, 1.4], [1.16, 4.95, 1.56], [0.43, 3.6, 1.48], [4.18, 4.69, 1.52], [4.01, 3.32, 1.1]]
19:43:20.403 XYZ [[2.53, 1.27, 1.38], [1.14, 4.91, 1.55], [0.43, 3.54, 1.49], [4.14, 4.77, 1.52], [3.99, 3.35, 1.11]]
19:43:20.486 XYZ [[2.63, 1.29, 1.39], [1.13, 4.91, 1.55], [0.41, 3.5, 1.5], [4.13, 4.81, 1.52], [3.91, 3.44, 1.19]]
19:43:20.570 XYZ [[2.67, 1.29, 1.41], [1.1, 4.86, 1.56], [0.38, 3.42, 1.5], [4.09, 4.9, 1.5], [3.86, 3.53, 1.2]]
19:43:20.653 XYZ [[2.78, 1.32, 1.43], [1.07, 4.83, 1.59], [0.32, 3.33, 1.51], [4.07, 4.95, 1.49], [3.86, 3.58, 1.21]]
19:43:20.737 XYZ [[2.87, 1.35, 1.45], [1.06, 4.79, 1.6], [0.31, 3.22, 1.47], [4.08, 5.01, 1.49], [3.88, 3.65, 1.25]]
19:43:20.820 XYZ [[2.9, 1.36, 1.46], [1.06, 4.78, 1.61], [0.31, 3.16, 1.45], [4.04, 5.11, 1.49], [3.89, 3.71, 1.26]]
19:43:20.904 XYZ [[2.99, 1.4, 1.45], [1.06, 4.76, 1.6], [0.3, 3.06, 1.44], [4.02, 5.19, 1.51], [3.91, 3.74, 1.26]]
19:43:20.990 XYZ [[3.08, 1.42, 1.46], [1.05, 4.74, 1.6], [0.29, 3.01, 1.44], [4.0, 5.23, 1.5], [3.92, 3.76, 1.28]]
19:43:21.074 XYZ [[3.14, 1.44, 1.46], [1.06, 4.72, 1.57], [0.28, 2.93, 1.45], [3.93, 5.34, 1.47], [3.92, 3.77, 1.28]]
19:43:21.157 XYZ [[3.21, 1.47, 1.49], [1.09, 4.7, 1.56], [0.3, 2.85, 1.48], [3.88, 5.41, 1.49], [3.94, 3.87, 1.3]]
19:43:21.241 XYZ [[3.27, 1.49, 1.5], [1.09, 4.68, 1.59], [0.33, 2.77, 1.48], [3.82, 5.47, 1.53], [3.95, 3.91, 1.29]]
19:43:21.324 XYZ [[3.31, 1.52, 1.52], [1.07, 4.68, 1.6], [0.35, 2.74, 1.47], [3.78, 5.53, 1.55], [3.95, 3.99, 1.28]]
19:43:21.407 XYZ [[3.32, 1.52, 1.53], [1.06, 4.66, 1.61], [0.38, 2.64, 1.47], [3.76, 5.56, 1.53], [3.99, 4.06, 1.26]]
19:43:21.491 XYZ [[3.39, 1.55, 1.52], [1.06, 4.65, 1.6], [0.41, 2.56, 1.47], [3.74, 5.57, 1.53], [4.0, 4.1, 1.25]]
19:43:21.574 XYZ [[3.4, 1.57, 1.49], [1.03, 4.63, 1.6], [0.43, 2.53, 1.46], [3.68, 5.59, 1.54], [4.0, 4.18, 1.21]]
19:43:21.658 XYZ [[3.43, 1.61, 1.51], [1.0, 4.59, 1.57], [0.45, 2.46, 1.44], [3.63, 5.61, 1.6], [4.02, 4.27, 1.16]]
19:43:21.741 XYZ [[3.49, 1.68, 1.5], [0.98, 4.56, 1.56], [0.44, 2.37, 1.43], [3.59, 5.63, 1.59], [4.02, 4.31, 1.16]]
19:43:21.825 XYZ [[3.54, 1.74, 1.51], [0.95, 4.55, 1.57], [0.43, 2.34, 1.42], [3.59, 5.63, 1.56], [4.07, 4.38, 1.15]]
19:43:21.908 XYZ [[3.56, 1.77, 1.52], [0.89, 4.49, 1.59], [0.45, 2.23, 1.43], [3.55, 5.61, 1.54], [4.09, 4.45, 1.15]]
19:43:21.992 XYZ [[3.6, 1.85, 1.51], [0.88, 4.46, 1.61], [0.45, 2.18, 1.43], [3.53, 5.61, 1.54], [4.09, 4.47, 1.16]]
