19:49:18.764 XYZ [[3.33, 1.65, 1.57], [1.1, 5.8, 1.45]]
19:49:18.858 XYZ [[3.25, 1.72, 1.56], [1.2, 5.95, 1.4]]
19:49:18.941 XYZ [[3.17, 1.8, 1.54], [1.25, 6.05, 1.41]]
19:49:19.025 XYZ [[3.12, 1.89, 1.53], [1.31, 6.19, 1.47]]
19:49:19.108 XYZ [[3.09, 1.92, 1.52], [1.36, 6.24, 1.46], [0.84, 4.65, 1.34]]
19:49:19.192 XYZ [[3.03, 1.96, 1.51], [1.45, 6.31, 1.47], [0.79, 4.69, 1.33]]
19:49:19.275 XYZ [[2.92, 2.01, 1.52], [1.48, 6.34, 1.47], [0.76, 4.72, 1.33]]
19:49:19.359 XYZ [[2.88, 2.03, 1.51], [1.59, 6.4, 1.49], [0.71, 4.78, 1.32]]
19:49:19.443 XYZ [[2.78, 2.07, 1.49], [1.78, 3.21, 1.74], [1.66, 6.43, 1.5], [0.66, 4.85, 1.35]]
19:49:19.526 XYZ [[2.67, 2.11, 1.46], [1.7, 3.32, 1.76], [1.7, 6.45, 1.49], [0.63, 4.96, 1.37]]
19:49:19.610 XYZ [[2.63, 2.14, 1.43], [1.67, 3.36, 1.73], [1.77, 6.49, 1.51], [0.67, 5.02, 1.38]]
19:49:19.693 XYZ [[2.54, 2.21, 1.41], [1.61, 3.46, 1.67], [1.85, 6.54, 1.51], [0.71, 5.11, 1.4]]
19:49:19.776 XYZ [[2.46, 2.26, 1.39], [1.54, 3.55, 1.64], [1.88, 6.55, 1.51], [0.74, 5.16, 1.38]]
19:49:19.860 XYZ [[2.41, 2.27, 1.4], [1.53, 3.59, 1.64], [1.95, 6.57, 1.49], [0.75, 5.26, 1.37]]
19:49:19.946 XYZ [[2.31, 2.27, 1.5], [1.47, 3.7, 1.65], [1.98, 6.57, 1.5], [0.76, 5.36, 1.36]]
19:49:20.030 XYZ [[2.19, 2.33, 1.5], [1.41, 3.82, 1.66], [2.09, 6.57, 1.47], [0.76, 5.39, 1.35]]
19:49:20.113 XYZ [[2.08, 2.38, 1.53], [1.37, 3.89, 1.67], [2.18, 6.56, 1.47], [0.76, 5.49, 1.35]]
19:49:20.197 XYZ [[2.04, 2.4, 1.54], [1.29, 4.01, 1.71], [2.3, 6.55, 1.49], [0.79, 5.59, 1.36]]
19:49:20.280 XYZ [[1.95, 2.48, 1.53], [1.22, 4.13, 1.7], [2.41, 6.56, 1.53], [0.8, 5.64, 1.35]]
19:49:20.364 XYZ [[1.88, 2.55, 1.53], [1.17, 4.18, 1.68], [2.47, 6.57, 1.54], [0.89, 5.75, 1.33]]
19:49:20.447 XYZ [[1.83, 2.58, 1.55], [1.09, 4.3, 1.7], [2.53, 6.57, 1.6], [0.9, 5.87, 1.36]]
19:49:20.531 XYZ [[1.71, 2.65, 1.57], [1.04, 4.4, 1.68], [2.58, 6.52, 1.64], [0.92, 5.91, 1.37]]
19:49:20.614 XYZ [[1.65, 2.73, 1.57], [1.04, 4.44, 1.67], [2.6, 6.49, 1.66], [0.93, 6.03, 1.32]]
19:49:20.698 XYZ [[1.63, 2.76, 1.56], [1.06, 4.51, 1.59], [2.64, 6.4, 1.66], [0.98, 6.12, 1.33]]
19:49:20.781 XYZ [[1.6, 2.82, 1.56], [1.1, 4.57, 1.55], [2.69, 6.34, 1.66], [1.03, 6.17, 1.34]]
19:49:20.865 XYZ [[1.57, 2.88, 1.57], [1.11, 4.6, 1.53], [2.75, 6.31, 1.69], [1.19, 6.23, 1.39]]
19:49:20.948 XYZ [[1.56, 2.89, 1.59], [1.11, 4.69, 1.51], [2.85, 6.25, 1.76], [1.34, 6.3, 1.39]]
19:49:21.032 XYZ [[1.5, 2.94, 1.61], [1.11, 4.79, 1.47], [2.98, 6.19, 1.78], [1.5, 6.38, 1.37]]
19:49:21.115 XYZ [[1.46, 3.02, 1.61], [1.1, 4.82, 1.46], [3.04, 6.14, 1.79], [1.54, 6.4, 1.35]]
19:49:21.199 XYZ [[1.43, 3.03, 1.64], [1.12, 4.93, 1.45], [3.14, 6.08, 1.79], [1.64, 6.47, 1.35]]
19:49:21.282 XYZ [[1.37, 3.11, 1.65], [1.11, 5.03, 1.44], [3.22, 6.04, 1.79], [1.75, 6.52, 1.37]]
19:49:21.366 XYZ [[1.3, 3.16, 1.65], [1.12, 5.14, 1.44], [3.32, 5.98, 1.79], [1.81, 6.55, 1.41]]
19:49:21.449 XYZ [[1.28, 3.21, 1.64], [1.12, 5.19, 1.43], [3.36, 5.95, 1.77], [1.91, 6.58, 1.43]]
19:49:21.533 XYZ [[1.26, 3.29, 1.62], [1.11, 5.31, 1.42], [3.47, 5.89, 1.75], [2.03, 6.66, 1.44]]
19:49:21.616 XYZ [[1.26, 3.4, 1.6], [1.13, 5.37, 1.4], [3.51, 5.83, 1.72], [2.08, 6.63, 1.41]]
19:49:21.700 XYZ [[1.25, 3.45, 1.59], [1.15, 5.48, 1.37], [3.63, 5.76, 1.68], [2.14, 6.65, 1.42]]
19:49:21.783 XYZ [[1.26, 3.56, 1.57], [1.15, 5.61, 1.43], [3.72, 5.68, 1.67], [2.21, 6.68, 1.43]]
19:49:21.866 XYZ [[1.21, 3.66, 1.59], [1.17, 5.66, 1.45], [3.75, 5.63, 1.65], [2.28, 6.7, 1.44]]
19:49:21.950 XYZ [[1.18, 3.69, 1.6], [1.22, 5.78, 1.45], [3.84, 5.54, 1.71], [2.28, 6.68, 1.4]]
19:49:22.033 XYZ [[1.17, 3.78, 1.63], [1.27, 5.88, 1.47], [3.87, 5.5, 1.7], [2.39, 6.74, 1.46]]
19:49:22.117 XYZ [[1.15, 3.85, 1.66], [1.32, 5.94, 1.47], [3.86, 5.49, 1.69], [2.42, 6.76, 1.45]]
19:49:22.200 XYZ [[1.11, 3.9, 1.68], [1.36, 5.96, 1.47], [3.84, 5.44, 1.7], [2.49, 6.73, 1.46]]
19:49:22.284 XYZ [[1.07, 4.0, 1.69], [1.38, 6.03, 1.49], [3.8, 5.37, 1.7], [2.6, 6.69, 1.41]]
19:49:22.367 XYZ [[1.04, 4.08, 1.68], [1.39, 6.05, 1.47], [3.74, 5.27, 1.7], [2.64, 6.65, 1.41]]
19:49:22.451 XYZ [[1.01, 4.13, 1.68], [1.42, 6.1, 1.52], [3.73, 5.24, 1.71], [2.7, 6.59, 1.43]]
19:49:22.534 XYZ [[0.97, 4.22, 1.68], [1.46, 6.15, 1.54], [3.67, 5.15, 1.71], [2.8, 6.53, 1.45]]
19:49:22.618 XYZ [[0.96, 4.3, 1.66], [1.53, 6.23, 1.56], [3.64, 5.07, 1.69], [2.83, 6.5, 1.5]]
19:49:22.701 XYZ [[0.94, 4.34, 1.65], [1.54, 6.25, 1.56], [3.6, 5.02, 1.68], [2.92, 6.47, 1.56]]
19:49:22.785 XYZ [[0.93, 4.43, 1.61], [1.6, 6.25, 1.57], [3.54, 4.91, 1.63], [3.02, 6.47, 1.62]]
19:49:22.868 XYZ [[0.92, 4.51, 1.64], [1.67, 6.27, 1.59], [3.51, 4.86, 1.6], [3.06, 6.5, 1.6]]
19:49:22.952 XYZ [[0.93, 4.53, 1.62], [1.73, 6.27, 1.59], [3.44, 4.78, 1.56], [3.13, 6.48, 1.65]]
19:49:23.036 XYZ [[0.94, 4.62, 1.57], [1.83, 6.29, 1.58], [3.36, 4.7, 1.55], [3.21, 6.4, 1.71]]
19:49:23.119 XYZ [[0.93, 4.69, 1.56], [1.89, 6.31, 1.57], [3.33, 4.66, 1.53], [3.25, 6.37, 1.71]]
19:49:23.203 XYZ [[0.93, 4.72, 1.57], [1.93, 6.32, 1.56], [3.24, 4.6, 1.47], [3.32, 6.28, 1.74]]
19:49:23.286 XYZ [[0.95, 4.75, 1.54], [2.01, 6.32, 1.58], [3.18, 4.53, 1.43], [3.39, 6.16, 1.76]]
19:49:23.369 XYZ [[1.0, 4.77, 1.47], [2.06, 6.3, 1.6], [3.08, 4.49, 1.39], [3.4, 6.1, 1.8]]
19:49:23.453 XYZ [[1.0, 4.8, 1.47], [2.11, 6.3, 1.6], [3.05, 4.47, 1.38], [3.47, 5.99, 1.83]]
