20:03:18.234 XYZ [[3.45, -0.72, 1.45], [2.61, 5.86, 1.7], [1.82, 4.73, 1.6]]
20:03:18.334 XYZ [[3.5, -0.53, 1.36], [2.6, 5.86, 1.7], [1.86, 4.69, 1.56]]
20:03:18.418 XYZ [[3.52, -0.45, 1.34], [2.59, 5.84, 1.72], [1.88, 4.67, 1.57]]
20:03:18.501 XYZ [[3.56, -0.31, 1.3], [2.57, 5.84, 1.75], [1.94, 4.66, 1.57]]
20:03:18.585 XYZ [[3.5, -0.3, 1.37], [2.55, 5.83, 1.79], [2.0, 4.63, 1.58], [0.0, 0.0, 0.0]]
20:03:18.668 XYZ [[3.46, -0.17, 1.37], [2.53, 5.81, 1.79], [2.03, 4.64, 1.59], [0.0, 0.0, 0.0]]
20:03:18.752 XYZ [[3.45, -0.06, 1.35], [2.5, 5.8, 1.79], [2.12, 4.55, 1.56], [0.0, 0.0, 0.0]]
20:03:18.835 XYZ [[3.43, -0.03, 1.36], [2.48, 5.77, 1.8], [2.15, 4.53, 1.56], [0.0, 0.0, 0.0]]
20:03:18.919 XYZ [[3.36, -0.01, 1.35], [2.45, 5.72, 1.79], [2.19, 4.48, 1.56], [0.0, 0.0, 0.0]]
20:03:19.002 XYZ [[3.34, -0.01, 1.35], [2.43, 5.71, 1.8], [2.2, 4.46, 1.55], [0.0, 0.0, 0.0]]
20:03:19.085 XYZ [[3.3, -0.0, 1.36], [2.37, 5.69, 1.8], [2.24, 4.4, 1.57], [0.0, 0.0, 0.0]]
20:03:19.169 XYZ [[3.29, 0.03, 1.35], [2.32, 5.65, 1.79], [2.3, 4.34, 1.59], [0.0, 0.0, 0.0]]
20:03:19.252 XYZ [[3.28, 0.05, 1.36], [2.27, 5.6, 1.79], [2.27, 4.29, 1.62], [0.0, 0.0, 0.0]]
20:03:19.339 XYZ [[3.27, 0.12, 1.35], [2.23, 5.53, 1.78], [2.2, 4.2, 1.6], [2.13, 1.98, 1.57], [0.0, 0.0, 0.0]]
20:03:19.423 XYZ [[3.29, 0.15, 1.34], [2.23, 5.49, 1.79], [2.17, 4.16, 1.61], [2.15, 1.98, 1.57], [0.0, 0.0, 0.0]]
20:03:19.506 XYZ [[3.25, 0.22, 1.32], [2.23, 5.46, 1.8], [2.06, 4.07, 1.59], [2.19, 2.0, 1.56], [0.0, 0.0, 0.0]]
20:03:19.590 XYZ [[3.23, 0.19, 1.33], [2.23, 5.39, 1.81], [1.95, 3.95, 1.58], [2.2, 2.03, 1.58], [0.0, 0.0, 0.0]]
20:03:19.673 XYZ [[3.15, 0.19, 1.3], [2.22, 5.33, 1.83], [1.95, 3.95, 1.58], [2.2, 2.06, 1.59], [0.0, 0.0, 0.0]]
20:03:19.757 XYZ [[3.15, -0.06, 1.47], [2.22, 5.31, 1.83], [1.87, 3.91, 1.55], [2.19, 2.12, 1.61], [0.0, 0.0, 0.0]]
20:03:19.840 XYZ [[3.14, -0.11, 1.51], [2.21, 5.31, 1.8], [1.81, 3.88, 1.55], [2.21, 2.13, 1.6], [0.0, 0.0, 0.0], [2.78, 0.74, 0.99]]
20:03:19.924 XYZ [[3.15, -0.17, 1.55], [2.26, 5.28, 1.76], [1.6, 3.81, 1.51], [2.24, 2.13, 1.61], [0.0, 0.0, 0.0], [2.66, 0.7, 0.95], [0.0, 0.0, 0.0]]
20:03:20.007 XYZ [[3.12, -0.17, 1.55], [2.26, 5.26, 1.75], [1.52, 3.78, 1.5], [2.29, 2.14, 1.64], [0.0, 0.0, 0.0], [2.64, 0.62, 1.06], [0.0, 0.0, 0.0], [2.72, 2.34, 1.43]]
20:03:20.091 XYZ [[3.11, -0.18, 1.55], [2.3, 5.25, 1.72], [1.43, 3.72, 1.5], [2.31, 2.18, 1.65], [0.0, 0.0, 0.0], [2.61, 0.6, 1.1], [0.0, 0.0, 0.0], [2.5, 4.74, 0.93], [2.74, 2.49, 1.4]]
20:03:20.177 XYZ [[3.17, -0.29, 1.61], [2.32, 5.24, 1.7], [1.38, 3.69, 1.5], [2.33, 2.18, 1.67], [0.0, 0.0, 0.0], [2.56, 0.58, 1.12], [0.0, 0.0, 0.0], [2.53, 4.74, 0.94], [2.76, 2.53, 1.39]]
20:03:20.261 XYZ [[3.19, -0.35, 1.61], [2.34, 5.22, 1.68], [1.27, 3.64, 1.49], [2.38, 2.21, 1.67], [0.0, 0.0, 0.0], [2.46, 0.49, 1.1], [0.0, 0.0, 0.0], [2.54, 4.73, 0.91], [0.75, 3.58, 1.27], [2.77, 2.59, 1.38]]
20:03:20.344 XYZ [[3.2, -0.51, 1.55], [2.38, 5.22, 1.68], [1.15, 3.58, 1.46], [2.41, 2.25, 1.68], [0.0, 0.0, 0.0], [2.5, 0.43, 1.2], [0.0, 0.0, 0.0], [2.57, 4.7, 0.91], [0.72, 3.53, 1.26], [2.75, 2.65, 1.33]]
20:03:20.428 XYZ [[3.2, -0.54, 1.54], [2.4, 5.21, 1.68], [1.09, 3.56, 1.45], [2.45, 2.27, 1.68], [0.0, 0.0, 0.0], [2.49, 0.41, 1.21], [0.0, 0.0, 0.0], [2.61, 4.71, 0.96], [0.7, 3.52, 1.25], [2.74, 2.7, 1.32]]
20:03:20.511 XYZ [[3.23, -0.61, 1.52], [2.43, 5.2, 1.66], [0.96, 3.5, 1.42], [2.51, 2.3, 1.7], [0.0, 0.0, 0.0], [2.47, 0.36, 1.19], [0.0, 0.0, 0.0], [2.62, 4.7, 0.94], [0.62, 3.5, 1.21], [2.74, 2.76, 1.3]]
20:03:20.595 XYZ [[3.23, -0.63, 1.5], [2.44, 5.19, 1.65], [0.92, 3.49, 1.41], [2.52, 2.31, 1.71], [0.0, 0.0, 0.0], [2.48, 0.34, 1.2], [0.0, 0.0, 0.0], [2.64, 4.69, 0.94], [0.58, 3.5, 1.21], [2.72, 2.78, 1.31]]
20:03:20.679 XYZ [[3.24, -0.67, 1.49], [2.46, 5.14, 1.64], [0.86, 3.48, 1.44], [2.54, 2.33, 1.71], [0.0, 0.0, 0.0], [2.46, 0.31, 1.17], [0.0, 0.0, 0.0], [2.65, 4.66, 0.93], [0.49, 3.48, 1.22], [2.72, 2.83, 1.33]]
20:03:20.762 XYZ [[3.21, -0.7, 1.5], [2.45, 5.14, 1.63], [0.82, 3.45, 1.41], [2.55, 2.34, 1.72], [0.0, 0.0, 0.0], [2.44, 0.3, 1.16], [0.0, 0.0, 0.0], [2.65, 4.66, 0.93], [0.46, 3.45, 1.21], [2.73, 2.84, 1.29]]
20:03:20.845 XYZ [[3.2, -0.76, 1.52], [2.43, 5.12, 1.59], [0.76, 3.43, 1.43], [2.55, 2.36, 1.72], [0.0, 0.0, 0.0], [2.44, 0.24, 1.16], [0.0, 0.0, 0.0], [2.66, 4.66, 0.93], [0.42, 3.42, 1.24], [2.72, 2.87, 1.21]]
20:03:20.932 XYZ [[3.16, -0.81, 1.49], [2.42, 5.11, 1.57], [0.72, 3.44, 1.44], [2.55, 2.38, 1.72], [0.0, 0.0, 0.0], [2.45, 0.22, 1.14], [0.0, 0.0, 0.0], [2.64, 4.64, 0.92], [0.35, 3.35, 1.25], [2.68, 2.88, 1.19]]
20:03:21.016 XYZ [[3.13, -0.86, 1.45], [2.42, 5.09, 1.56], [0.65, 3.43, 1.41], [2.54, 2.44, 1.72], [0.0, 0.0, 0.0], [2.45, 0.11, 1.12], [0.0, 0.0, 0.0], [2.63, 4.6, 0.92], [0.31, 3.3, 1.29], [2.59, 2.92, 1.13]]
20:03:21.099 XYZ [[3.08, -0.95, 1.42], [2.41, 5.05, 1.54], [0.58, 3.4, 1.41], [2.52, 2.47, 1.71], [0.0, 0.0, 0.0], [2.46, 0.03, 1.11], [0.0, 0.0, 0.0], [2.61, 4.56, 0.9], [0.24, 3.22, 1.28], [2.54, 2.96, 1.12]]
20:03:21.183 XYZ [[3.07, -1.0, 1.41], [2.41, 5.04, 1.53], [0.54, 3.39, 1.43], [2.52, 2.53, 1.71], [0.0, 0.0, 0.0], [2.49, 0.02, 1.12], [0.0, 0.0, 0.0], [2.62, 4.51, 0.87], [0.21, 3.19, 1.28], [2.53, 2.98, 1.11]]
20:03:21.266 XYZ [[3.05, -1.16, 1.39], [2.4, 4.98, 1.5], [0.52, 3.31, 1.41], [2.51, 2.56, 1.72], [0.0, 0.0, 0.0], [2.5, -0.04, 1.09], [0.0, 0.0, 0.0], [2.61, 4.49, 0.87], [0.19, 3.12, 1.27], [2.52, 3.0, 1.12]]
20:03:21.350 XYZ [[3.01, -1.31, 1.38], [2.38, 4.95, 1.49], [0.45, 3.27, 1.45], [2.5, 2.62, 1.72], [0.0, 0.0, 0.0], [2.53, -0.08, 1.09], [0.0, 0.0, 0.0], [2.6, 4.47, 0.84], [0.17, 3.01, 1.26], [2.48, 3.06, 1.08]]
