20:07:58.546 XYZ [[4.66, -1.4, 1.41], [1.99, 4.32, 1.87], [1.35, 3.15, 1.57], [2.67, 2.95, 1.27], [2.63, 3.5, 1.29], [5.4, -3.31, 1.04], [2.74, 3.97, 0.84], [1.62, 4.08, 1.07], [1.44, 3.51, 1.34], [2.54, 3.06, -0.59]]
20:07:58.657 XYZ [[4.7, -1.5, 1.52], [1.95, 4.25, 1.8], [1.38, 3.11, 1.52], [2.64, 2.94, 1.21], [2.7, 3.63, 1.24], [5.84, -4.1, 0.95], [2.72, 4.02, 0.7], [1.6, 4.1, 1.1], [1.41, 3.51, 1.31], [2.5, 2.96, -0.53]]
20:07:58.741 XYZ [[4.63, -1.57, 1.66], [1.9, 4.2, 1.74], [1.4, 3.08, 1.46], [2.59, 2.91, 1.19], [2.85, 3.73, 1.04], [6.28, -4.4, 1.0], [2.77, 3.93, 0.6], [1.57, 4.15, 1.1], [1.4, 3.53, 1.3], [2.6, 2.99, -0.63]]
20:07:58.824 XYZ [[4.62, -1.54, 1.68], [1.9, 4.2, 1.73], [1.38, 3.08, 1.47], [2.59, 2.9, 1.18], [2.83, 3.74, 0.96], [6.23, -4.23, 0.96], [2.76, 3.92, 0.6], [1.57, 4.13, 1.1], [1.42, 3.53, 1.3], [2.59, 2.94, -0.63]]
20:07:58.908 XYZ [[4.6, -1.47, 1.74], [1.89, 4.2, 1.72], [1.39, 3.08, 1.46], [2.59, 2.89, 1.18], [2.82, 3.72, 0.83], [6.32, -4.31, 0.95], [2.77, 3.91, 0.61], [1.57, 4.13, 1.12], [1.43, 3.52, 1.31], [2.56, 2.88, -0.63]]
20:07:58.991 XYZ [[4.59, -1.48, 1.79], [1.87, 4.2, 1.71], [1.37, 3.07, 1.45], [2.63, 2.91, 1.19], [2.85, 3.69, 0.77], [6.38, -4.18, 0.9], [2.8, 3.86, 0.65], [1.54, 4.09, 1.09], [1.46, 3.5, 1.23], [2.52, 2.86, -0.67]]
20:07:59.075 XYZ [[4.57, -1.45, 1.78], [1.88, 4.2, 1.7], [1.37, 3.08, 1.44], [2.63, 2.91, 1.2], [2.85, 3.67, 0.77], [6.33, -4.07, 0.89], [2.8, 3.82, 0.65], [1.54, 4.06, 1.13], [1.48, 3.5, 1.21], [2.51, 2.84, -0.62]]
20:07:59.158 XYZ [[4.54, -1.39, 1.79], [1.87, 4.2, 1.69], [1.32, 3.09, 1.48], [2.63, 2.89, 1.21], [2.87, 3.62, 0.77], [6.07, -3.56, 0.84], [2.79, 3.75, 0.65], [1.55, 4.06, 1.15], [1.5, 3.5, 1.21], [2.5, 2.84, -0.62]]
20:07:59.242 XYZ [[4.47, -1.36, 1.77], [1.91, 4.22, 1.72], [1.32, 3.1, 1.49], [2.64, 2.89, 1.2], [2.86, 3.56, 0.78], [6.05, -3.44, 0.84], [2.79, 3.75, 0.65], [1.55, 4.02, 1.19], [1.49, 3.49, 1.19], [2.5, 2.84, -0.63]]
20:07:59.325 XYZ [[4.42, -1.28, 1.73], [1.89, 4.22, 1.72], [1.27, 3.09, 1.49], [2.66, 2.88, 1.21], [2.73, 3.42, 0.81], [5.82, -3.01, 0.81], [2.8, 3.68, 0.69], [1.55, 4.01, 1.21], [1.52, 3.48, 1.18], [2.42, 2.83, -0.6]]
20:07:59.408 XYZ [[4.33, -1.14, 1.72], [1.91, 4.22, 1.74], [1.27, 3.08, 1.48], [2.67, 2.89, 1.2], [2.73, 3.42, 0.81], [5.86, -3.06, 0.76], [2.78, 3.66, 0.72], [1.56, 3.99, 1.2], [1.54, 3.46, 1.2], [2.38, 2.84, -0.63]]
20:07:59.492 XYZ [[4.29, -1.04, 1.71], [1.92, 4.22, 1.75], [1.27, 3.08, 1.48], [2.67, 2.89, 1.19], [2.73, 3.38, 0.83], [5.89, -3.16, 0.73], [2.78, 3.64, 0.73], [1.56, 3.99, 1.2], [1.54, 3.46, 1.2], [2.37, 2.82, -0.6]]
20:07:59.576 XYZ [[4.0, -0.59, 1.6], [1.93, 4.21, 1.74], [1.22, 3.08, 1.46], [2.67, 2.89, 1.19], [2.7, 3.34, 0.87], [5.53, -2.82, 0.66], [2.76, 3.6, 0.78], [1.57, 3.97, 1.22], [1.53, 3.46, 1.24], [2.4, 2.85, -0.64]]
20:07:59.659 XYZ [[3.87, -0.36, 1.55], [1.92, 4.21, 1.72], [1.22, 3.08, 1.46], [2.67, 2.89, 1.19], [2.7, 3.34, 0.87], [5.57, -2.88, 0.57], [2.76, 3.6, 0.78], [1.6, 3.95, 1.27], [1.52, 3.45, 1.27], [2.43, 2.86, -0.72]]
20:07:59.742 XYZ [[3.83, -0.32, 1.53], [1.92, 4.21, 1.72], [1.16, 3.08, 1.44], [2.68, 2.89, 1.19], [2.72, 3.32, 0.9], [5.63, -2.97, 0.57], [2.74, 3.57, 0.82], [1.61, 3.96, 1.29], [1.5, 3.44, 1.27], [2.38, 2.84, -0.72]]
20:07:59.826 XYZ [[3.81, -0.29, 1.55], [1.91, 4.22, 1.71], [1.15, 3.07, 1.44], [2.65, 2.9, 1.18], [2.74, 3.34, 0.89], [5.6, -3.01, 0.53], [2.73, 3.57, 0.83], [1.63, 3.95, 1.3], [1.48, 3.44, 1.3], [2.37, 2.84, -0.74]]
20:07:59.909 XYZ [[3.74, -0.22, 1.56], [1.89, 4.21, 1.7], [1.14, 3.07, 1.44], [2.65, 2.9, 1.17], [2.76, 3.32, 0.9], [5.5, -2.95, 0.42], [2.68, 3.56, 0.9], [1.66, 3.95, 1.33], [1.48, 3.43, 1.31], [2.38, 2.82, -0.74]]
20:07:59.993 XYZ [[3.7, -0.19, 1.57], [1.89, 4.21, 1.7], [1.13, 3.08, 1.43], [2.65, 2.9, 1.18], [2.8, 3.28, 0.9], [5.73, -3.3, 0.4], [2.66, 3.55, 0.89], [1.69, 3.95, 1.36], [1.49, 3.45, 1.32], [2.39, 2.84, -0.76]]
20:08:00.076 XYZ [[3.66, -0.17, 1.56], [1.9, 4.21, 1.7], [1.12, 3.09, 1.43], [2.64, 2.9, 1.18], [2.81, 3.28, 0.87], [5.7, -3.38, 0.32], [2.65, 3.55, 0.9], [1.7, 3.94, 1.37], [1.47, 3.45, 1.31], [2.4, 2.85, -0.74]]
20:08:00.167 XYZ [[3.59, -0.11, 1.57], [1.9, 4.2, 1.69], [1.1, 3.09, 1.43], [2.67, 2.89, 1.2], [2.84, 3.3, 0.84], [5.83, -3.8, 0.18], [2.61, 3.57, 0.91], [1.7, 3.95, 1.34], [1.46, 3.45, 1.3], [2.42, 2.87, -0.78]]
20:08:00.251 XYZ [[3.54, -0.04, 1.58], [1.91, 4.21, 1.69], [1.11, 3.08, 1.42], [2.66, 2.9, 1.2], [2.85, 3.29, 0.82], [5.97, -4.12, 0.1], [2.59, 3.57, 0.94], [1.72, 3.95, 1.33], [1.45, 3.46, 1.32], [2.41, 2.88, -0.82]]
