20:22:18.112 XYZ [[3.48, 3.1, 1.36], [2.48, 3.31, 1.5]]
20:22:18.208 XYZ [[3.51, 3.06, 1.34], [2.47, 3.3, 1.5]]
20:22:18.292 XYZ [[3.46, 3.02, 1.3], [2.47, 3.31, 1.51]]
20:22:18.375 XYZ [[3.46, 3.01, 1.31], [2.47, 3.31, 1.5]]
20:22:18.459 XYZ [[3.52, 2.9, 1.29], [2.46, 3.32, 1.51], [3.21, 2.57, 0.9]]
20:22:18.542 XYZ [[3.48, 2.81, 1.31], [2.48, 3.32, 1.5], [3.25, 2.44, 0.85]]
20:22:18.626 XYZ [[3.47, 2.76, 1.29], [2.49, 3.33, 1.51], [3.25, 2.37, 0.82]]
20:22:18.709 XYZ [[3.49, 2.64, 1.3], [2.5, 3.33, 1.51], [3.29, 2.22, 0.78]]
20:22:18.793 XYZ [[3.51, 2.54, 1.36], [2.5, 3.34, 1.52], [3.33, 2.09, 0.74], [0.0, 0.0, 0.0]]
20:22:18.877 XYZ [[3.53, 2.48, 1.39], [2.5, 3.34, 1.53], [3.35, 2.07, 0.75], [0.0, 0.0, 0.0]]
20:22:18.960 XYZ [[3.53, 2.4, 1.38], [2.51, 3.35, 1.53], [3.34, 2.0, 0.72], [0.0, 0.0, 0.0]]
20:22:19.043 XYZ [[3.51, 2.32, 1.4], [2.51, 3.34, 1.52], [1.85, 2.82, 1.39], [3.32, 1.93, 0.7], [0.0, 0.0, 0.0], [2.31, 3.02, 1.02]]
20:22:19.127 XYZ [[3.51, 2.28, 1.37], [2.5, 3.34, 1.52], [1.84, 2.83, 1.4], [3.33, 1.9, 0.7], [0.0, 0.0, 0.0], [2.32, 3.03, 1.0]]
20:22:19.210 XYZ [[3.51, 2.23, 1.36], [2.51, 3.35, 1.53], [1.79, 2.85, 1.41], [3.35, 1.85, 0.73], [0.0, 0.0, 0.0], [2.32, 3.05, 0.99]]
20:22:19.298 XYZ [[3.52, 2.17, 1.36], [2.48, 3.37, 1.53], [1.76, 2.88, 1.4], [3.37, 1.79, 0.7], [0.0, 0.0, 0.0], [2.33, 3.07, 0.95]]
20:22:19.383 XYZ [[3.52, 2.14, 1.33], [2.48, 3.38, 1.51], [1.74, 2.89, 1.4], [3.36, 1.77, 0.67], [0.0, 0.0, 0.0], [2.33, 3.07, 0.96]]
20:22:19.466 XYZ [[3.52, 2.11, 1.33], [2.49, 3.39, 1.49], [1.71, 2.93, 1.38], [3.3, 1.7, 0.68], [0.0, 0.0, 0.0], [2.34, 3.07, 0.97]]
20:22:19.550 XYZ [[3.54, 2.03, 1.32], [2.49, 3.4, 1.47], [1.69, 2.94, 1.37], [3.28, 1.63, 0.62], [0.0, 0.0, 0.0], [2.33, 3.08, 0.97]]
20:22:19.633 XYZ [[3.56, 2.06, 1.34], [2.49, 3.4, 1.47], [1.66, 2.96, 1.38], [3.2, 1.62, 0.69], [0.0, 0.0, 0.0], [2.33, 3.08, 0.97]]
20:22:19.717 XYZ [[3.53, 2.06, 1.37], [2.46, 3.39, 1.48], [1.65, 2.98, 1.42], [3.18, 1.64, 0.73], [0.0, 0.0, 0.0], [2.33, 3.07, 0.96]]
20:22:19.800 XYZ [[3.47, 2.09, 1.36], [2.46, 3.39, 1.49], [1.63, 3.01, 1.41], [3.15, 1.63, 0.73], [0.0, 0.0, 0.0], [2.36, 3.08, 0.98]]
20:22:19.884 XYZ [[3.37, 2.14, 1.4], [2.46, 3.39, 1.5], [1.63, 3.05, 1.44], [3.07, 1.66, 0.71], [0.0, 0.0, 0.0], [2.36, 3.08, 1.0]]
20:22:19.967 XYZ [[3.36, 2.15, 1.42], [2.45, 3.39, 1.51], [1.61, 3.09, 1.44], [3.03, 1.67, 0.74], [0.0, 0.0, 0.0], [2.36, 3.07, 1.03]]
20:22:20.051 XYZ [[3.31, 2.17, 1.46], [2.42, 3.4, 1.54], [1.6, 3.11, 1.46], [2.97, 1.73, 0.7], [0.0, 0.0, 0.0], [2.34, 3.09, 1.11]]
20:22:20.134 XYZ [[3.26, 2.2, 1.45], [2.42, 3.42, 1.58], [1.58, 3.12, 1.47], [2.91, 1.8, 0.73], [0.0, 0.0, 0.0], [2.34, 3.08, 1.12]]
20:22:20.218 XYZ [[3.23, 2.19, 1.44], [2.42, 3.42, 1.59], [1.58, 3.12, 1.47], [2.89, 1.84, 0.75], [0.0, 0.0, 0.0], [2.35, 3.09, 1.15]]
20:22:20.301 XYZ [[3.2, 2.19, 1.45], [2.43, 3.43, 1.58], [1.58, 3.12, 1.47], [2.81, 1.89, 0.74], [0.0, 0.0, 0.0], [2.36, 3.09, 1.16]]
20:22:20.385 XYZ [[3.15, 2.21, 1.43], [2.43, 3.43, 1.58], [1.58, 3.12, 1.47], [2.75, 1.93, 0.71], [0.0, 0.0, 0.0], [2.37, 3.08, 1.14]]
20:22:20.468 XYZ [[3.14, 2.23, 1.42], [2.44, 3.43, 1.58], [1.53, 3.17, 1.59], [2.72, 1.96, 0.7], [0.0, 0.0, 0.0], [2.37, 3.09, 1.13]]
20:22:20.554 XYZ [[3.08, 2.26, 1.39], [2.45, 3.44, 1.58], [1.56, 3.19, 1.61], [2.68, 2.0, 0.7], [0.0, 0.0, 0.0], [2.4, 3.09, 1.13]]
20:22:20.637 XYZ [[3.04, 2.28, 1.36], [2.47, 3.44, 1.58], [1.54, 3.19, 1.62], [2.62, 2.05, 0.7], [0.0, 0.0, 0.0], [2.41, 3.09, 1.13]]
20:22:20.722 XYZ [[3.03, 2.29, 1.35], [2.47, 3.43, 1.59], [1.58, 3.2, 1.66], [2.61, 2.05, 0.71], [0.0, 0.0, 0.0], [2.42, 3.09, 1.11]]
20:22:20.805 XYZ [[3.0, 2.27, 1.32], [2.48, 3.43, 1.56], [1.61, 3.18, 1.6], [2.58, 2.07, 0.73], [0.0, 0.0, 0.0], [2.44, 3.08, 1.09]]
20:22:20.889 XYZ [[2.96, 2.26, 1.32], [2.48, 3.43, 1.54], [1.62, 3.18, 1.58], [2.56, 2.11, 0.71], [0.0, 0.0, 0.0], [2.45, 3.08, 1.09]]
20:22:20.972 XYZ [[2.88, 2.21, 1.34], [2.48, 3.42, 1.51], [1.64, 3.18, 1.53], [2.55, 2.12, 0.71], [0.0, 0.0, 0.0], [2.48, 3.07, 1.06]]
20:22:21.056 XYZ [[2.85, 2.19, 1.34], [2.5, 3.41, 1.49], [1.67, 3.19, 1.5], [2.53, 2.13, 0.69], [0.0, 0.0, 0.0], [2.52, 3.07, 1.04]]
20:22:21.140 XYZ [[2.82, 2.16, 1.34], [2.53, 3.42, 1.5], [1.71, 3.25, 1.59], [2.49, 2.14, 0.68], [0.0, 0.0, 0.0], [2.56, 3.08, 1.01]]
20:22:21.223 XYZ [[2.79, 2.14, 1.36], [2.55, 3.43, 1.49], [1.75, 3.27, 1.6], [2.48, 2.13, 0.7], [0.0, 0.0, 0.0], [2.58, 3.06, 1.01]]
20:22:21.307 XYZ [[2.71, 2.09, 1.4], [2.59, 3.43, 1.49], [1.79, 3.35, 1.64], [2.42, 2.12, 0.74], [0.0, 0.0, 0.0], [2.61, 3.05, 1.01]]
20:22:21.390 XYZ [[2.65, 2.05, 1.42], [2.64, 3.4, 1.46], [1.85, 3.4, 1.64], [2.32, 2.14, 0.72], [0.0, 0.0, 0.0], [2.66, 3.01, 1.02]]
20:22:21.474 XYZ [[2.55, 2.0, 1.44], [2.66, 3.38, 1.45], [1.88, 3.44, 1.65], [2.24, 2.12, 0.71], [0.0, 0.0, 0.0], [2.69, 3.01, 1.01]]
20:22:21.557 XYZ [[2.49, 1.97, 1.47], [2.66, 3.35, 1.42], [1.91, 3.51, 1.68], [2.21, 2.09, 0.69], [0.0, 0.0, 0.0], [2.75, 2.99, 1.01]]
20:22:21.641 XYZ [[2.4, 1.94, 1.52], [2.67, 3.32, 1.4], [1.91, 3.55, 1.71], [2.13, 2.08, 0.64], [0.0, 0.0, 0.0], [2.78, 2.99, 1.02]]
20:22:21.724 XYZ [[2.34, 1.92, 1.52], [2.68, 3.3, 1.4], [1.89, 3.61, 1.73], [2.1, 2.1, 0.63], [0.0, 0.0, 0.0], [2.8, 2.99, 1.02]]
20:22:21.808 XYZ [[2.24, 1.89, 1.52], [2.68, 3.3, 1.4], [1.87, 3.68, 1.74], [2.04, 2.1, 0.59], [0.0, 0.0, 0.0], [2.82, 2.98, 1.02]]
20:22:21.891 XYZ [[2.19, 1.85, 1.56], [2.67, 3.26, 1.38], [1.83, 3.72, 1.74], [1.99, 2.1, 0.58], [0.0, 0.0, 0.0], [2.85, 2.98, 1.05]]
20:22:21.975 XYZ [[2.13, 1.82, 1.56], [2.68, 3.23, 1.38], [1.83, 3.73, 1.73], [1.97, 2.07, 0.61], [0.0, 0.0, 0.0], [2.85, 2.98, 1.05]]
20:22:22.058 XYZ [[2.09, 1.82, 1.58], [2.64, 3.2, 1.35], [1.79, 3.79, 1.68], [1.95, 2.07, 0.61], [0.0, 0.0, 0.0], [2.85, 2.98, 1.0]]
20:22:22.142 XYZ [[2.05, 1.81, 1.6], [2.58, 3.2, 1.41], [1.74, 3.83, 1.65], [1.92, 2.08, 0.56], [0.0, 0.0, 0.0], [2.82, 3.02, 0.95]]
20:22:22.225 XYZ [[2.02, 1.79, 1.63], [2.57, 3.19, 1.41], [1.72, 3.86, 1.64], [1.87, 2.06, 0.55], [0.0, 0.0, 0.0], [2.8, 3.04, 0.93]]
20:22:22.309 XYZ [[2.02, 1.81, 1.64], [2.55, 3.17, 1.43], [1.71, 3.9, 1.63], [1.85, 2.07, 0.57], [0.0, 0.0, 0.0], [2.82, 3.02, 0.91]]
20:22:22.392 XYZ [[2.02, 1.86, 1.66], [2.54, 3.18, 1.46], [1.7, 3.95, 1.6], [1.8, 2.08, 0.61], [0.0, 0.0, 0.0], [2.8, 3.01, 0.9]]
20:22:22.476 XYZ [[2.0, 1.87, 1.67], [2.53, 3.18, 1.45], [1.71, 3.97, 1.59], [1.76, 2.09, 0.63], [0.0, 0.0, 0.0], [2.81, 3.02, 0.9]]
20:22:22.559 XYZ [[1.95, 1.91, 1.7], [2.54, 3.2, 1.49], [1.71, 4.02, 1.58], [1.66, 2.07, 0.67], [0.0, 0.0, 0.0], [2.83, 2.99, 0.9]]
20:22:22.643 XYZ [[1.91, 1.97, 1.69], [2.54, 3.24, 1.5], [1.71, 4.05, 1.58], [1.58, 2.09, 0.73], [0.0, 0.0, 0.0], [2.89, 2.96, 0.91]]
20:22:22.730 XYZ [[1.85, 2.0, 1.69], [2.53, 3.27, 1.5], [1.69, 4.11, 1.55], [1.51, 2.16, 0.75], [0.0, 0.0, 0.0], [2.91, 2.94, 0.92]]
