20:31:18.378 XYZ [[3.55, 4.74, 1.35], [0.67, 4.14, 1.46]]
20:31:18.462 XYZ [[3.44, 4.76, 1.4], [0.66, 4.17, 1.44]]
20:31:18.545 XYZ [[3.41, 4.77, 1.4], [0.64, 4.22, 1.44], [2.88, 3.22, 1.44]]
20:31:18.629 XYZ [[3.32, 4.77, 1.42], [0.64, 4.26, 1.43], [2.87, 3.16, 1.42], [2.94, 5.57, 0.93]]
20:31:18.712 XYZ [[3.24, 4.77, 1.41], [0.63, 4.32, 1.41], [2.86, 3.08, 1.41], [2.87, 5.71, 0.96]]
20:31:18.796 XYZ [[3.21, 4.76, 1.41], [0.63, 4.38, 1.37], [2.86, 3.04, 1.41], [2.88, 5.76, 0.93]]
20:31:18.879 XYZ [[3.17, 4.75, 1.41], [0.65, 4.44, 1.36], [2.88, 2.94, 1.42], [2.88, 5.77, 0.95]]
20:31:18.963 XYZ [[3.15, 4.75, 1.38], [0.63, 4.49, 1.34], [2.86, 2.84, 1.42], [2.83, 5.78, 0.88]]
20:31:19.047 XYZ [[3.14, 4.75, 1.38], [0.61, 4.58, 1.34], [2.83, 2.8, 1.41], [2.83, 5.78, 0.9], [0.73, 4.71, 0.92]]
20:31:19.130 XYZ [[3.12, 4.76, 1.38], [0.62, 4.68, 1.35], [2.79, 2.69, 1.4], [2.71, 5.76, 0.94], [0.71, 4.79, 0.93]]
20:31:19.214 XYZ [[3.12, 4.78, 1.4], [0.62, 4.73, 1.34], [2.74, 2.62, 1.4], [2.61, 5.69, 0.92], [0.7, 4.86, 0.94]]
20:31:19.297 XYZ [[3.11, 4.79, 1.39], [0.61, 4.82, 1.33], [2.71, 2.6, 1.36], [2.56, 5.66, 0.94], [0.68, 4.9, 0.94]]
20:31:19.384 XYZ [[3.09, 4.8, 1.38], [0.62, 4.91, 1.3], [2.66, 2.55, 1.38], [2.5, 5.59, 0.96], [0.69, 5.0, 0.93]]
20:31:19.467 XYZ [[3.09, 4.8, 1.38], [0.62, 4.91, 1.3], [2.66, 2.55, 1.38], [2.5, 5.59, 0.96], [0.69, 5.0, 0.93]]
20:31:19.553 XYZ [[3.02, 4.82, 1.39], [0.59, 5.04, 1.3], [2.59, 2.51, 1.38], [2.44, 5.43, 1.02], [0.68, 5.1, 0.91]]
20:31:19.637 XYZ [[3.02, 4.8, 1.41], [0.59, 5.04, 1.3], [2.58, 2.49, 1.38], [2.43, 5.38, 1.04], [0.71, 5.2, 0.91]]
20:31:19.720 XYZ [[2.99, 4.79, 1.46], [0.53, 5.18, 1.32], [2.51, 2.49, 1.35], [2.4, 5.29, 1.06], [0.7, 5.32, 0.9]]
20:31:19.803 XYZ [[3.03, 4.79, 1.53], [0.53, 5.21, 1.34], [2.48, 2.5, 1.34], [2.37, 5.26, 1.01], [0.65, 5.39, 0.91]]
20:31:19.887 XYZ [[3.01, 4.81, 1.55], [0.52, 5.23, 1.34], [2.46, 2.53, 1.3], [2.46, 5.26, 1.02], [0.64, 5.42, 0.91]]
20:31:19.970 XYZ [[3.04, 4.79, 1.56], [0.51, 5.29, 1.34], [2.44, 2.54, 1.28], [2.44, 5.2, 0.99], [0.62, 5.47, 0.89]]
20:31:20.054 XYZ [[3.19, 4.83, 1.61], [0.53, 5.33, 1.31], [2.37, 2.53, 1.25], [2.48, 5.2, 0.98], [0.64, 5.53, 0.88]]
20:31:20.137 XYZ [[3.22, 4.85, 1.61], [0.57, 5.4, 1.31], [2.33, 2.52, 1.27], [2.54, 5.3, 1.03], [0.65, 5.56, 0.88]]
20:31:20.221 XYZ [[3.3, 4.85, 1.63], [0.6, 5.45, 1.33], [2.31, 2.51, 1.19], [2.51, 5.35, 0.98], [0.68, 5.62, 0.9]]
20:31:20.304 XYZ [[3.4, 4.9, 1.67], [0.59, 5.49, 1.35], [2.26, 2.48, 1.16], [2.54, 5.41, 0.97], [0.71, 5.68, 0.89], [0.0, 0.0, 0.0]]
20:31:20.388 XYZ [[3.43, 4.93, 1.68], [0.62, 5.56, 1.34], [2.25, 2.46, 1.17], [2.57, 5.45, 0.96], [0.73, 5.72, 0.89], [0.0, 0.0, 0.0]]
20:31:20.471 XYZ [[3.55, 4.98, 1.71], [0.64, 5.6, 1.35], [2.19, 2.42, 1.15], [2.64, 5.52, 0.94], [0.76, 5.8, 0.87], [0.0, 0.0, 0.0]]
20:31:20.555 XYZ [[3.62, 4.98, 1.68], [0.68, 5.7, 1.33], [2.14, 2.39, 1.19], [2.72, 5.65, 0.92], [0.78, 5.84, 0.86], [0.0, 0.0, 0.0]]
20:31:20.638 XYZ [[3.67, 5.0, 1.67], [0.69, 5.79, 1.34], [2.09, 2.38, 1.18], [2.79, 5.76, 0.87], [0.79, 5.9, 0.86], [0.0, 0.0, 0.0]]
20:31:20.722 XYZ [[3.76, 5.03, 1.7], [0.76, 5.89, 1.33], [2.0, 2.37, 1.18], [2.86, 5.86, 0.81], [0.81, 5.95, 0.87], [0.0, 0.0, 0.0]]
20:31:20.805 XYZ [[3.75, 5.12, 1.66], [0.78, 5.92, 1.36], [1.9, 2.38, 1.18], [2.87, 5.96, 0.75], [0.85, 5.96, 0.9], [0.0, 0.0, 0.0]]
20:31:20.889 XYZ [[3.75, 5.12, 1.66], [0.82, 5.97, 1.37], [1.88, 2.4, 1.21], [2.91, 6.0, 0.73], [0.86, 5.98, 0.9], [0.0, 0.0, 0.0]]
20:31:20.972 XYZ [[3.73, 5.22, 1.61], [0.81, 6.0, 1.36], [1.8, 2.43, 1.22], [2.96, 6.1, 0.67], [0.89, 6.03, 0.91], [0.0, 0.0, 0.0]]
20:31:21.056 XYZ [[3.72, 5.28, 1.59], [0.82, 6.04, 1.37], [1.79, 2.46, 1.2], [3.0, 6.16, 0.66], [0.9, 6.05, 0.91], [0.0, 0.0, 0.0]]
20:31:21.139 XYZ [[3.68, 5.36, 1.63], [0.8, 5.97, 1.41], [1.76, 2.54, 1.18], [3.03, 6.21, 0.67], [0.96, 6.07, 0.88], [0.0, 0.0, 0.0]]
20:31:21.223 XYZ [[3.68, 5.46, 1.67], [0.79, 5.95, 1.41], [1.69, 2.61, 1.18], [3.04, 6.29, 0.61], [0.98, 6.09, 0.9], [0.0, 0.0, 0.0]]
20:31:21.306 XYZ [[3.69, 5.5, 1.6], [0.79, 5.95, 1.43], [1.62, 2.66, 1.18], [3.1, 6.39, 0.62], [1.0, 6.1, 0.9], [0.0, 0.0, 0.0]]
20:31:21.390 XYZ [[3.7, 5.53, 1.58], [0.81, 5.96, 1.43], [1.59, 2.68, 1.19], [3.09, 6.46, 0.64], [1.0, 6.12, 0.91], [0.0, 0.0, 0.0]]
20:31:21.479 XYZ [[3.68, 5.58, 1.54], [0.84, 5.95, 1.43], [1.52, 2.75, 1.2], [3.1, 6.54, 0.67], [0.97, 6.15, 0.92], [0.0, 0.0, 0.0]]
20:31:21.563 XYZ [[3.68, 5.66, 1.53], [0.87, 5.92, 1.44], [1.49, 2.8, 1.22], [3.12, 6.62, 0.69], [0.93, 6.18, 0.93], [0.0, 0.0, 0.0]]
20:31:21.647 XYZ [[3.7, 5.68, 1.52], [0.87, 5.88, 1.45], [1.48, 2.83, 1.22], [3.12, 6.68, 0.68], [0.9, 6.2, 0.93], [0.0, 0.0, 0.0]]
20:31:21.730 XYZ [[3.65, 5.72, 1.53], [0.87, 5.85, 1.45], [1.48, 2.87, 1.22], [3.07, 6.73, 0.68], [0.86, 6.22, 0.93], [0.0, 0.0, 0.0]]
20:31:21.814 XYZ [[3.69, 5.78, 1.53], [0.91, 5.82, 1.47], [1.47, 2.9, 1.23], [3.05, 6.74, 0.69], [0.84, 6.24, 0.91], [0.0, 0.0, 0.0]]
