20:40:18.061 XYZ [[1.09, 0.34, 1.53], [2.39, 1.93, 1.65]]
20:40:18.159 XYZ [[1.09, 0.35, 1.51], [2.39, 1.93, 1.69]]
20:40:18.243 XYZ [[1.1, 0.35, 1.51], [2.4, 1.95, 1.71]]
20:40:18.326 XYZ [[1.1, 0.33, 1.51], [2.37, 1.94, 1.73], [2.79, 5.18, 1.51]]
20:40:18.409 XYZ [[1.1, 0.33, 1.5], [2.35, 1.95, 1.74], [2.79, 5.17, 1.53]]
20:40:18.493 XYZ [[1.1, 0.33, 1.5], [2.34, 1.94, 1.75], [2.79, 5.16, 1.57], [1.11, 0.71, 0.97]]
20:40:18.576 XYZ [[1.1, 0.35, 1.49], [2.32, 1.93, 1.73], [2.8, 5.14, 1.58], [1.1, 0.71, 0.94]]
20:40:18.660 XYZ [[1.09, 0.36, 1.49], [2.31, 1.91, 1.73], [2.83, 5.14, 1.62], [1.09, 0.7, 0.9]]
20:40:18.743 XYZ [[1.09, 0.37, 1.51], [2.27, 1.89, 1.71], [2.84, 5.14, 1.64], [1.07, 0.69, 0.87]]
20:40:18.827 XYZ [[1.1, 0.38, 1.53], [2.24, 1.88, 1.68], [2.86, 5.14, 1.66], [1.07, 0.68, 0.85]]
20:40:18.910 XYZ [[1.08, 0.41, 1.51], [2.2, 1.85, 1.67], [2.89, 5.14, 1.69], [1.09, 0.69, 0.86], [3.05, 4.81, 0.74]]
20:40:18.994 XYZ [[1.08, 0.43, 1.51], [2.16, 1.84, 1.64], [2.93, 5.13, 1.72], [1.11, 0.71, 0.89], [3.06, 4.8, 0.74]]
20:40:19.077 XYZ [[1.08, 0.43, 1.51], [2.15, 1.83, 1.6], [2.95, 5.1, 1.75], [1.12, 0.72, 0.91], [3.09, 4.77, 0.78]]
20:40:19.161 XYZ [[1.08, 0.45, 1.53], [2.13, 1.84, 1.57], [2.96, 5.08, 1.77], [1.14, 0.72, 0.95], [3.1, 4.74, 0.8]]
20:40:19.244 XYZ [[1.08, 0.46, 1.53], [2.11, 1.84, 1.57], [2.96, 5.07, 1.79], [1.15, 0.71, 0.96], [3.11, 4.73, 0.81]]
20:40:19.328 XYZ [[1.09, 0.44, 1.54], [2.11, 1.86, 1.54], [2.98, 5.06, 1.83], [1.15, 0.68, 0.96], [3.13, 4.69, 0.84]]
20:40:19.411 XYZ [[1.1, 0.43, 1.53], [2.1, 1.88, 1.52], [3.0, 5.06, 1.82], [1.19, 0.67, 1.0], [3.14, 4.65, 0.83]]
20:40:19.499 XYZ [[1.1, 0.41, 1.53], [2.11, 1.9, 1.52], [3.04, 5.03, 1.85], [1.2, 0.66, 1.0], [3.15, 4.64, 0.83]]
20:40:19.582 XYZ [[1.1, 0.39, 1.52], [2.13, 1.93, 1.49], [3.07, 5.0, 1.87], [1.21, 0.65, 1.01], [3.16, 4.61, 0.81]]
20:40:19.666 XYZ [[1.11, 0.36, 1.51], [2.15, 1.95, 1.48], [3.09, 4.99, 1.89], [1.22, 0.65, 1.01], [3.15, 4.58, 0.79]]
20:40:19.749 XYZ [[1.1, 0.29, 1.51], [2.2, 1.96, 1.42], [3.09, 4.98, 1.91], [1.22, 0.64, 1.01], [3.14, 4.57, 0.78]]
20:40:19.833 XYZ [[1.1, 0.29, 1.51], [2.26, 1.97, 1.4], [3.08, 4.98, 1.91], [1.23, 0.64, 1.02], [3.15, 4.57, 0.75], [2.36, 1.91, 0.69]]
20:40:19.916 XYZ [[1.11, 0.29, 1.53], [2.31, 1.97, 1.4], [3.06, 4.99, 1.91], [1.24, 0.64, 1.05], [3.15, 4.56, 0.76], [2.4, 1.92, 0.7]]
20:40:20.003 XYZ [[1.1, 0.31, 1.52], [2.39, 1.97, 1.39], [3.07, 4.99, 1.91], [1.24, 0.65, 1.08], [3.15, 4.55, 0.76], [2.41, 1.94, 0.73]]
20:40:20.087 XYZ [[1.1, 0.29, 1.5], [2.46, 1.97, 1.39], [3.09, 4.99, 1.94], [1.24, 0.66, 1.09], [3.14, 4.54, 0.76], [2.41, 1.97, 0.73]]
20:40:20.170 XYZ [[1.1, 0.28, 1.48], [2.52, 1.96, 1.37], [3.11, 5.0, 1.96], [1.24, 0.66, 1.1], [3.14, 4.55, 0.77], [2.43, 1.98, 0.77]]
20:40:20.254 XYZ [[1.09, 0.27, 1.47], [2.59, 1.95, 1.32], [3.11, 4.99, 1.97], [1.23, 0.65, 1.13], [3.11, 4.57, 0.8], [2.6, 1.98, 0.75]]
20:40:20.337 XYZ [[1.12, 0.3, 1.54], [2.64, 1.94, 1.3], [3.09, 5.0, 1.98], [1.24, 0.65, 1.15], [3.1, 4.58, 0.78], [2.67, 1.99, 0.76]]
20:40:20.421 XYZ [[1.13, 0.3, 1.55], [2.74, 1.9, 1.28], [3.08, 5.02, 1.98], [1.25, 0.65, 1.16], [3.09, 4.58, 0.78], [2.72, 1.95, 0.75]]
20:40:20.504 XYZ [[1.15, 0.29, 1.58], [2.8, 1.87, 1.29], [3.08, 5.03, 1.98], [1.24, 0.65, 1.17], [3.09, 4.58, 0.78], [2.75, 1.92, 0.74]]
20:40:20.588 XYZ [[1.17, 0.3, 1.6], [2.83, 1.85, 1.3], [3.09, 5.04, 1.99], [1.26, 0.63, 1.19], [3.06, 4.58, 0.79], [2.81, 1.92, 0.78]]
20:40:20.671 XYZ [[1.17, 0.32, 1.65], [2.89, 1.82, 1.31], [3.09, 5.04, 2.01], [1.25, 0.61, 1.19], [3.03, 4.61, 0.78], [2.88, 1.91, 0.83]]
20:40:20.754 XYZ [[1.21, 0.32, 1.68], [2.94, 1.8, 1.31], [3.11, 5.04, 2.02], [1.27, 0.6, 1.18], [3.03, 4.62, 0.77], [2.9, 1.92, 0.85]]
20:40:20.838 XYZ [[1.23, 0.34, 1.71], [2.98, 1.81, 1.31], [3.11, 5.04, 2.0], [1.26, 0.61, 1.19], [3.02, 4.62, 0.78], [2.96, 1.89, 0.82]]
20:40:20.921 XYZ [[1.24, 0.35, 1.73], [3.0, 1.82, 1.32], [3.12, 5.03, 2.02], [1.26, 0.61, 1.19], [3.01, 4.63, 0.79], [3.0, 1.9, 0.81]]
20:40:21.005 XYZ [[1.22, 0.34, 1.75], [3.05, 1.84, 1.34], [3.11, 5.04, 1.99], [1.27, 0.61, 1.17], [3.01, 4.64, 0.82], [3.0, 1.91, 0.8]]
20:40:21.088 XYZ [[1.19, 0.36, 1.78], [3.08, 1.85, 1.35], [3.09, 5.05, 1.97], [1.27, 0.6, 1.17], [2.99, 4.65, 0.82], [3.21, 2.07, 1.01]]
20:40:21.172 XYZ [[1.18, 0.36, 1.76], [3.12, 1.89, 1.34], [3.08, 5.06, 1.96], [1.27, 0.6, 1.17], [2.98, 4.66, 0.84], [3.33, 2.14, 1.04]]
20:40:21.255 XYZ [[1.19, 0.36, 1.77], [3.14, 1.93, 1.35], [3.08, 5.06, 1.96], [1.26, 0.61, 1.17], [2.97, 4.65, 0.84], [3.36, 2.13, 1.04]]
20:40:21.339 XYZ [[1.18, 0.38, 1.78], [3.17, 1.99, 1.37], [3.08, 5.08, 1.96], [1.24, 0.61, 1.17], [2.96, 4.66, 0.85], [3.4, 2.15, 0.94]]
20:40:21.422 XYZ [[1.2, 0.37, 1.78], [3.18, 2.01, 1.38], [3.07, 5.08, 1.93], [1.24, 0.61, 1.17], [2.95, 4.65, 0.85], [3.44, 2.17, 0.94]]
20:40:21.506 XYZ [[1.2, 0.36, 1.79], [3.2, 2.05, 1.4], [3.07, 5.08, 1.93], [1.23, 0.6, 1.16], [2.95, 4.64, 0.82], [3.52, 2.2, 0.99]]
20:40:21.589 XYZ [[1.21, 0.36, 1.78], [3.27, 2.09, 1.43], [3.07, 5.07, 1.93], [1.23, 0.59, 1.16], [2.94, 4.63, 0.8], [3.57, 2.26, 0.95]]
20:40:21.673 XYZ [[1.21, 0.35, 1.78], [3.3, 2.12, 1.44], [3.07, 5.05, 1.92], [1.24, 0.6, 1.16], [2.95, 4.62, 0.79], [3.6, 2.3, 0.99]]
20:40:21.756 XYZ [[1.22, 0.32, 1.78], [3.34, 2.16, 1.45], [3.07, 5.04, 1.93], [1.24, 0.59, 1.16], [2.95, 4.62, 0.78], [3.59, 2.33, 0.99]]
20:40:21.840 XYZ [[1.21, 0.31, 1.74], [3.37, 2.2, 1.48], [3.05, 5.02, 1.94], [1.25, 0.58, 1.15], [2.93, 4.63, 0.78], [3.59, 2.39, 1.02]]
20:40:21.923 XYZ [[1.19, 0.32, 1.72], [3.4, 2.28, 1.54], [3.02, 4.98, 1.95], [1.24, 0.57, 1.15], [2.93, 4.61, 0.75], [3.56, 2.51, 1.06]]
20:40:22.006 XYZ [[1.2, 0.32, 1.73], [3.48, 2.33, 1.56], [2.97, 4.95, 1.92], [1.22, 0.59, 1.15], [2.91, 4.59, 0.75], [3.55, 2.57, 1.11]]
20:40:22.091 XYZ [[1.19, 0.28, 1.75], [3.5, 2.35, 1.58], [2.95, 4.93, 1.9], [1.21, 0.62, 1.14], [2.91, 4.59, 0.77], [3.56, 2.65, 1.13]]
20:40:22.174 XYZ [[1.16, 0.27, 1.76], [3.54, 2.41, 1.62], [2.91, 4.9, 1.9], [1.2, 0.61, 1.14], [2.83, 4.57, 0.73], [3.58, 2.75, 1.19]]
20:40:22.257 XYZ [[1.15, 0.27, 1.74], [3.59, 2.46, 1.66], [2.88, 4.89, 1.88], [1.19, 0.61, 1.15], [2.8, 4.55, 0.73], [3.59, 2.79, 1.22]]
20:40:22.341 XYZ [[1.13, 0.28, 1.74], [3.59, 2.47, 1.67], [2.81, 4.87, 1.85], [1.17, 0.61, 1.16], [2.76, 4.54, 0.74], [3.6, 2.87, 1.27]]
20:40:22.424 XYZ [[1.14, 0.26, 1.73], [3.62, 2.5, 1.67], [2.74, 4.87, 1.8], [1.18, 0.61, 1.16], [2.68, 4.52, 0.72], [3.59, 2.92, 1.34]]
20:40:22.508 XYZ [[1.13, 0.26, 1.75], [3.67, 2.51, 1.63], [2.69, 4.87, 1.77], [1.17, 0.6, 1.18], [2.61, 4.53, 0.72], [3.58, 2.95, 1.35]]
