16:51:19.369 XYZ [[3.2, 5.72, 0.54], [3.17, 4.18, 0.18]]
16:51:19.476 XYZ [[3.2, 5.72, 0.52], [3.19, 4.18, 0.17]]
16:51:19.560 XYZ [[3.19, 5.71, 0.51], [3.18, 4.17, 0.18]]
16:51:19.643 XYZ [[3.2, 5.7, 0.58], [3.18, 4.17, 0.18]]
16:51:19.727 XYZ [[3.2, 5.7, 0.58], [3.18, 4.17, 0.16]]
16:51:19.810 XYZ [[3.21, 5.68, 0.59], [3.27, 5.42, 0.53], [3.12, 4.2, 0.21]]
16:51:19.894 XYZ [[3.23, 4.34, -0.17], [3.19, 5.71, 0.61], [3.25, 5.43, 0.53], [3.1, 4.2, 0.2]]
16:51:19.977 XYZ [[3.24, 4.33, -0.17], [2.84, 5.16, 1.09], [3.18, 5.7, 0.66], [3.25, 5.42, 0.55], [3.08, 4.2, 0.19]]
16:51:20.060 XYZ [[3.24, 4.33, -0.17], [2.84, 5.16, 1.09], [2.84, 4.64, 0.4], [2.94, 4.35, 0.53], [3.17, 5.7, 0.66], [3.25, 5.42, 0.55], [3.06, 4.23, 0.23]]
16:51:20.144 XYZ [[3.23, 4.32, -0.18], [2.84, 5.17, 1.06], [3.13, 5.06, 0.61], [3.02, 4.86, -0.22], [2.82, 4.66, 0.45], [2.92, 4.34, 0.52], [3.17, 5.7, 0.66], [2.98, 5.99, 0.53], [3.26, 5.4, 0.58], [3.04, 4.24, 0.32]]
16:51:20.228 XYZ [[3.23, 4.33, -0.17], [2.84, 5.17, 1.06], [3.15, 5.1, 0.61], [3.02, 4.86, -0.22], [2.82, 4.66, 0.45], [2.87, 4.03, 0.51], [2.98, 4.38, 0.51], [3.17, 5.7, 0.66], [2.98, 6.0, 0.53], [3.27, 5.39, 0.59], [3.04, 4.24, 0.32]]
16:51:20.311 XYZ [[3.26, 4.33, -0.19], [2.81, 5.14, 1.04], [3.17, 5.12, 0.65], [3.0, 4.84, -0.17], [2.84, 4.68, 0.45], [2.88, 4.03, 0.53], [2.97, 4.35, 0.51], [3.15, 5.7, 0.7], [3.0, 6.03, 0.58], [3.27, 5.4, 0.59], [3.1, 4.25, 0.32]]
16:51:20.394 XYZ [[3.26, 4.34, -0.2], [2.8, 5.12, 1.03], [3.16, 5.13, 0.65], [3.0, 4.86, -0.11], [2.89, 4.64, 0.36], [2.92, 4.0, 0.51], [2.94, 4.36, 0.52], [3.17, 5.73, 0.68], [3.0, 6.02, 0.56], [3.27, 5.4, 0.63], [3.17, 4.7, -0.03], [3.15, 4.21, 0.28]]
16:51:20.478 XYZ [[3.25, 4.34, -0.2], [2.79, 5.13, 1.03], [3.15, 5.12, 0.65], [2.97, 4.85, -0.09], [2.88, 4.64, 0.36], [2.91, 3.98, 0.49], [2.97, 4.37, 0.48], [3.19, 5.69, 0.72], [2.99, 6.02, 0.56], [3.26, 5.4, 0.64], [3.18, 4.7, -0.05], [3.13, 4.21, 0.29]]
16:51:20.562 XYZ [[3.25, 4.34, -0.2], [2.79, 5.13, 1.03], [3.15, 5.12, 0.65], [3.0, 4.86, -0.13], [2.88, 4.64, 0.36], [2.91, 3.98, 0.49], [2.95, 4.35, 0.44], [3.19, 5.69, 0.72], [2.99, 6.02, 0.56], [3.26, 5.4, 0.64], [3.18, 4.7, -0.05], [3.13, 4.21, 0.29]]
16:51:20.646 XYZ [[3.25, 4.33, -0.23], [2.78, 5.11, 1.03], [3.12, 5.13, 0.62], [2.98, 4.85, -0.09], [2.85, 4.64, 0.32], [2.87, 3.97, 0.5], [2.94, 4.33, 0.44], [3.16, 5.7, 0.71], [2.97, 6.03, 0.54], [3.24, 5.4, 0.63], [3.16, 4.7, -0.03], [3.06, 4.25, 0.29]]
16:51:20.729 XYZ [[3.25, 4.35, -0.19], [2.78, 5.11, 1.03], [3.12, 5.13, 0.62], [2.98, 4.85, -0.09], [2.85, 4.64, 0.32], [2.87, 3.97, 0.5], [2.89, 4.32, 0.41], [3.16, 5.7, 0.71], [2.97, 6.03, 0.54], [3.23, 5.41, 0.63], [3.17, 4.72, -0.02], [3.06, 4.25, 0.29]]
16:51:20.815 XYZ [[3.21, 4.34, -0.16], [2.78, 5.08, 0.99], [3.14, 5.1, 0.64], [2.96, 4.83, -0.1], [2.86, 4.64, 0.35], [2.92, 3.95, 0.49], [2.88, 4.34, 0.42], [3.18, 5.65, 0.82], [3.01, 6.0, 0.56], [3.27, 5.42, 0.64], [3.22, 4.74, 0.01], [3.07, 4.2, 0.36]]
16:51:20.898 XYZ [[3.21, 4.34, -0.16], [2.81, 5.11, 1.0], [3.16, 5.08, 0.65], [2.96, 4.83, -0.1], [2.86, 4.64, 0.35], [2.92, 3.95, 0.49], [2.88, 4.34, 0.42], [3.22, 5.61, 0.8], [3.0, 6.0, 0.57], [3.27, 5.42, 0.64], [3.22, 4.74, 0.01], [3.04, 4.19, 0.33]]
16:51:20.982 XYZ [[3.3, 4.34, -0.19], [2.82, 5.13, 0.96], [3.15, 5.06, 0.68], [2.97, 4.85, -0.11], [2.92, 4.61, 0.38], [2.93, 3.95, 0.47], [2.91, 4.33, 0.28], [3.24, 5.63, 0.75], [3.0, 6.0, 0.57], [3.26, 5.4, 0.66], [3.21, 4.72, 0.04], [3.04, 4.19, 0.33]]
16:51:21.065 XYZ [[3.3, 4.34, -0.19], [2.82, 5.13, 0.96], [3.15, 5.06, 0.68], [2.97, 4.85, -0.11], [2.92, 4.61, 0.38], [2.93, 3.95, 0.47], [2.91, 4.33, 0.28], [3.24, 5.63, 0.75], [3.0, 6.0, 0.57], [3.26, 5.4, 0.66], [3.21, 4.72, 0.04], [3.04, 4.17, 0.31]]
16:51:21.154 XYZ [[3.3, 4.34, -0.15], [2.84, 5.15, 0.97], [3.14, 5.05, 0.68], [2.96, 4.87, -0.13], [2.9, 4.62, 0.39], [2.91, 3.97, 0.52], [3.02, 4.38, 0.38], [3.23, 5.63, 0.73], [3.01, 6.02, 0.6], [3.25, 5.41, 0.65], [3.2, 4.72, 0.04], [3.08, 4.21, 0.32]]
16:51:21.238 XYZ [[3.3, 4.37, -0.14], [2.85, 5.15, 0.95], [3.12, 5.03, 0.7], [2.94, 4.88, -0.14], [2.9, 4.62, 0.39], [2.9, 3.96, 0.52], [3.02, 4.38, 0.38], [3.24, 5.62, 0.74], [3.01, 6.0, 0.56], [3.24, 5.39, 0.66], [3.2, 4.72, 0.04], [3.07, 4.19, 0.33]]
