17:31:18.208 XYZ [[2.15, 2.09, 1.63], [2.97, 6.21, 1.69]]
17:31:18.310 XYZ [[2.14, 2.06, 1.66], [2.97, 6.21, 1.69]]
17:31:18.393 XYZ [[2.1, 2.08, 1.63], [4.97, 5.48, 1.83], [3.0, 6.21, 1.72]]
17:31:18.477 XYZ [[2.05, 2.07, 1.66], [4.97, 5.53, 1.87], [3.0, 6.2, 1.73], [4.87, 4.03, 1.93], [1.77, 5.92, 1.88]]
17:31:18.560 XYZ [[2.05, 2.09, 1.65], [5.06, 5.56, 1.85], [2.99, 6.22, 1.74], [0.75, 3.61, 1.5], [4.86, 4.03, 1.93], [1.77, 5.92, 1.87]]
17:31:18.644 XYZ [[2.05, 2.08, 1.62], [4.95, 5.56, 1.84], [3.01, 6.21, 1.74], [0.78, 3.62, 1.47], [4.83, 4.0, 1.92], [1.78, 5.94, 1.89]]
17:31:18.727 XYZ [[2.05, 2.09, 1.61], [5.04, 5.59, 1.83], [3.0, 6.22, 1.75], [0.78, 3.61, 1.47], [0.85, 4.75, 1.65], [4.81, 3.99, 1.92], [1.77, 5.95, 1.9]]
17:31:18.811 XYZ [[2.05, 2.09, 1.59], [4.91, 5.73, 1.82], [3.0, 6.19, 1.74], [0.8, 3.59, 1.44], [0.89, 2.82, 1.65], [0.8, 4.78, 1.64], [4.83, 4.01, 1.96], [1.79, 5.96, 1.91]]
17:31:18.894 XYZ [[2.02, 2.06, 1.56], [4.82, 5.74, 1.83], [3.0, 6.2, 1.73], [0.8, 3.57, 1.45], [0.83, 2.81, 1.59], [0.79, 4.78, 1.64], [4.85, 4.04, 2.0], [1.78, 5.97, 1.9]]
17:31:18.978 XYZ [[2.01, 2.08, 1.55], [4.89, 5.79, 1.81], [3.0, 6.2, 1.73], [0.8, 3.55, 1.45], [0.81, 2.8, 1.59], [0.77, 4.76, 1.65], [4.82, 4.04, 2.0], [1.78, 5.99, 1.89]]
17:31:19.061 XYZ [[2.02, 2.08, 1.55], [4.95, 5.78, 1.81], [3.0, 6.2, 1.73], [0.83, 3.56, 1.46], [0.92, 2.75, 1.57], [0.88, 4.74, 1.62], [5.09, 2.72, 1.45], [4.81, 4.04, 2.01], [1.76, 5.97, 1.91]]
17:31:19.145 XYZ [[2.02, 2.08, 1.56], [4.95, 5.78, 1.81], [3.0, 6.2, 1.73], [0.8, 3.55, 1.47], [0.88, 2.74, 1.57], [0.87, 4.73, 1.62], [5.09, 2.72, 1.44], [4.81, 4.04, 2.01], [4.5, 1.79, 1.47], [1.76, 5.98, 1.91]]
17:31:19.228 XYZ [[2.01, 2.08, 1.55], [4.99, 5.81, 1.81], [3.0, 6.2, 1.73], [0.79, 3.52, 1.48], [0.85, 2.75, 1.54], [0.88, 4.74, 1.64], [5.09, 2.73, 1.44], [4.79, 4.05, 2.0], [4.52, 1.8, 1.46], [1.76, 5.99, 1.91]]
17:31:19.312 XYZ [[2.01, 2.09, 1.58], [4.72, 5.71, 1.75], [3.0, 6.2, 1.73], [0.75, 3.5, 1.49], [0.86, 2.74, 1.57], [0.88, 4.73, 1.64], [4.92, 2.73, 1.44], [4.79, 4.07, 2.0], [4.47, 1.84, 1.41], [1.76, 6.03, 1.92]]
17:31:19.395 XYZ [[2.0, 2.02, 1.62], [4.75, 5.72, 1.73], [3.0, 6.2, 1.73], [0.86, 3.57, 1.51], [0.87, 2.76, 1.56], [0.93, 4.74, 1.68], [4.96, 2.73, 1.46], [4.8, 4.06, 1.97], [4.48, 1.91, 1.37], [1.74, 6.01, 1.94]]
17:31:19.479 XYZ [[1.98, 2.01, 1.63], [4.54, 5.68, 1.76], [3.0, 6.2, 1.73], [0.91, 3.55, 1.52], [0.94, 2.78, 1.56], [0.96, 4.76, 1.66], [4.87, 2.74, 1.48], [4.77, 4.05, 1.95], [4.42, 1.93, 1.35], [1.77, 6.0, 1.91]]
17:31:19.562 XYZ [[1.98, 2.01, 1.62], [4.54, 5.7, 1.75], [3.0, 6.2, 1.73], [0.91, 3.54, 1.52], [0.93, 2.76, 1.56], [0.94, 4.75, 1.64], [4.82, 2.75, 1.48], [4.75, 4.05, 1.95], [4.43, 1.94, 1.35], [1.77, 6.01, 1.89]]
17:31:19.646 XYZ [[2.0, 1.97, 1.6], [4.45, 5.62, 1.67], [3.0, 6.2, 1.73], [0.93, 3.54, 1.53], [0.91, 2.76, 1.55], [0.95, 4.75, 1.63], [4.81, 2.75, 1.49], [4.74, 4.04, 1.94], [4.39, 1.94, 1.37], [1.77, 6.01, 1.87]]
17:31:19.729 XYZ [[2.0, 1.98, 1.6], [4.46, 5.62, 1.64], [3.0, 6.2, 1.73], [0.94, 3.52, 1.53], [0.89, 2.76, 1.54], [0.95, 4.74, 1.62], [4.76, 2.77, 1.5], [4.71, 4.05, 1.94], [4.4, 1.95, 1.36], [1.77, 6.02, 1.89]]
17:31:19.812 XYZ [[2.01, 1.96, 1.57], [4.44, 5.62, 1.57], [3.0, 6.2, 1.73], [0.95, 3.52, 1.54], [0.88, 2.75, 1.55], [0.95, 4.73, 1.63], [4.72, 2.79, 1.47], [4.69, 4.04, 1.93], [4.42, 1.98, 1.35], [1.77, 6.02, 1.89]]
17:31:19.896 XYZ [[1.97, 1.93, 1.72], [4.48, 5.58, 1.5], [3.0, 6.2, 1.73], [0.89, 3.54, 1.53], [0.73, 2.73, 1.59], [0.95, 4.73, 1.64], [4.7, 2.8, 1.45], [4.69, 4.04, 1.95], [4.45, 1.94, 1.38], [1.79, 6.01, 1.85]]
17:31:19.979 XYZ [[1.96, 1.92, 1.68], [4.43, 5.57, 1.46], [3.0, 6.2, 1.73], [0.93, 3.55, 1.51], [0.71, 2.71, 1.59], [0.94, 4.73, 1.62], [4.72, 2.79, 1.42], [4.66, 4.05, 1.96], [4.39, 1.94, 1.4], [1.83, 6.02, 1.86]]
17:31:20.063 XYZ [[2.11, 1.89, 1.58], [4.41, 5.58, 1.49], [3.0, 6.2, 1.73], [0.93, 3.58, 1.52], [0.73, 2.72, 1.63], [0.97, 4.73, 1.51], [4.69, 2.8, 1.44], [4.66, 4.05, 1.95], [4.35, 1.93, 1.43], [1.85, 6.02, 1.77]]
17:31:20.146 XYZ [[1.98, 1.9, 1.6], [4.4, 5.6, 1.48], [3.0, 6.2, 1.73], [0.91, 3.62, 1.54], [0.86, 2.69, 1.69], [0.94, 4.75, 1.51], [4.67, 2.81, 1.46], [4.67, 4.08, 1.99], [4.33, 1.97, 1.47], [1.85, 6.02, 1.7]]
17:31:20.230 XYZ [[2.01, 1.89, 1.58], [4.4, 5.62, 1.44], [3.0, 6.2, 1.73], [0.9, 3.65, 1.53], [0.88, 2.67, 1.67], [0.9, 4.76, 1.49], [4.69, 2.83, 1.51], [4.67, 4.08, 2.0], [4.32, 1.99, 1.47], [1.81, 6.03, 1.67]]
17:31:20.313 XYZ [[2.01, 1.89, 1.57], [4.45, 5.58, 1.43], [3.0, 6.2, 1.73], [0.9, 3.66, 1.57], [1.0, 2.66, 1.71], [0.89, 4.75, 1.46], [4.68, 2.84, 1.52], [4.67, 4.09, 2.0], [4.33, 2.01, 1.47], [1.82, 6.03, 1.66]]
17:31:20.397 XYZ [[2.0, 1.9, 1.56], [4.52, 5.5, 1.57], [3.0, 6.2, 1.73], [0.9, 3.69, 1.6], [1.0, 2.68, 1.69], [0.88, 4.76, 1.43], [4.69, 2.82, 1.54], [4.67, 4.1, 2.02], [4.33, 1.94, 1.49], [1.81, 6.02, 1.64]]
17:31:20.480 XYZ [[1.92, 1.87, 1.63], [4.48, 5.49, 1.77], [3.0, 6.2, 1.73], [0.89, 3.7, 1.61], [1.03, 2.66, 1.68], [0.83, 4.75, 1.46], [4.74, 2.83, 1.52], [4.66, 4.11, 1.97], [4.3, 1.93, 1.52], [1.76, 6.02, 1.62]]
