17:37:19.949 XYZ [[3.32, 5.89, 1.76], [1.11, 3.78, 1.69], [0.92, 4.7, 1.85], [2.79, 3.03, 1.75], [1.92, 2.86, 1.68], [1.28, 3.21, 1.84], [4.78, 5.37, 1.57], [3.95, 3.67, 1.93], [3.7, 3.37, 1.63], [2.25, 6.36, 1.8]]
17:37:20.081 XYZ [[3.17, 5.95, 1.82], [1.15, 3.8, 1.72], [0.92, 4.69, 1.89], [2.85, 3.05, 1.71], [1.93, 2.81, 1.77], [1.29, 3.26, 1.81], [4.79, 5.48, 1.56], [3.97, 3.69, 1.91], [3.77, 3.38, 1.61], [2.21, 6.44, 1.74]]
17:37:20.164 XYZ [[3.13, 6.0, 1.83], [1.16, 3.81, 1.73], [0.93, 4.67, 1.86], [2.86, 3.02, 1.67], [1.93, 2.76, 1.76], [1.29, 3.29, 1.79], [4.75, 5.55, 1.54], [3.99, 3.71, 1.9], [3.8, 3.37, 1.7], [2.22, 6.21, 1.67]]
17:37:20.248 XYZ [[3.18, 6.08, 1.85], [1.16, 3.78, 1.73], [0.9, 4.67, 1.85], [2.91, 3.02, 1.65], [1.96, 2.73, 1.82], [1.3, 3.26, 1.84], [4.73, 5.57, 1.57], [4.0, 3.72, 1.91], [3.78, 3.33, 1.75], [2.22, 6.21, 1.67]]
17:37:20.332 XYZ [[3.18, 6.11, 1.85], [1.19, 3.81, 1.72], [0.89, 4.67, 1.84], [2.88, 3.03, 1.65], [1.97, 2.7, 1.82], [1.32, 3.24, 1.84], [4.71, 5.61, 1.55], [4.02, 3.73, 1.92], [3.81, 3.32, 1.76], [2.22, 6.21, 1.67]]
17:37:20.415 XYZ [[3.18, 6.13, 1.84], [1.18, 3.8, 1.76], [0.91, 4.68, 1.85], [2.9, 3.06, 1.68], [1.99, 2.69, 1.85], [1.32, 3.23, 1.83], [4.71, 5.61, 1.55], [4.01, 3.74, 1.92], [3.81, 3.32, 1.76], [2.31, 5.99, 1.78]]
17:37:20.499 XYZ [[3.18, 6.17, 1.84], [1.19, 3.81, 1.76], [0.94, 4.68, 1.87], [2.88, 3.06, 1.68], [2.0, 2.67, 1.87], [1.34, 3.24, 1.82], [4.65, 5.62, 1.5], [4.05, 3.78, 1.92], [3.83, 3.31, 1.73], [2.28, 5.97, 1.77]]
17:37:20.583 XYZ [[3.16, 6.19, 1.82], [1.18, 3.81, 1.77], [0.93, 4.68, 1.87], [2.83, 3.09, 1.66], [1.99, 2.65, 1.88], [1.37, 3.24, 1.84], [4.43, 5.53, 1.49], [4.08, 3.8, 1.9], [3.84, 3.31, 1.73], [2.25, 5.94, 1.79]]
17:37:20.666 XYZ [[3.14, 6.22, 1.85], [1.16, 3.8, 1.76], [0.9, 4.67, 1.86], [2.8, 3.08, 1.67], [1.97, 2.66, 1.85], [1.36, 3.21, 1.81], [4.4, 5.53, 1.5], [4.07, 3.8, 1.87], [3.8, 3.3, 1.74], [2.23, 5.93, 1.82]]
17:37:20.749 XYZ [[3.15, 6.21, 1.87], [1.17, 3.81, 1.77], [0.9, 4.66, 1.87], [2.77, 3.07, 1.7], [1.94, 2.68, 1.84], [1.35, 3.21, 1.78], [4.33, 5.56, 1.52], [4.07, 3.82, 1.88], [3.78, 3.31, 1.73], [2.21, 5.93, 1.87]]
17:37:20.833 XYZ [[3.15, 6.23, 1.87], [1.17, 3.83, 1.77], [0.88, 4.67, 1.86], [2.74, 3.07, 1.71], [1.94, 2.66, 1.91], [1.34, 3.22, 1.77], [4.29, 5.59, 1.58], [4.08, 3.85, 1.91], [3.81, 3.33, 1.72], [2.2, 5.93, 1.91]]
