17:49:18.435 XYZ [[0.49, 4.18, 1.89], [1.91, 5.99, 1.96]]
17:49:18.519 XYZ [[0.53, 4.18, 1.91], [1.92, 5.99, 1.97]]
17:49:18.602 XYZ [[0.54, 4.21, 1.89], [1.92, 6.0, 1.99]]
17:49:18.686 XYZ [[0.54, 4.23, 1.9], [3.54, 1.79, 1.71], [1.93, 5.99, 1.99]]
17:49:18.769 XYZ [[0.54, 4.24, 1.9], [3.52, 1.77, 1.71], [5.21, 2.49, 1.59], [1.93, 5.99, 1.99]]
17:49:18.854 XYZ [[0.54, 4.26, 1.9], [1.88, 2.43, 1.64], [3.52, 1.78, 1.7], [5.21, 2.49, 1.58], [0.48, 5.43, 1.55], [4.48, 6.08, 1.6], [1.92, 5.98, 2.0]]
17:49:18.937 XYZ [[0.56, 4.29, 1.85], [1.87, 2.43, 1.64], [3.5, 1.75, 1.66], [5.21, 2.49, 1.57], [0.44, 5.4, 1.56], [4.48, 6.03, 1.56], [1.92, 5.98, 2.01]]
17:49:19.020 XYZ [[0.56, 4.29, 1.85], [1.85, 2.43, 1.66], [3.5, 1.75, 1.66], [5.22, 2.48, 1.54], [0.44, 5.4, 1.56], [4.48, 6.07, 1.53], [1.93, 5.97, 1.96]]
17:49:19.104 XYZ [[0.74, 4.34, 1.8], [1.88, 2.42, 1.66], [3.57, 1.76, 1.52], [5.23, 2.48, 1.47], [0.6, 5.4, 1.48], [4.45, 6.09, 1.55], [1.92, 5.94, 1.96]]
17:49:19.187 XYZ [[0.78, 4.35, 1.76], [1.91, 2.4, 1.65], [3.69, 1.74, 1.45], [5.21, 2.42, 1.49], [0.65, 5.39, 1.43], [4.46, 6.08, 1.55], [5.43, 3.79, 1.23], [1.92, 5.95, 1.94]]
17:49:19.271 XYZ [[0.81, 4.36, 1.76], [1.92, 2.38, 1.66], [3.71, 1.81, 1.44], [5.2, 2.39, 1.49], [0.78, 5.38, 1.41], [4.45, 6.09, 1.56], [5.42, 3.79, 1.18], [1.92, 5.95, 1.94]]
17:49:19.355 XYZ [[0.82, 4.36, 1.76], [1.92, 2.38, 1.66], [3.72, 1.81, 1.4], [5.2, 2.38, 1.48], [0.67, 5.37, 1.42], [4.41, 6.12, 1.52], [5.42, 3.79, 1.18], [1.22, 3.32, 1.89], [1.92, 5.96, 1.92]]
17:49:19.438 XYZ [[0.82, 4.39, 1.8], [1.91, 2.37, 1.69], [3.74, 1.93, 1.33], [5.2, 2.38, 1.48], [0.55, 5.34, 1.41], [4.37, 6.13, 1.54], [6.18, 5.36, 1.58], [5.31, 3.85, 1.24], [1.3, 3.16, 1.85], [1.99, 5.95, 1.94]]
17:49:19.522 XYZ [[0.85, 4.37, 1.77], [1.93, 2.38, 1.68], [3.75, 2.01, 1.34], [5.2, 2.4, 1.43], [0.46, 5.32, 1.4], [4.37, 6.16, 1.52], [5.67, 5.33, 1.65], [5.31, 3.85, 1.22], [1.27, 3.15, 1.89], [2.01, 5.94, 1.95]]
17:49:19.606 XYZ [[0.78, 4.39, 1.74], [1.94, 2.39, 1.67], [3.74, 2.01, 1.31], [5.19, 2.4, 1.42], [0.65, 5.27, 1.35], [4.34, 6.19, 1.55], [5.37, 5.34, 1.64], [5.34, 3.86, 1.26], [1.36, 3.01, 1.86], [2.03, 5.95, 1.92]]
17:49:19.689 XYZ [[0.78, 4.39, 1.74], [1.94, 2.39, 1.68], [3.75, 2.01, 1.26], [5.2, 2.4, 1.45], [0.71, 5.25, 1.36], [4.37, 6.19, 1.55], [5.25, 5.33, 1.7], [5.33, 3.86, 1.28], [1.39, 3.02, 1.78], [2.04, 5.95, 1.92]]
17:49:19.773 XYZ [[0.76, 4.41, 1.71], [1.95, 2.37, 1.67], [3.75, 2.03, 1.24], [5.18, 2.37, 1.41], [0.64, 5.24, 1.33], [4.36, 6.13, 1.48], [5.27, 5.26, 1.65], [5.36, 3.84, 1.28], [1.45, 2.97, 1.6], [2.12, 5.97, 1.9]]
17:49:19.856 XYZ [[0.77, 4.4, 1.65], [1.95, 2.38, 1.7], [3.76, 2.06, 1.19], [5.18, 2.41, 1.41], [0.57, 5.23, 1.33], [4.37, 6.15, 1.51], [5.32, 5.26, 1.66], [5.36, 3.83, 1.28], [1.48, 2.98, 1.5], [2.16, 5.97, 1.9]]
17:49:19.940 XYZ [[0.71, 4.37, 1.67], [1.94, 2.39, 1.72], [3.75, 2.09, 1.16], [5.16, 2.44, 1.41], [0.6, 5.23, 1.33], [4.37, 6.16, 1.53], [5.36, 5.25, 1.66], [5.42, 3.84, 1.29], [1.35, 3.07, 1.59], [2.21, 6.0, 1.9]]
17:49:20.023 XYZ [[0.73, 4.32, 1.56], [1.93, 2.4, 1.75], [3.76, 2.09, 1.16], [5.16, 2.44, 1.41], [0.55, 5.24, 1.29], [4.38, 6.23, 1.58], [5.36, 5.28, 1.66], [5.48, 3.86, 1.29], [1.48, 3.06, 1.58], [2.23, 6.0, 1.9]]
17:49:20.107 XYZ [[0.74, 4.32, 1.55], [1.93, 2.4, 1.73], [3.77, 2.08, 1.17], [5.17, 2.42, 1.41], [0.56, 5.19, 1.26], [4.4, 6.25, 1.56], [5.39, 5.25, 1.65], [5.49, 3.89, 1.28], [1.48, 3.05, 1.54], [2.25, 6.02, 1.94]]
17:49:20.190 XYZ [[0.75, 4.31, 1.53], [1.93, 2.4, 1.74], [3.76, 2.07, 1.13], [5.18, 2.41, 1.4], [0.47, 5.16, 1.22], [4.4, 6.24, 1.57], [5.41, 5.24, 1.64], [5.49, 3.89, 1.28], [1.48, 3.04, 1.53], [2.29, 6.03, 1.94]]
17:49:20.274 XYZ [[0.75, 4.31, 1.53], [1.92, 2.4, 1.74], [3.76, 2.07, 1.13], [5.19, 2.41, 1.39], [0.47, 5.16, 1.22], [4.41, 6.25, 1.56], [5.45, 5.21, 1.63], [5.49, 3.89, 1.28], [1.48, 3.03, 1.52], [2.32, 6.04, 1.92]]
