18:05:18.405 XYZ [[1.32, 4.44, 2.46], [6.15, 3.24, 1.38]]
18:05:18.489 XYZ [[1.35, 4.43, 2.45], [6.19, 3.22, 1.35], [1.61, 5.43, 1.81]]
18:05:18.572 XYZ [[2.43, 3.13, 1.49], [3.69, 6.15, 2.52], [1.35, 4.43, 2.47], [6.25, 3.21, 1.32], [1.63, 5.43, 1.82]]
18:05:18.656 XYZ [[5.38, 5.31, 1.72], [2.53, 3.01, 1.43], [3.64, 6.17, 2.5], [1.35, 4.43, 2.48], [0.1, 3.5, 2.36], [3.23, 2.37, 1.86], [6.28, 3.2, 1.32], [1.64, 5.43, 1.83]]
18:05:18.739 XYZ [[5.39, 5.31, 1.72], [2.54, 2.98, 1.46], [3.6, 6.16, 2.5], [1.35, 4.44, 2.44], [-0.26, 3.55, 2.21], [3.2, 2.33, 1.85], [6.29, 3.17, 1.32], [1.61, 5.44, 1.83]]
18:05:18.823 XYZ [[5.37, 5.29, 1.74], [2.53, 2.98, 1.46], [3.59, 6.13, 2.49], [1.35, 4.44, 2.48], [-0.92, 3.51, 1.94], [3.15, 2.35, 1.83], [5.67, 4.22, 1.47], [6.34, 3.15, 1.3], [1.78, 3.58, 1.8], [1.59, 5.44, 1.81]]
18:05:18.906 XYZ [[5.37, 5.28, 1.71], [2.52, 3.01, 1.43], [3.61, 6.18, 2.48], [1.44, 4.44, 2.47], [-1.27, 3.47, 1.75], [3.11, 2.37, 1.8], [5.71, 4.23, 1.43], [6.37, 3.18, 1.29], [1.8, 3.6, 1.77], [1.64, 5.47, 1.76]]
18:05:18.990 XYZ [[5.22, 5.34, 1.83], [2.51, 3.0, 1.43], [3.61, 6.17, 2.47], [1.47, 4.46, 2.47], [2.4, 2.79, 1.59], [3.12, 2.36, 1.82], [5.73, 4.24, 1.42], [6.12, 3.28, 1.44], [1.8, 3.6, 1.77], [1.64, 5.46, 1.73]]
18:05:19.074 XYZ [[5.22, 5.34, 1.82], [2.48, 3.04, 1.45], [3.6, 6.17, 2.44], [1.47, 4.44, 2.49], [3.07, 2.89, 1.89], [3.16, 2.37, 1.88], [5.7, 4.22, 1.42], [5.95, 3.19, 1.47], [1.81, 3.58, 1.74], [1.72, 5.48, 1.66]]
18:05:19.157 XYZ [[5.23, 5.32, 1.84], [2.44, 3.06, 1.47], [3.6, 6.17, 2.42], [1.42, 4.47, 2.55], [3.23, 3.01, 1.29], [3.17, 2.41, 1.82], [5.7, 4.22, 1.43], [5.93, 3.18, 1.51], [1.79, 3.62, 1.69], [1.73, 5.45, 1.6]]
18:05:19.241 XYZ [[5.23, 5.32, 1.85], [2.44, 3.06, 1.47], [3.62, 6.15, 2.35], [1.48, 4.46, 2.51], [3.18, 3.04, 1.0], [3.18, 2.45, 1.82], [5.7, 4.22, 1.43], [5.89, 3.17, 1.52], [1.76, 3.62, 1.69], [1.7, 5.45, 1.6]]
18:05:19.324 XYZ [[5.21, 5.32, 1.87], [2.29, 3.17, 1.61], [3.57, 6.15, 2.32], [1.42, 4.42, 2.51], [3.28, 3.01, 0.68], [3.15, 2.46, 1.93], [5.7, 4.22, 1.43], [5.76, 3.21, 1.59], [1.71, 3.63, 1.7], [1.68, 5.44, 1.58]]
18:05:19.408 XYZ [[5.21, 5.32, 1.87], [2.27, 3.19, 1.61], [3.58, 6.15, 2.29], [1.44, 4.4, 2.49], [3.26, 3.04, 0.06], [3.11, 2.45, 1.94], [5.7, 4.22, 1.43], [5.73, 3.21, 1.62], [1.72, 3.62, 1.66], [1.67, 5.45, 1.57]]
18:05:19.491 XYZ [[5.18, 5.31, 1.83], [2.27, 3.19, 1.61], [3.57, 6.19, 2.22], [1.41, 4.37, 2.49], [3.2, 3.05, -0.23], [3.14, 2.49, 1.93], [5.7, 4.22, 1.43], [5.73, 3.24, 1.59], [1.71, 3.61, 1.67], [1.59, 5.44, 1.57]]
18:05:19.574 XYZ [[5.19, 5.31, 1.78], [2.25, 3.19, 1.63], [3.61, 6.18, 2.13], [1.4, 4.37, 2.48], [3.48, 3.05, -0.66], [3.2, 2.48, 1.88], [5.7, 4.22, 1.43], [5.77, 3.24, 1.57], [1.72, 3.61, 1.68], [1.57, 5.43, 1.58]]
18:05:19.659 XYZ [[5.21, 5.3, 1.77], [2.25, 3.19, 1.63], [3.61, 6.14, 2.15], [1.4, 4.37, 2.48], [3.59, 3.01, -1.11], [3.2, 2.48, 1.88], [5.7, 4.22, 1.43], [5.79, 3.23, 1.56], [1.72, 3.62, 1.72], [1.55, 5.41, 1.6]]
18:05:19.743 XYZ [[5.22, 5.3, 1.76], [2.25, 3.19, 1.63], [3.62, 6.13, 2.13], [1.4, 4.37, 2.48], [3.58, 3.0, -1.33], [3.19, 2.48, 1.9], [5.7, 4.22, 1.43], [5.77, 3.28, 1.55], [1.71, 3.62, 1.72], [1.51, 5.4, 1.59]]
18:05:19.826 XYZ [[5.22, 5.3, 1.74], [2.25, 3.19, 1.63], [3.65, 6.23, 2.09], [1.4, 4.37, 2.48], [3.77, 3.04, -1.71], [3.23, 2.54, 1.9], [5.63, 4.21, 1.52], [5.75, 3.3, 1.53], [1.72, 3.61, 1.73], [1.5, 5.41, 1.6]]
