20:11:18.451 XYZ [[3.88, 4.84, 1.52], [4.77, 4.72, 1.99], [1.79, 4.97, 1.72]]
20:11:18.557 XYZ [[3.9, 4.86, 1.51], [4.78, 4.74, 2.0], [1.81, 4.97, 1.72]]
20:11:18.641 XYZ [[3.9, 4.86, 1.5], [4.71, 4.75, 1.92], [1.81, 4.98, 1.72]]
20:11:18.724 XYZ [[3.89, 4.85, 1.49], [4.26, 3.79, 1.77], [3.75, 2.83, 1.53], [4.7, 4.73, 1.88], [1.83, 5.0, 1.69]]
20:11:18.808 XYZ [[3.89, 4.85, 1.51], [1.26, 3.65, 1.35], [2.67, 5.43, 1.81], [4.29, 3.79, 1.78], [3.75, 2.84, 1.55], [4.61, 4.71, 1.79], [1.45, 2.96, 1.54], [1.89, 5.01, 1.7], [1.79, 4.42, 1.86]]
20:11:18.891 XYZ [[3.89, 4.85, 1.5], [1.26, 3.64, 1.35], [2.74, 5.49, 1.84], [4.31, 3.78, 1.78], [1.85, 2.37, 1.54], [3.7, 2.83, 1.57], [4.62, 4.72, 1.79], [1.44, 2.96, 1.54], [1.89, 5.02, 1.7], [1.79, 4.41, 1.87]]
20:11:18.975 XYZ [[3.88, 4.85, 1.49], [1.25, 3.63, 1.35], [2.76, 5.59, 1.92], [4.31, 3.77, 1.78], [1.83, 2.36, 1.52], [3.69, 2.83, 1.59], [4.59, 4.71, 1.76], [1.44, 2.96, 1.53], [1.89, 5.01, 1.71], [1.81, 4.4, 1.85]]
20:11:19.058 XYZ [[3.88, 4.85, 1.49], [1.25, 3.62, 1.33], [2.76, 5.58, 1.94], [4.31, 3.76, 1.78], [1.84, 2.37, 1.48], [3.67, 2.81, 1.59], [4.62, 4.68, 1.78], [1.44, 2.96, 1.53], [1.91, 5.01, 1.71], [1.81, 4.4, 1.85]]
20:11:19.141 XYZ [[3.88, 4.85, 1.48], [1.24, 3.61, 1.29], [2.74, 5.58, 1.94], [4.31, 3.77, 1.78], [1.83, 2.38, 1.47], [3.66, 2.81, 1.6], [4.61, 4.69, 1.78], [1.45, 2.96, 1.53], [1.92, 5.01, 1.7], [1.81, 4.41, 1.85]]
20:11:19.225 XYZ [[3.87, 4.84, 1.49], [1.24, 3.61, 1.29], [2.75, 5.6, 1.94], [4.36, 3.77, 1.8], [1.81, 2.39, 1.46], [3.64, 2.81, 1.6], [4.63, 4.69, 1.77], [1.45, 2.97, 1.56], [1.91, 4.98, 1.76], [1.83, 4.41, 1.83]]
20:11:19.308 XYZ [[3.85, 4.84, 1.49], [1.2, 3.61, 1.3], [2.72, 5.59, 1.92], [4.36, 3.78, 1.79], [1.8, 2.4, 1.44], [3.63, 2.82, 1.59], [4.61, 4.69, 1.78], [1.46, 2.97, 1.57], [1.92, 4.99, 1.78], [1.84, 4.39, 1.79]]
20:11:19.392 XYZ [[3.84, 4.85, 1.48], [1.2, 3.61, 1.3], [2.69, 5.56, 1.87], [4.42, 3.73, 1.8], [1.8, 2.44, 1.4], [3.67, 2.8, 1.61], [4.66, 4.67, 1.73], [1.44, 3.0, 1.58], [1.95, 4.99, 1.8], [1.87, 4.38, 1.76]]
20:11:19.475 XYZ [[3.84, 4.86, 1.49], [1.21, 3.67, 1.32], [2.62, 5.51, 1.77], [4.39, 3.7, 1.87], [1.6, 1.77, 1.49], [3.7, 2.85, 1.62], [4.64, 4.67, 1.75], [1.42, 3.01, 1.59], [1.98, 4.95, 1.8], [1.86, 4.38, 1.77]]
20:11:19.559 XYZ [[3.83, 4.86, 1.48], [1.26, 3.66, 1.3], [2.61, 5.51, 1.74], [4.39, 3.71, 1.84], [1.58, 1.82, 1.55], [3.71, 2.85, 1.64], [4.61, 4.67, 1.74], [1.44, 3.01, 1.61], [1.98, 4.95, 1.81], [1.86, 4.38, 1.77]]
20:11:19.642 XYZ [[3.83, 4.85, 1.46], [1.26, 3.66, 1.3], [2.59, 5.5, 1.71], [4.4, 3.72, 1.83], [1.58, 1.95, 1.57], [3.75, 2.88, 1.55], [4.59, 4.66, 1.73], [1.48, 3.03, 1.62], [1.99, 4.92, 1.83], [1.85, 4.38, 1.77]]
20:11:19.726 XYZ [[3.84, 4.85, 1.44], [1.33, 3.65, 1.26], [2.58, 5.5, 1.67], [4.4, 3.74, 1.8], [1.58, 1.97, 1.57], [3.75, 2.88, 1.55], [4.6, 4.64, 1.73], [1.49, 3.03, 1.62], [2.02, 4.92, 1.82], [1.84, 4.39, 1.79]]
20:11:19.809 XYZ [[3.84, 4.85, 1.44], [1.34, 3.66, 1.27], [2.56, 5.49, 1.66], [4.4, 3.74, 1.8], [1.54, 2.05, 1.54], [3.76, 2.87, 1.56], [4.59, 4.63, 1.71], [1.52, 3.05, 1.61], [2.04, 4.91, 1.82], [1.84, 4.4, 1.83]]
20:11:19.893 XYZ [[3.84, 4.85, 1.44], [1.35, 3.66, 1.27], [2.54, 5.48, 1.65], [4.38, 3.77, 1.79], [1.52, 2.09, 1.52], [3.75, 2.87, 1.57], [4.59, 4.63, 1.71], [1.53, 3.04, 1.62], [2.06, 4.89, 1.81], [1.84, 4.4, 1.84]]
20:11:19.983 XYZ [[3.84, 4.85, 1.44], [1.38, 3.67, 1.26], [2.54, 5.46, 1.62], [4.36, 3.79, 1.73], [1.53, 2.11, 1.52], [3.79, 2.9, 1.58], [4.58, 4.62, 1.71], [1.55, 3.06, 1.6], [2.06, 4.88, 1.83], [1.86, 4.42, 1.84]]
20:11:20.066 XYZ [[3.84, 4.86, 1.46], [1.4, 3.67, 1.27], [2.52, 5.45, 1.63], [4.35, 3.79, 1.73], [1.26, 1.88, 1.4], [3.82, 2.9, 1.52], [4.59, 4.6, 1.64], [1.55, 3.06, 1.6], [2.07, 4.86, 1.82], [1.87, 4.43, 1.81]]
20:11:20.149 XYZ [[3.82, 4.87, 1.44], [1.39, 3.66, 1.29], [2.54, 5.43, 1.59], [4.29, 3.82, 1.77], [1.11, 1.62, 1.22], [3.84, 2.86, 1.52], [4.59, 4.58, 1.65], [1.55, 3.06, 1.61], [2.06, 4.81, 1.83], [1.87, 4.45, 1.87]]
20:11:20.233 XYZ [[3.82, 4.86, 1.45], [1.4, 3.67, 1.28], [2.53, 5.43, 1.55], [4.29, 3.82, 1.8], [1.11, 1.62, 1.22], [3.85, 2.86, 1.53], [4.6, 4.55, 1.67], [1.54, 3.01, 1.6], [2.04, 4.79, 1.82], [1.84, 4.43, 1.89]]
