20:27:18.249 XYZ [[3.73, 3.99, 1.63], [2.34, 2.39, 1.38], [1.67, 3.39, -8.5]]
20:27:18.332 XYZ [[3.73, 4.01, 1.62], [2.3, 2.39, 1.4], [1.43, 3.18, -7.16]]
20:27:18.416 XYZ [[3.75, 4.01, 1.64], [2.3, 2.39, 1.38], [4.72, 4.63, 1.63], [1.74, 3.38, -5.03]]
20:27:18.499 XYZ [[3.75, 4.0, 1.64], [2.28, 2.4, 1.37], [4.73, 4.63, 1.64], [1.94, 3.31, -4.39]]
20:27:18.583 XYZ [[3.75, 4.0, 1.64], [2.26, 2.41, 1.37], [4.73, 4.64, 1.61], [2.21, 3.87, -1.46]]
20:27:18.666 XYZ [[3.75, 4.0, 1.65], [1.4, 4.51, -15.62], [2.24, 2.37, 1.42], [4.73, 4.62, 1.61], [0.97, 3.04, 2.8]]
20:27:18.750 XYZ [[3.75, 4.0, 1.66], [0.89, 4.92, -14.5], [2.23, 2.33, 1.41], [4.71, 4.64, 1.66], [0.97, 3.09, 3.02]]
20:27:18.833 XYZ [[5.05, 4.4, 1.94], [3.74, 4.01, 1.68], [4.31, 6.72, 11.57], [0.69, 4.63, -13.99], [2.22, 2.31, 1.42], [4.68, 4.64, 1.65], [0.94, 3.24, 2.76]]
20:27:18.916 XYZ [[5.01, 4.38, 1.88], [5.15, 2.59, 1.77], [3.73, 4.0, 1.66], [4.37, 5.96, 8.35], [0.55, 4.32, -13.09], [2.23, 2.29, 1.41], [4.69, 4.65, 1.68], [1.02, 3.32, 2.85]]
20:27:19.000 XYZ [[4.11, 3.49, 1.55], [4.98, 4.35, 1.91], [5.1, 2.62, 1.75], [3.74, 4.01, 1.68], [4.1, 5.44, 6.23], [0.53, 4.39, -12.96], [2.19, 2.28, 1.37], [4.69, 4.64, 1.7], [1.31, 3.5, 2.73]]
20:27:19.083 XYZ [[4.07, 3.49, 1.63], [5.02, 4.33, 1.93], [5.05, 2.68, 1.75], [3.74, 4.01, 1.68], [4.1, 5.44, 6.23], [1.33, 4.79, -12.53], [2.2, 2.26, 1.37], [4.7, 4.63, 1.69], [1.34, 3.46, 2.75]]
20:27:19.167 XYZ [[4.07, 3.49, 1.63], [5.09, 4.29, 2.0], [5.06, 2.69, 1.73], [3.74, 4.01, 1.68], [4.15, 5.25, 5.33], [1.6, 4.85, -12.1], [2.2, 2.24, 1.37], [4.7, 4.63, 1.68], [1.28, 3.43, 2.75]]
20:27:19.250 XYZ [[4.19, 3.46, 1.81], [5.09, 4.29, 2.0], [5.13, 2.62, 1.74], [3.73, 4.02, 1.7], [3.59, 5.28, 3.25], [1.64, 4.27, -10.35], [2.22, 2.23, 1.38], [4.72, 4.62, 1.69], [1.38, 3.5, 2.56]]
20:27:19.334 XYZ [[4.15, 3.45, 1.8], [5.12, 4.24, 1.98], [5.1, 2.64, 1.74], [3.73, 4.02, 1.7], [3.57, 5.26, 2.87], [2.09, 4.29, -8.89], [2.22, 2.23, 1.38], [4.72, 4.62, 1.69], [1.47, 3.57, 2.28]]
20:27:19.417 XYZ [[4.28, 3.42, 1.81], [5.12, 4.24, 1.98], [5.09, 2.71, 1.76], [3.73, 4.03, 1.7], [3.55, 5.23, 2.2], [2.47, 4.46, -3.75], [2.27, 2.22, 1.34], [4.73, 4.59, 1.71], [1.61, 3.55, 2.22]]
20:27:19.501 XYZ [[4.25, 3.44, 1.8], [5.15, 4.18, 1.97], [5.08, 2.77, 1.78], [3.73, 4.03, 1.71], [3.52, 5.21, 2.05], [2.68, 4.38, 0.26], [2.29, 2.21, 1.3], [4.73, 4.58, 1.71], [1.61, 3.52, 2.32]]
20:27:19.584 XYZ [[4.31, 3.45, 1.84], [5.27, 4.12, 1.91], [5.1, 2.74, 1.8], [3.74, 4.02, 1.72], [3.49, 5.21, 1.91], [2.67, 4.33, 0.66], [2.29, 2.23, 1.28], [4.72, 4.58, 1.69], [1.62, 3.51, 2.33]]
20:27:19.668 XYZ [[4.31, 3.45, 1.84], [5.27, 4.12, 1.91], [5.04, 2.75, 1.77], [3.75, 4.02, 1.72], [3.44, 5.2, 1.8], [2.65, 4.32, 0.88], [2.27, 2.24, 1.28], [4.7, 4.58, 1.69], [1.68, 3.54, 2.32]]
20:27:19.751 XYZ [[4.31, 3.45, 1.84], [5.26, 4.12, 1.93], [5.03, 2.78, 1.75], [3.76, 4.03, 1.72], [3.41, 5.2, 1.75], [2.63, 4.31, 0.93], [2.25, 2.25, 1.27], [4.7, 4.58, 1.68], [1.68, 3.55, 2.36]]
20:27:19.835 XYZ [[4.31, 3.45, 1.84], [5.26, 4.12, 1.93], [5.01, 2.77, 1.75], [3.78, 4.04, 1.74], [3.39, 5.19, 1.72], [2.6, 4.27, 1.14], [2.24, 2.27, 1.28], [4.7, 4.58, 1.69], [1.67, 3.54, 2.38]]
20:27:19.918 XYZ [[4.31, 3.45, 1.84], [5.32, 4.07, 1.88], [5.01, 2.77, 1.75], [3.78, 4.04, 1.74], [3.38, 5.2, 1.68], [2.57, 4.27, 1.18], [2.24, 2.27, 1.28], [4.7, 4.58, 1.69], [1.68, 3.54, 2.38]]
20:27:20.002 XYZ [[4.2, 3.42, 1.95], [5.3, 4.07, 1.87], [5.0, 2.84, 1.76], [3.78, 4.03, 1.73], [3.34, 5.2, 1.64], [2.54, 4.29, 1.39], [2.22, 2.27, 1.28], [4.69, 4.58, 1.68], [1.66, 3.54, 2.4]]
20:27:20.085 XYZ [[4.21, 3.42, 2.0], [5.24, 4.07, 1.85], [4.99, 2.87, 1.77], [3.77, 4.03, 1.72], [3.33, 5.18, 1.61], [2.51, 4.31, 1.48], [2.18, 2.29, 1.26], [4.68, 4.59, 1.67], [1.71, 3.64, 2.37]]
20:27:20.169 XYZ [[4.2, 3.42, 2.01], [5.24, 4.07, 1.84], [4.99, 2.88, 1.77], [3.77, 4.03, 1.7], [3.33, 5.18, 1.61], [2.5, 4.31, 1.54], [2.18, 2.29, 1.26], [4.68, 4.59, 1.67], [1.7, 3.64, 2.38]]
20:27:20.252 XYZ [[4.16, 3.43, 2.07], [5.21, 4.09, 1.8], [4.98, 2.91, 1.74], [3.76, 4.03, 1.7], [3.3, 5.2, 1.59], [2.48, 4.32, 1.61], [2.17, 2.3, 1.26], [4.69, 4.59, 1.67], [1.71, 3.66, 2.39]]
20:27:20.336 XYZ [[4.11, 3.44, 2.09], [5.2, 4.1, 1.81], [5.0, 2.93, 1.72], [3.74, 4.01, 1.68], [3.28, 5.17, 1.58], [2.47, 4.33, 1.73], [2.17, 2.3, 1.26], [4.71, 4.62, 1.71], [1.82, 3.68, 2.41]]
20:27:20.419 XYZ [[4.13, 3.44, 2.07], [5.18, 4.09, 1.8], [5.01, 2.95, 1.69], [3.72, 4.01, 1.67], [3.3, 5.08, 1.58], [2.4, 4.33, 1.83], [2.22, 2.37, 1.4], [4.74, 4.67, 1.75], [1.86, 3.71, 2.4]]
20:27:20.502 XYZ [[4.18, 3.47, 2.07], [5.18, 4.11, 1.8], [5.02, 2.95, 1.69], [3.72, 4.0, 1.67], [3.3, 5.08, 1.58], [2.37, 4.35, 1.9], [2.23, 2.38, 1.41], [4.73, 4.69, 1.78], [1.88, 3.75, 2.32]]
20:27:20.586 XYZ [[4.15, 3.49, 2.1], [5.15, 4.13, 1.79], [5.03, 2.96, 1.66], [3.71, 4.0, 1.68], [3.32, 5.0, 1.57], [2.37, 4.35, 1.9], [2.28, 2.38, 1.43], [4.74, 4.69, 1.78], [1.88, 3.75, 2.32]]
20:27:20.669 XYZ [[4.16, 3.47, 2.12], [5.14, 4.16, 1.76], [5.03, 2.98, 1.64], [3.72, 4.0, 1.67], [3.31, 4.98, 1.51], [2.37, 4.35, 1.96], [2.34, 2.37, 1.45], [4.7, 4.7, 1.75], [1.88, 3.75, 2.32]]
20:27:20.754 XYZ [[4.22, 3.49, 2.11], [5.09, 4.16, 1.75], [5.04, 3.0, 1.64], [3.7, 4.0, 1.65], [3.32, 4.96, 1.49], [2.38, 4.36, 2.02], [2.31, 2.34, 1.5], [4.69, 4.7, 1.73], [1.88, 3.75, 2.32], [1.86, 3.3, 1.65]]
20:27:20.838 XYZ [[4.2, 3.53, 2.08], [5.04, 4.16, 1.73], [5.04, 3.0, 1.64], [3.69, 4.0, 1.63], [3.37, 4.89, 1.49], [2.38, 4.36, 2.08], [2.3, 2.34, 1.57], [4.71, 4.71, 1.75], [1.94, 3.71, 2.14], [1.87, 3.21, 1.55]]
20:27:20.921 XYZ [[4.2, 3.57, 2.06], [4.97, 4.19, 1.68], [5.04, 3.0, 1.64], [3.69, 4.0, 1.63], [3.36, 4.82, 1.5], [2.36, 4.36, 2.13], [2.29, 2.36, 1.61], [4.66, 4.73, 1.74], [1.97, 3.71, 2.12], [1.87, 3.21, 1.55]]
20:27:21.005 XYZ [[4.2, 3.59, 2.05], [4.97, 4.19, 1.68], [5.0, 3.08, 1.65], [3.68, 3.99, 1.65], [3.38, 4.79, 1.47], [2.4, 4.36, 2.16], [2.3, 2.35, 1.62], [4.65, 4.7, 1.74], [1.98, 3.72, 2.1], [1.87, 3.21, 1.55]]
20:27:21.088 XYZ [[4.24, 3.66, 2.03], [4.91, 4.23, 1.62], [4.88, 3.16, 1.59], [3.68, 4.0, 1.68], [3.38, 4.79, 1.47], [2.39, 4.37, 2.15], [2.29, 2.34, 1.63], [4.61, 4.71, 1.75], [1.93, 3.74, 2.08], [1.87, 3.21, 1.55]]
20:27:21.172 XYZ [[4.29, 3.71, 2.01], [4.94, 4.23, 1.6], [4.84, 3.14, 1.59], [3.7, 4.0, 1.71], [3.38, 4.79, 1.47], [2.41, 4.36, 2.02], [2.34, 2.33, 1.63], [4.59, 4.72, 1.76], [1.91, 3.78, 2.07], [1.86, 3.23, 1.51]]
20:27:21.255 XYZ [[4.29, 3.72, 2.02], [4.96, 4.25, 1.64], [4.85, 3.14, 1.58], [3.7, 4.0, 1.73], [3.36, 4.68, 1.49], [2.45, 4.33, 2.01], [2.37, 2.33, 1.63], [4.61, 4.74, 1.77], [1.94, 3.78, 2.08], [1.83, 3.24, 1.48]]
20:27:21.341 XYZ [[4.3, 3.71, 2.07], [5.01, 4.23, 1.74], [4.83, 3.14, 1.58], [3.73, 3.99, 1.75], [3.33, 4.66, 1.47], [2.46, 4.35, 1.96], [2.34, 2.38, 1.61], [4.61, 4.75, 1.74], [1.93, 3.82, 2.07], [1.83, 3.25, 1.48]]
20:27:21.424 XYZ [[4.29, 3.71, 2.04], [5.01, 4.21, 1.87], [4.78, 3.12, 1.53], [3.71, 3.98, 1.77], [3.29, 4.62, 1.48], [2.49, 4.33, 1.99], [2.34, 2.37, 1.65], [4.6, 4.75, 1.72], [1.93, 3.82, 2.07], [1.83, 3.25, 1.48]]
20:27:21.508 XYZ [[4.33, 3.73, 2.04], [5.03, 4.21, 1.88], [4.76, 3.11, 1.52], [3.71, 3.98, 1.78], [3.26, 4.61, 1.48], [2.49, 4.32, 2.01], [2.35, 2.37, 1.65], [4.6, 4.75, 1.72], [1.93, 3.82, 2.07], [1.85, 3.25, 1.47]]
20:27:21.591 XYZ [[4.35, 3.74, 2.04], [5.0, 4.22, 1.91], [4.73, 3.11, 1.5], [3.68, 3.99, 1.77], [3.24, 4.65, 1.51], [2.5, 4.31, 2.04], [2.36, 2.34, 1.62], [4.57, 4.76, 1.7], [1.93, 3.82, 2.07], [1.86, 3.26, 1.47]]
20:27:21.675 XYZ [[4.34, 3.71, 2.07], [5.01, 4.22, 1.89], [4.73, 3.11, 1.5], [3.67, 4.01, 1.77], [3.26, 4.67, 1.53], [2.52, 4.33, 2.07], [2.26, 2.31, 1.59], [4.66, 4.87, 1.75], [1.93, 3.82, 2.07], [1.83, 3.24, 1.51]]
20:27:21.758 XYZ [[4.39, 3.66, 2.22], [5.04, 4.23, 1.91], [4.73, 3.11, 1.5], [3.61, 4.05, 1.75], [3.26, 4.72, 1.61], [2.51, 4.33, 2.08], [2.27, 2.32, 1.6], [4.64, 4.88, 1.71], [1.9, 3.74, 2.03], [1.8, 3.24, 1.49]]
20:27:21.842 XYZ [[4.36, 3.66, 2.2], [5.04, 4.23, 1.91], [4.73, 3.11, 1.5], [3.61, 4.06, 1.76], [3.28, 4.76, 1.62], [2.49, 4.33, 2.09], [2.24, 2.32, 1.61], [4.62, 4.91, 1.65], [1.88, 3.74, 2.01], [1.8, 3.24, 1.49]]
20:27:21.925 XYZ [[4.43, 3.66, 2.24], [5.05, 4.26, 1.93], [4.73, 3.11, 1.5], [3.62, 4.1, 1.76], [3.28, 4.78, 1.63], [2.51, 4.31, 2.09], [2.24, 2.32, 1.61], [4.62, 4.92, 1.65], [1.88, 3.72, 1.98], [1.79, 3.24, 1.5]]
20:27:22.008 XYZ [[4.47, 3.65, 2.25], [5.07, 4.28, 1.91], [4.88, 3.06, 1.48], [3.63, 4.12, 1.76], [3.26, 4.81, 1.64], [2.52, 4.31, 2.1], [2.24, 2.32, 1.61], [4.7, 4.89, 1.75], [1.85, 3.72, 1.96], [1.79, 3.25, 1.51]]
20:27:22.092 XYZ [[4.47, 3.66, 2.25], [5.09, 4.26, 1.91], [4.89, 3.03, 1.49], [3.63, 4.13, 1.76], [3.27, 4.82, 1.65], [2.52, 4.31, 2.13], [2.17, 2.24, 1.52], [4.7, 4.84, 1.76], [1.85, 3.69, 1.92], [1.81, 3.24, 1.51]]
20:27:22.175 XYZ [[4.46, 3.62, 2.33], [5.11, 4.25, 1.9], [4.92, 3.0, 1.48], [3.63, 4.15, 1.76], [3.26, 4.82, 1.65], [2.54, 4.31, 2.08], [2.19, 2.21, 1.55], [4.72, 4.79, 1.77], [1.87, 3.67, 1.91], [1.82, 3.23, 1.5]]
20:27:22.259 XYZ [[4.42, 3.56, 2.41], [5.14, 4.27, 1.91], [4.96, 2.95, 1.45], [3.63, 4.15, 1.76], [3.27, 4.83, 1.66], [2.54, 4.34, 2.02], [2.16, 2.22, 1.56], [4.73, 4.8, 1.77], [1.91, 3.68, 1.83], [1.8, 3.22, 1.51]]
20:27:22.343 XYZ [[4.43, 3.54, 2.4], [5.14, 4.27, 1.91], [4.96, 2.93, 1.45], [3.65, 4.17, 1.76], [3.27, 4.83, 1.66], [2.55, 4.34, 1.97], [2.13, 2.23, 1.54], [4.75, 4.78, 1.72], [1.89, 3.68, 1.81], [1.8, 3.22, 1.51]]
20:27:22.426 XYZ [[4.42, 3.52, 2.39], [5.12, 4.23, 1.87], [4.93, 2.89, 1.44], [3.65, 4.17, 1.76], [3.27, 4.87, 1.65], [2.55, 4.31, 1.93], [2.12, 2.23, 1.52], [4.8, 4.77, 1.73], [1.9, 3.66, 1.79], [1.8, 3.22, 1.51]]
20:27:22.509 XYZ [[4.35, 3.53, 2.35], [5.15, 4.21, 1.83], [5.02, 2.86, 1.43], [3.67, 4.2, 1.74], [3.29, 4.89, 1.63], [2.54, 4.3, 1.88], [2.11, 2.24, 1.5], [4.84, 4.74, 1.66], [1.9, 3.66, 1.8], [1.8, 3.22, 1.51]]
20:27:22.593 XYZ [[4.35, 3.53, 2.36], [5.12, 4.21, 1.83], [5.03, 2.85, 1.42], [3.67, 4.2, 1.74], [3.31, 4.94, 1.63], [2.56, 4.3, 1.87], [2.1, 2.26, 1.48], [4.85, 4.72, 1.64], [1.92, 3.67, 1.82], [1.84, 3.21, 1.51]]
20:27:22.676 XYZ [[4.35, 3.55, 2.32], [5.15, 4.2, 1.81], [5.03, 2.85, 1.42], [3.67, 4.19, 1.72], [3.32, 4.94, 1.65], [2.58, 4.29, 1.83], [2.1, 2.27, 1.44], [4.82, 4.72, 1.59], [1.87, 3.72, 1.84], [1.82, 3.21, 1.5]]
20:27:22.760 XYZ [[4.29, 3.55, 2.35], [5.2, 4.23, 1.78], [5.02, 2.88, 1.46], [3.67, 4.18, 1.74], [3.34, 4.94, 1.72], [2.59, 4.31, 1.77], [2.12, 2.26, 1.44], [4.79, 4.71, 1.57], [1.85, 3.71, 1.81], [1.81, 3.22, 1.5]]
