20:32:18.537 XYZ [[3.34, 3.51, 1.41], [3.58, 4.15, 2.01], [2.33, 1.47, 1.69], [3.75, 2.58, 2.01]]
20:32:18.620 XYZ [[3.33, 3.51, 1.43], [2.21, 4.75, 1.67], [3.59, 4.17, 1.98], [2.34, 1.48, 1.7], [1.32, 3.35, 1.32], [3.87, 2.58, 2.05]]
20:32:18.704 XYZ [[3.33, 3.51, 1.42], [2.23, 4.74, 1.63], [3.61, 4.19, 1.99], [2.34, 1.5, 1.67], [1.36, 3.34, 1.32], [3.94, 2.55, 2.14]]
20:32:18.787 XYZ [[3.33, 3.52, 1.42], [1.48, 4.18, 1.29], [2.23, 4.73, 1.63], [3.65, 4.21, 1.95], [2.4, 1.52, 1.63], [1.4, 3.34, 1.35], [4.02, 2.58, 2.13], [5.07, 3.52, 1.85]]
20:32:18.871 XYZ [[3.33, 3.52, 1.44], [1.5, 4.18, 1.3], [2.22, 4.74, 1.64], [3.67, 4.2, 1.94], [2.43, 1.54, 1.62], [1.4, 3.3, 1.42], [4.02, 2.57, 2.17], [5.09, 3.51, 1.86]]
20:32:18.954 XYZ [[3.33, 3.51, 1.44], [1.47, 4.17, 1.32], [2.2, 4.75, 1.65], [3.69, 4.19, 1.91], [2.31, 2.3, 1.46], [2.47, 1.56, 1.58], [1.4, 3.29, 1.44], [4.04, 2.57, 2.12], [5.11, 3.53, 1.85]]
20:32:19.037 XYZ [[3.32, 3.5, 1.44], [1.44, 4.19, 1.33], [2.2, 4.81, 1.64], [3.7, 4.16, 1.89], [2.44, 3.41, 1.99], [2.31, 2.29, 1.46], [2.52, 1.59, 1.58], [1.37, 3.36, 1.45], [4.17, 2.51, 2.02], [5.14, 3.55, 1.88]]
20:32:19.121 XYZ [[3.32, 3.5, 1.44], [1.44, 4.19, 1.33], [2.19, 4.83, 1.63], [3.7, 4.14, 1.88], [2.44, 3.43, 1.99], [2.3, 2.29, 1.45], [2.53, 1.62, 1.59], [1.37, 3.38, 1.46], [4.17, 2.51, 2.02], [5.15, 3.56, 1.88]]
20:32:19.204 XYZ [[3.3, 3.51, 1.46], [1.42, 4.21, 1.32], [2.19, 4.84, 1.6], [3.69, 4.12, 1.86], [2.45, 3.46, 1.99], [2.3, 2.3, 1.44], [2.55, 1.64, 1.58], [1.38, 3.38, 1.46], [4.17, 2.49, 2.01], [5.16, 3.58, 1.87]]
20:32:19.288 XYZ [[3.32, 3.5, 1.47], [1.42, 4.21, 1.32], [2.19, 4.86, 1.58], [3.69, 4.08, 1.87], [2.47, 3.46, 1.95], [2.3, 2.3, 1.45], [2.57, 1.68, 1.56], [1.4, 3.39, 1.48], [4.15, 2.41, 1.97], [5.21, 3.64, 1.86]]
20:32:19.371 XYZ [[3.33, 3.5, 1.46], [1.52, 4.25, 1.29], [2.21, 4.88, 1.58], [3.69, 4.08, 1.87], [2.46, 3.43, 1.93], [2.3, 2.3, 1.45], [2.57, 1.68, 1.55], [1.39, 3.38, 1.51], [4.16, 2.43, 1.89], [5.22, 3.65, 1.87]]
20:32:19.455 XYZ [[3.35, 3.5, 1.48], [1.49, 4.25, 1.32], [2.27, 4.92, 1.63], [3.69, 4.11, 1.85], [2.43, 3.38, 1.97], [2.25, 2.31, 1.44], [2.57, 1.68, 1.58], [1.4, 3.37, 1.52], [4.22, 2.45, 1.8], [5.26, 3.68, 1.89]]
20:32:19.539 XYZ [[3.34, 3.52, 1.45], [1.47, 4.26, 1.38], [2.27, 5.01, 1.64], [3.69, 4.13, 1.81], [2.43, 3.35, 1.96], [2.25, 2.3, 1.43], [2.55, 1.68, 1.57], [1.52, 3.34, 1.5], [4.23, 2.43, 1.8], [5.33, 3.71, 1.87]]
20:32:19.622 XYZ [[3.35, 3.52, 1.45], [1.52, 4.27, 1.34], [2.29, 5.02, 1.64], [3.69, 4.14, 1.8], [2.41, 3.34, 1.96], [2.25, 2.3, 1.42], [2.55, 1.69, 1.55], [1.56, 3.33, 1.5], [4.22, 2.43, 1.81], [5.36, 3.72, 1.86]]
20:32:19.705 XYZ [[3.36, 3.52, 1.45], [1.52, 4.27, 1.34], [2.3, 5.04, 1.66], [3.71, 4.17, 1.77], [2.41, 3.34, 1.94], [2.25, 2.32, 1.43], [2.56, 1.69, 1.57], [1.58, 3.32, 1.52], [4.31, 2.33, 1.76], [5.43, 3.78, 1.82]]
20:32:19.789 XYZ [[3.38, 3.53, 1.44], [1.53, 4.3, 1.39], [2.33, 5.05, 1.67], [3.7, 4.18, 1.79], [2.43, 3.36, 1.9], [2.23, 2.35, 1.44], [2.55, 1.68, 1.56], [1.6, 3.34, 1.57], [4.33, 2.34, 1.75], [5.47, 3.8, 1.82]]
20:32:19.872 XYZ [[3.39, 3.56, 1.43], [1.53, 4.32, 1.39], [2.33, 5.07, 1.67], [3.68, 4.18, 1.82], [2.45, 3.34, 1.93], [2.21, 2.37, 1.48], [2.53, 1.71, 1.52], [1.53, 3.37, 1.66], [4.36, 2.34, 1.74], [5.63, 3.85, 1.76]]
20:32:19.956 XYZ [[3.4, 3.56, 1.42], [1.52, 4.32, 1.38], [2.32, 5.08, 1.65], [3.69, 4.18, 1.82], [2.45, 3.34, 1.93], [2.22, 2.38, 1.49], [2.52, 1.72, 1.5], [1.54, 3.4, 1.71], [4.38, 2.34, 1.76], [5.69, 3.87, 1.74]]
20:32:20.039 XYZ [[3.39, 3.56, 1.46], [1.44, 4.32, 1.4], [2.33, 5.08, 1.67], [3.68, 4.17, 1.81], [2.46, 3.34, 1.96], [2.19, 2.38, 1.49], [2.51, 1.72, 1.49], [1.53, 3.4, 1.69], [4.43, 2.37, 1.71], [5.75, 3.88, 1.74]]
20:32:20.123 XYZ [[3.38, 3.56, 1.47], [1.38, 4.3, 1.45], [2.34, 5.1, 1.67], [3.67, 4.17, 1.81], [2.47, 3.36, 1.91], [2.18, 2.41, 1.51], [2.47, 1.72, 1.48], [1.49, 3.44, 1.69], [4.45, 2.4, 1.75], [5.94, 3.91, 1.7]]
20:32:20.206 XYZ [[3.38, 3.56, 1.44], [1.33, 4.28, 1.42], [2.35, 5.08, 1.7], [3.67, 4.18, 1.8], [2.52, 3.38, 1.83], [2.19, 2.42, 1.5], [2.46, 1.69, 1.5], [1.47, 3.43, 1.64], [4.47, 2.42, 1.75], [6.0, 3.93, 1.7]]
20:32:20.292 XYZ [[3.38, 3.57, 1.43], [1.31, 4.27, 1.4], [2.36, 5.08, 1.74], [3.66, 4.19, 1.79], [2.41, 3.43, 1.77], [2.21, 2.41, 1.49], [2.45, 1.7, 1.5], [1.44, 3.43, 1.63], [4.47, 2.43, 1.75], [6.07, 3.94, 1.7]]
20:32:20.375 XYZ [[3.34, 3.53, 1.45], [1.26, 4.26, 1.37], [2.38, 5.08, 1.76], [3.65, 4.2, 1.8], [2.39, 3.44, 1.76], [2.19, 2.39, 1.5], [2.43, 1.69, 1.49], [1.41, 3.45, 1.62], [4.51, 2.44, 1.75], [6.2, 3.96, 1.7]]
20:32:20.459 XYZ [[3.34, 3.54, 1.44], [1.26, 4.26, 1.35], [2.37, 5.08, 1.77], [3.63, 4.21, 1.81], [2.37, 3.45, 1.75], [2.2, 2.38, 1.49], [2.43, 1.68, 1.49], [1.42, 3.46, 1.6], [4.53, 2.48, 1.73], [6.27, 3.98, 1.69]]
20:32:20.542 XYZ [[3.34, 3.54, 1.45], [1.27, 4.24, 1.32], [2.37, 5.09, 1.82], [3.61, 4.22, 1.83], [2.31, 3.51, 1.75], [2.21, 2.38, 1.5], [2.43, 1.68, 1.5], [1.42, 3.46, 1.6], [4.54, 2.5, 1.7], [6.35, 3.99, 1.68]]
20:32:20.626 XYZ [[3.31, 3.54, 1.43], [1.26, 4.23, 1.3], [2.38, 5.12, 1.84], [3.59, 4.23, 1.84], [2.25, 3.49, 1.75], [2.2, 2.37, 1.49], [2.42, 1.67, 1.52], [1.42, 3.48, 1.61], [4.59, 2.52, 1.68], [6.35, 3.99, 1.68]]
20:32:20.709 XYZ [[3.32, 3.53, 1.43], [1.24, 4.22, 1.28], [2.42, 5.13, 1.84], [3.58, 4.23, 1.84], [2.28, 3.5, 1.75], [2.2, 2.37, 1.5], [2.46, 1.66, 1.5], [1.42, 3.49, 1.61], [4.6, 2.51, 1.67], [6.35, 3.99, 1.68]]
20:32:20.792 XYZ [[3.31, 3.54, 1.42], [1.24, 4.22, 1.28], [2.42, 5.13, 1.84], [3.58, 4.23, 1.84], [2.28, 3.5, 1.75], [2.23, 2.34, 1.51], [2.46, 1.66, 1.5], [1.42, 3.49, 1.61], [4.62, 2.53, 1.63], [6.35, 3.99, 1.68]]
20:32:20.876 XYZ [[3.32, 3.54, 1.43], [1.2, 4.22, 1.28], [2.41, 5.12, 1.85], [3.5, 4.29, 1.75], [2.32, 3.53, 1.69], [2.23, 2.33, 1.53], [2.48, 1.64, 1.53], [1.43, 3.51, 1.6], [4.61, 2.55, 1.61], [7.09, 3.9, 1.6]]
20:32:20.959 XYZ [[3.33, 3.54, 1.4], [1.2, 4.23, 1.24], [2.41, 5.13, 1.88], [3.5, 4.3, 1.74], [2.33, 3.53, 1.68], [2.22, 2.34, 1.51], [2.47, 1.64, 1.53], [1.43, 3.51, 1.6], [4.6, 2.56, 1.59], [7.19, 3.89, 1.56]]
20:32:21.043 XYZ [[3.34, 3.55, 1.4], [1.18, 4.23, 1.22], [2.41, 5.15, 1.89], [3.47, 4.32, 1.74], [2.34, 3.56, 1.65], [2.22, 2.33, 1.49], [2.47, 1.64, 1.54], [1.41, 3.51, 1.59], [4.6, 2.56, 1.56], [7.38, 3.87, 1.5]]
20:32:21.132 XYZ [[3.35, 3.55, 1.41], [1.15, 4.23, 1.2], [2.39, 5.16, 1.89], [3.45, 4.33, 1.72], [2.35, 3.55, 1.63], [2.2, 2.33, 1.46], [2.46, 1.66, 1.53], [1.42, 3.51, 1.61], [4.59, 2.57, 1.54], [7.47, 3.87, 1.51]]
20:32:21.215 XYZ [[3.34, 3.54, 1.42], [1.16, 4.24, 1.18], [2.37, 5.17, 1.89], [3.43, 4.36, 1.7], [2.35, 3.51, 1.64], [2.2, 2.33, 1.46], [2.45, 1.67, 1.52], [1.4, 3.49, 1.62], [4.6, 2.58, 1.53], [7.64, 3.86, 1.48]]
