20:52:18.261 XYZ [[4.32, 0.78, 2.06], [0.79, 3.66, 1.76]]
20:52:18.348 XYZ [[4.29, 0.82, 2.06], [0.74, 3.68, 1.77]]
20:52:18.431 XYZ [[4.33, 0.86, 2.06], [0.72, 3.67, 1.77], [3.65, 4.01, 1.84]]
20:52:18.516 XYZ [[4.36, 0.9, 1.97], [1.44, 4.37, 0.83], [0.7, 3.67, 1.79], [3.67, 3.99, 1.86], [3.99, 3.34, 1.52]]
20:52:18.600 XYZ [[4.39, 0.92, 1.97], [1.49, 4.4, 0.82], [0.67, 3.65, 1.8], [3.68, 3.97, 1.86], [3.98, 3.39, 1.51]]
20:52:18.683 XYZ [[4.45, 0.96, 1.97], [1.67, 4.48, 0.77], [0.65, 3.65, 1.81], [3.7, 3.94, 1.88], [3.94, 3.5, 1.5], [3.76, 3.68, 1.48]]
20:52:18.767 XYZ [[4.51, 1.01, 1.96], [1.74, 4.51, 0.75], [0.65, 3.67, 1.77], [3.76, 3.91, 1.89], [3.9, 3.62, 1.48], [3.94, 3.66, 1.47]]
20:52:18.850 XYZ [[4.51, 1.01, 1.96], [1.89, 4.47, 0.95], [0.82, 3.64, 1.84], [3.79, 3.89, 1.9], [4.25, 3.82, 1.7], [4.19, 1.33, 1.49], [3.87, 3.68, 1.47], [2.12, 2.23, 1.77], [3.86, 3.68, 1.41]]
20:52:18.934 XYZ [[4.61, 1.08, 1.95], [1.96, 4.48, 0.93], [0.89, 3.68, 1.89], [3.83, 4.0, 1.86], [3.99, 3.74, 1.62], [4.23, 1.31, 1.48], [3.78, 3.79, 1.46], [2.02, 2.35, 1.92], [-6.05, 15.01, -6.37], [3.84, 3.7, 1.42]]
20:52:19.019 XYZ [[4.65, 1.1, 1.95], [2.11, 4.55, 0.89], [0.88, 3.67, 1.91], [3.85, 3.98, 1.87], [4.15, 4.01, 1.86], [4.26, 1.33, 1.48], [3.75, 3.86, 1.45], [2.04, 2.38, 1.92], [-6.05, 15.01, -6.37], [3.78, 3.7, 1.41]]
20:52:19.102 XYZ [[4.46, 0.96, 1.85], [1.72, 4.65, 0.81], [0.87, 3.66, 1.91], [3.8, 4.03, 1.92], [3.72, 4.24, 1.95], [4.28, 1.34, 1.49], [3.68, 3.98, 1.43], [1.84, 2.41, 1.87], [-6.05, 15.01, -6.37], [3.64, 3.68, 1.37]]
20:52:19.186 XYZ [[4.25, 0.69, 1.87], [1.79, 4.56, 0.94], [0.87, 3.66, 1.91], [3.82, 4.01, 1.93], [3.57, 4.38, 2.14], [4.23, 1.3, 1.51], [3.49, 3.51, 1.51], [1.85, 2.41, 1.85], [-6.05, 15.01, -6.37], [3.5, 3.7, 1.34]]
20:52:19.269 XYZ [[4.19, 0.67, 1.82], [1.0, 4.49, 1.02], [0.91, 3.69, 1.83], [3.95, 4.19, 1.91], [3.42, 4.45, 2.25], [4.11, 1.26, 1.5], [3.6, 3.43, 1.48], [1.78, 2.36, 2.03], [-6.05, 15.01, -6.37], [3.33, 3.71, 1.3]]
20:52:19.353 XYZ [[4.2, 0.68, 1.81], [1.13, 4.58, 1.1], [0.98, 3.69, 1.82], [3.97, 4.19, 1.93], [3.42, 4.47, 2.25], [4.14, 1.26, 1.51], [3.53, 3.46, 1.59], [1.78, 2.35, 2.03], [-6.05, 15.01, -6.37], [3.24, 3.7, 1.26]]
20:52:19.436 XYZ [[4.15, 0.69, 1.82], [1.16, 4.61, 1.09], [1.02, 3.69, 1.8], [4.0, 4.19, 1.94], [3.2, 4.53, 2.06], [4.13, 1.23, 1.52], [3.74, 3.4, 1.63], [1.71, 2.41, 2.01], [-6.05, 15.01, -6.37], [3.08, 3.71, 1.24]]
20:52:19.520 XYZ [[4.14, 0.6, 1.95], [1.22, 4.55, 1.21], [1.02, 3.73, 1.79], [4.04, 4.19, 1.92], [3.19, 4.54, 2.03], [4.14, 1.22, 1.53], [3.75, 3.33, 1.63], [1.7, 2.47, 1.95], [-6.05, 15.01, -6.37], [2.94, 3.69, 1.25]]
20:52:19.603 XYZ [[4.11, 0.6, 1.9], [1.24, 4.55, 1.3], [1.05, 3.73, 1.81], [3.99, 4.14, 1.81], [3.12, 4.56, 1.92], [4.18, 1.23, 1.5], [3.88, 3.22, 1.53], [1.43, 2.5, 1.91], [-6.05, 15.01, -6.37], [2.86, 3.7, 1.26]]
20:52:19.687 XYZ [[4.09, 0.57, 1.88], [1.24, 4.55, 1.3], [1.08, 3.72, 1.82], [3.81, 4.11, 1.76], [3.1, 4.56, 1.88], [4.1, 1.2, 1.44], [3.9, 3.19, 1.57], [1.16, 2.49, 1.85], [-6.05, 15.01, -6.37], [2.7, 3.7, 1.28]]
20:52:19.770 XYZ [[4.08, 0.59, 1.86], [1.25, 4.51, 1.34], [1.1, 3.78, 1.79], [3.8, 4.12, 1.69], [3.03, 4.57, 1.9], [4.12, 1.22, 1.42], [3.88, 3.19, 1.58], [1.16, 2.49, 1.85], [-6.05, 15.01, -6.37], [2.59, 3.71, 1.34]]
20:52:19.854 XYZ [[4.1, 0.6, 1.86], [1.08, 4.48, 1.33], [1.11, 3.79, 1.83], [3.82, 4.12, 1.69], [3.02, 4.58, 1.89], [4.14, 1.23, 1.41], [3.88, 3.2, 1.57], [1.13, 2.51, 1.87], [-6.05, 15.01, -6.37], [2.49, 3.72, 1.35]]
20:52:19.937 XYZ [[4.1, 0.6, 1.86], [1.08, 4.48, 1.33], [1.11, 3.78, 1.83], [3.82, 4.12, 1.69], [3.01, 4.59, 1.89], [4.15, 1.25, 1.4], [3.85, 3.18, 1.6], [1.13, 2.51, 1.87], [-6.05, 15.01, -6.37], [2.45, 3.73, 1.37]]
20:52:20.021 XYZ [[4.1, 0.6, 1.86], [1.1, 4.48, 1.34], [1.11, 3.78, 1.83], [3.84, 4.12, 1.68], [2.96, 4.58, 1.87], [4.15, 1.25, 1.4], [3.83, 3.15, 1.64], [1.13, 2.51, 1.87], [-6.05, 15.01, -6.37], [2.37, 3.74, 1.38]]
20:52:20.108 XYZ [[4.1, 0.6, 1.86], [1.14, 4.47, 1.32], [1.11, 3.78, 1.83], [3.79, 4.12, 1.67], [2.96, 4.58, 1.87], [4.15, 1.25, 1.4], [3.83, 3.11, 1.67], [1.18, 2.5, 1.88], [-6.05, 15.01, -6.37], [2.37, 3.74, 1.38]]
