23:49:19.479 XYZ [[2.09, 2.48, 0.61], [1.59, 3.01, 0.74]]
23:49:19.584 XYZ [[2.09, 2.47, 0.6], [2.08, 2.75, 0.37], [2.0, 3.69, 0.59], [1.61, 3.01, 0.73]]
23:49:19.668 XYZ [[2.11, 2.49, 0.59], [2.09, 2.76, 0.39], [2.0, 3.69, 0.59], [1.62, 3.0, 0.72]]
23:49:19.752 XYZ [[2.11, 2.49, 0.6], [2.08, 2.76, 0.4], [2.01, 3.69, 0.6], [1.62, 2.99, 0.72]]
23:49:19.835 XYZ [[2.1, 2.49, 0.61], [2.07, 2.77, 0.41], [2.0, 3.68, 0.62], [1.6, 3.0, 0.72], [1.75, 3.31, 0.7]]
23:49:19.919 XYZ [[2.11, 2.48, 0.6], [2.07, 2.77, 0.41], [2.11, 3.44, 0.87], [2.0, 3.68, 0.62], [1.68, 2.55, 1.25], [1.62, 2.99, 0.72], [1.75, 3.31, 0.68]]
23:49:20.003 XYZ [[2.12, 2.49, 0.6], [2.07, 2.78, 0.41], [1.85, 3.1, 0.88], [2.13, 3.44, 0.86], [1.98, 3.69, 0.62], [2.07, 4.07, 0.86], [1.68, 2.55, 1.24], [1.61, 2.99, 0.72], [1.76, 3.3, 0.67]]
23:49:20.090 XYZ [[2.12, 2.49, 0.6], [2.06, 2.76, 0.42], [1.83, 3.09, 0.88], [2.13, 3.42, 0.86], [1.99, 3.68, 0.62], [2.08, 4.06, 0.85], [1.69, 2.54, 1.24], [1.6, 2.99, 0.74], [1.75, 3.31, 0.66]]
23:49:20.173 XYZ [[2.13, 2.49, 0.6], [2.06, 2.76, 0.42], [1.83, 3.1, 0.86], [2.14, 3.44, 0.87], [1.98, 3.68, 0.62], [2.08, 4.05, 0.85], [1.7, 2.53, 1.25], [1.6, 2.98, 0.74], [1.76, 3.31, 0.65]]
23:49:20.257 XYZ [[2.14, 2.49, 0.59], [2.07, 2.75, 0.43], [1.83, 3.09, 0.85], [2.14, 3.44, 0.88], [2.0, 3.68, 0.61], [2.09, 4.05, 0.85], [1.69, 2.55, 1.25], [1.62, 2.99, 0.72], [1.77, 3.32, 0.64], [1.72, 3.76, 0.5]]
23:49:20.340 XYZ [[2.14, 2.5, 0.59], [2.08, 2.76, 0.45], [1.81, 3.11, 0.85], [2.14, 3.44, 0.88], [2.0, 3.69, 0.59], [2.08, 4.05, 0.87], [1.69, 2.56, 1.25], [1.61, 2.99, 0.71], [1.77, 3.32, 0.64], [1.71, 3.76, 0.5]]
23:49:20.424 XYZ [[2.13, 2.49, 0.58], [2.07, 2.75, 0.44], [1.82, 3.1, 0.85], [2.15, 3.44, 0.88], [2.0, 3.69, 0.59], [2.08, 4.05, 0.87], [1.7, 2.56, 1.26], [1.6, 2.99, 0.72], [1.78, 3.33, 0.63], [1.7, 3.75, 0.51]]
23:49:20.507 XYZ [[2.13, 2.49, 0.58], [2.06, 2.75, 0.44], [1.83, 3.1, 0.86], [2.16, 3.45, 0.9], [2.0, 3.69, 0.61], [2.08, 4.05, 0.88], [1.7, 2.56, 1.27], [1.6, 3.0, 0.71], [1.76, 3.31, 0.61], [1.7, 3.75, 0.51]]
23:49:20.591 XYZ [[2.15, 2.5, 0.59], [2.08, 2.74, 0.43], [1.8, 3.08, 0.89], [2.16, 3.45, 0.9], [1.99, 3.7, 0.61], [2.08, 4.05, 0.88], [1.68, 2.56, 1.28], [1.61, 2.99, 0.72], [1.76, 3.33, 0.62], [1.71, 3.76, 0.51]]
23:49:20.674 XYZ [[2.15, 2.5, 0.6], [2.08, 2.75, 0.43], [1.82, 3.08, 0.88], [2.15, 3.46, 0.91], [1.98, 3.7, 0.62], [2.09, 4.05, 0.87], [1.66, 2.56, 1.24], [1.63, 2.99, 0.73], [1.75, 3.32, 0.63], [1.71, 3.75, 0.49]]
23:49:20.758 XYZ [[2.14, 2.49, 0.61], [2.09, 2.76, 0.42], [1.81, 3.07, 0.89], [2.15, 3.46, 0.91], [1.99, 3.7, 0.61], [2.08, 4.04, 0.89], [1.65, 2.56, 1.24], [1.62, 2.99, 0.72], [1.75, 3.32, 0.63], [1.71, 3.74, 0.48]]
23:49:20.841 XYZ [[2.14, 2.5, 0.6], [2.1, 2.76, 0.42], [1.81, 3.09, 0.91], [2.15, 3.45, 0.87], [2.0, 3.7, 0.6], [2.07, 4.03, 0.9], [1.65, 2.57, 1.24], [1.61, 3.01, 0.71], [1.74, 3.33, 0.62], [1.7, 3.74, 0.47]]
23:49:20.925 XYZ [[2.13, 2.49, 0.62], [2.1, 2.76, 0.42], [1.81, 3.1, 0.92], [2.16, 3.45, 0.84], [1.99, 3.7, 0.61], [2.08, 4.04, 0.91], [1.64, 2.57, 1.23], [1.64, 3.01, 0.71], [1.77, 3.33, 0.59], [1.7, 3.75, 0.45]]
23:49:21.008 XYZ [[2.14, 2.48, 0.63], [2.1, 2.76, 0.42], [1.83, 3.1, 0.92], [2.18, 3.46, 0.85], [2.0, 3.68, 0.63], [2.08, 4.03, 0.9], [1.66, 2.57, 1.23], [1.65, 3.0, 0.72], [1.77, 3.33, 0.6], [1.69, 3.75, 0.47]]
23:49:21.092 XYZ [[2.14, 2.49, 0.63], [2.12, 2.77, 0.44], [1.82, 3.09, 0.91], [2.2, 3.48, 0.88], [1.99, 3.68, 0.63], [2.07, 4.03, 0.9], [1.67, 2.57, 1.24], [1.64, 3.01, 0.72], [1.77, 3.33, 0.6], [1.67, 3.75, 0.46]]
