00:18:18.150 XYZ [[2.39, 3.99, 1.56], [2.07, 1.87, 1.78]]
00:18:18.305 XYZ [[2.35, 3.97, 1.57], [2.08, 1.88, 1.74]]
00:18:18.389 XYZ [[2.34, 3.97, 1.56], [2.07, 1.87, 1.74]]
00:18:18.472 XYZ [[2.34, 3.97, 1.56], [2.06, 1.89, 1.71], [0.0, 0.0, 0.0]]
00:18:18.556 XYZ [[2.36, 3.96, 1.58], [2.06, 1.88, 1.7], [0.0, 0.0, 0.0], [2.44, 2.78, 1.63]]
00:18:18.639 XYZ [[2.37, 3.96, 1.58], [2.42, 5.89, 1.52], [2.07, 1.91, 1.65], [0.0, 0.0, 0.0], [2.43, 2.78, 1.64]]
00:18:18.723 XYZ [[2.38, 3.97, 1.55], [2.44, 5.9, 1.49], [2.08, 1.9, 1.64], [0.0, 0.0, 0.0], [2.38, 6.37, 1.64], [2.42, 2.79, 1.65]]
00:18:18.806 XYZ [[2.38, 3.97, 1.53], [2.44, 5.9, 1.48], [2.07, 1.91, 1.64], [2.32, 4.62, 1.44], [0.0, 0.0, 0.0], [2.38, 6.36, 1.64], [2.41, 2.79, 1.66], [2.33, 7.14, 1.62]]
00:18:18.890 XYZ [[2.39, 3.97, 1.51], [2.46, 5.9, 1.48], [2.08, 1.91, 1.66], [2.33, 4.62, 1.43], [0.0, 0.0, 0.0], [2.37, 6.36, 1.63], [2.41, 2.8, 1.67], [2.2, 3.44, 1.31], [2.33, 7.12, 1.61]]
00:18:18.974 XYZ [[2.39, 3.97, 1.51], [2.46, 5.9, 1.48], [2.08, 1.9, 1.67], [2.34, 4.61, 1.42], [0.0, 0.0, 0.0], [2.37, 6.37, 1.59], [2.4, 2.81, 1.68], [2.22, 3.43, 1.31], [2.32, 7.12, 1.61]]
00:18:19.057 XYZ [[2.4, 3.97, 1.55], [2.47, 5.9, 1.47], [2.1, 1.89, 1.67], [2.34, 4.61, 1.42], [0.0, 0.0, 0.0], [2.38, 6.37, 1.57], [2.39, 2.82, 1.71], [2.22, 3.42, 1.33], [2.32, 7.11, 1.61]]
00:18:19.140 XYZ [[2.39, 3.97, 1.55], [2.46, 5.9, 1.45], [2.11, 1.89, 1.67], [2.35, 4.6, 1.4], [0.0, 0.0, 0.0], [2.37, 6.38, 1.55], [2.38, 2.84, 1.72], [2.23, 3.42, 1.34], [2.32, 7.1, 1.61]]
00:18:19.224 XYZ [[2.4, 3.98, 1.55], [2.45, 5.9, 1.44], [2.11, 1.93, 1.65], [2.35, 4.59, 1.4], [0.0, 0.0, 0.0], [2.37, 6.39, 1.56], [2.37, 2.84, 1.72], [2.24, 3.41, 1.34], [2.31, 7.09, 1.6]]
00:18:19.307 XYZ [[2.39, 3.98, 1.56], [2.45, 5.9, 1.43], [2.12, 1.95, 1.65], [2.35, 4.59, 1.38], [0.0, 0.0, 0.0], [2.35, 6.39, 1.55], [2.36, 2.84, 1.72], [2.24, 3.41, 1.35], [2.3, 7.08, 1.6]]
00:18:19.391 XYZ [[2.4, 3.98, 1.55], [2.45, 5.9, 1.43], [2.1, 1.97, 1.66], [2.35, 4.59, 1.38], [0.0, 0.0, 0.0], [2.35, 6.39, 1.55], [2.36, 2.84, 1.72], [2.25, 3.41, 1.35], [2.3, 7.06, 1.58]]
00:18:19.474 XYZ [[2.41, 3.98, 1.56], [2.45, 5.87, 1.42], [2.1, 1.96, 1.65], [2.33, 4.58, 1.37], [0.0, 0.0, 0.0], [2.38, 6.39, 1.6], [2.33, 2.83, 1.75], [2.25, 3.38, 1.39], [2.3, 7.04, 1.59]]
00:18:19.558 XYZ [[2.42, 3.98, 1.58], [2.45, 5.86, 1.42], [2.11, 1.97, 1.61], [2.34, 4.6, 1.39], [0.0, 0.0, 0.0], [2.39, 6.4, 1.6], [2.33, 2.83, 1.75], [2.26, 3.37, 1.4], [2.31, 7.03, 1.58]]
00:18:19.641 XYZ [[2.42, 3.98, 1.57], [2.44, 5.85, 1.4], [2.1, 2.02, 1.59], [2.35, 4.6, 1.39], [0.0, 0.0, 0.0], [2.41, 6.4, 1.57], [2.33, 2.83, 1.75], [2.27, 3.36, 1.42], [2.32, 7.04, 1.58]]
00:18:19.725 XYZ [[2.41, 3.98, 1.59], [2.43, 5.85, 1.38], [2.1, 2.03, 1.57], [2.33, 4.59, 1.36], [0.0, 0.0, 0.0], [2.4, 6.43, 1.59], [2.33, 2.82, 1.75], [2.28, 3.36, 1.43], [2.34, 7.05, 1.58]]
00:18:19.809 XYZ [[2.41, 3.97, 1.58], [2.42, 5.84, 1.37], [2.1, 2.06, 1.58], [2.32, 4.59, 1.35], [0.0, 0.0, 0.0], [2.41, 6.47, 1.6], [2.28, 0.96, 1.63], [2.38, 2.75, 1.71], [2.32, 3.36, 1.45], [2.37, 7.07, 1.58]]
00:18:19.892 XYZ [[2.41, 3.97, 1.57], [2.42, 5.84, 1.37], [2.08, 2.07, 1.58], [2.31, 4.58, 1.35], [0.0, 0.0, 0.0], [2.42, 6.5, 1.6], [2.27, 0.97, 1.64], [2.42, 2.72, 1.67], [2.36, 3.36, 1.47], [2.39, 7.08, 1.59]]
00:18:19.976 XYZ [[2.37, 3.99, 1.55], [2.42, 5.83, 1.37], [2.09, 2.09, 1.59], [2.31, 4.59, 1.34], [0.0, 0.0, 0.0], [2.44, 6.51, 1.64], [2.26, 0.96, 1.64], [2.41, 2.71, 1.68], [2.38, 3.37, 1.5], [2.4, 7.07, 1.6]]
00:18:20.059 XYZ [[2.37, 3.99, 1.53], [2.41, 5.82, 1.36], [2.08, 2.09, 1.58], [2.31, 4.6, 1.33], [0.0, 0.0, 0.0], [2.44, 6.52, 1.65], [2.26, 0.97, 1.65], [2.42, 2.7, 1.65], [2.4, 3.37, 1.5], [2.41, 7.1, 1.62]]
00:18:20.142 XYZ [[2.37, 3.99, 1.52], [2.4, 5.8, 1.35], [2.1, 2.07, 1.56], [2.3, 4.6, 1.32], [0.0, 0.0, 0.0], [2.43, 6.5, 1.65], [2.25, 0.96, 1.63], [2.42, 2.68, 1.63], [2.42, 3.35, 1.48], [2.41, 7.13, 1.62]]
00:18:20.226 XYZ [[2.35, 3.98, 1.5], [2.39, 5.79, 1.36], [2.09, 2.07, 1.55], [2.3, 4.61, 1.3], [0.0, 0.0, 0.0], [2.43, 6.51, 1.67], [2.25, 0.96, 1.62], [2.43, 2.68, 1.63], [2.43, 3.36, 1.47], [2.41, 7.14, 1.62]]
00:18:20.309 XYZ [[2.34, 3.97, 1.49], [2.4, 5.8, 1.36], [2.11, 2.12, 1.58], [2.31, 4.6, 1.29], [0.0, 0.0, 0.0], [2.43, 6.55, 1.69], [2.26, 0.97, 1.6], [2.46, 2.68, 1.61], [2.44, 3.38, 1.46], [2.42, 7.14, 1.61]]
00:18:20.394 XYZ [[2.33, 3.96, 1.49], [2.42, 5.78, 1.36], [2.12, 2.18, 1.63], [2.32, 4.6, 1.3], [0.0, 0.0, 0.0], [2.43, 6.57, 1.69], [2.24, 0.97, 1.6], [2.47, 2.68, 1.61], [2.43, 3.39, 1.45], [2.43, 7.14, 1.62]]
00:18:20.478 XYZ [[2.34, 3.96, 1.48], [2.42, 5.78, 1.36], [2.11, 2.18, 1.62], [2.33, 4.61, 1.29], [0.0, 0.0, 0.0], [2.44, 6.58, 1.71], [2.24, 0.97, 1.6], [2.47, 2.68, 1.61], [2.44, 3.39, 1.45], [2.43, 7.14, 1.63]]
00:18:20.561 XYZ [[2.35, 3.98, 1.51], [2.41, 5.76, 1.37], [2.06, 2.13, 1.6], [2.36, 4.63, 1.34], [0.0, 0.0, 0.0], [2.48, 6.55, 1.7], [2.23, 0.94, 1.63], [2.49, 2.68, 1.59], [2.41, 3.39, 1.44], [2.44, 7.13, 1.61]]
00:18:20.645 XYZ [[2.36, 3.99, 1.51], [2.41, 5.76, 1.37], [2.06, 2.13, 1.6], [2.39, 4.63, 1.34], [0.0, 0.0, 0.0], [2.45, 6.58, 1.67], [2.23, 0.95, 1.64], [2.49, 2.69, 1.58], [2.42, 3.41, 1.42], [2.45, 7.13, 1.63]]
00:18:20.728 XYZ [[2.32, 4.02, 1.48], [2.41, 5.77, 1.38], [2.15, 2.16, 1.74], [2.4, 4.62, 1.34], [0.0, 0.0, 0.0], [2.44, 6.58, 1.68], [2.21, 0.94, 1.65], [2.49, 2.69, 1.58], [2.41, 3.41, 1.41], [2.44, 7.12, 1.63]]
00:18:20.811 XYZ [[2.28, 4.05, 1.51], [2.41, 5.77, 1.38], [2.15, 2.06, 1.78], [2.41, 4.6, 1.35], [0.0, 0.0, 0.0], [2.43, 6.55, 1.68], [2.2, 0.93, 1.65], [2.49, 2.68, 1.6], [2.39, 3.41, 1.39], [2.44, 7.12, 1.63]]
00:18:20.895 XYZ [[2.28, 4.07, 1.53], [2.39, 5.77, 1.39], [2.14, 2.03, 1.77], [2.43, 4.54, 1.39], [0.0, 0.0, 0.0], [2.43, 6.52, 1.68], [2.19, 0.94, 1.66], [2.49, 2.69, 1.6], [2.38, 3.42, 1.38], [2.44, 7.11, 1.64]]
00:18:20.978 XYZ [[2.28, 4.08, 1.51], [2.38, 5.79, 1.38], [2.1, 1.98, 1.73], [2.46, 4.53, 1.39], [0.0, 0.0, 0.0], [2.44, 6.49, 1.66], [2.18, 0.95, 1.65], [2.49, 2.7, 1.6], [2.39, 3.41, 1.34], [2.43, 7.11, 1.64]]
