00:29:18.199 XYZ [[1.49, 1.91, 1.9], [0.0, 0.0, 0.0]]
00:29:18.299 XYZ [[2.02, 3.38, 1.69], [1.46, 1.96, 1.86], [0.0, 0.0, 0.0], [3.0, 1.5, 1.83]]
00:29:18.383 XYZ [[2.0, 3.36, 1.67], [1.46, 2.01, 1.84], [0.0, 0.0, 0.0], [3.01, 1.5, 1.81]]
00:29:18.467 XYZ [[2.0, 3.38, 1.71], [1.45, 2.03, 1.82], [0.0, 0.0, 0.0], [3.17, 4.47, 1.71], [3.01, 1.5, 1.81]]
00:29:18.550 XYZ [[2.0, 3.41, 1.76], [2.58, 4.13, 1.73], [1.45, 2.03, 1.78], [0.0, 0.0, 0.0], [3.15, 4.45, 1.71], [1.93, 1.22, 1.48], [3.0, 1.51, 1.8], [3.54, 2.77, 1.4]]
00:29:18.634 XYZ [[2.0, 3.41, 1.78], [2.59, 4.13, 1.72], [1.43, 2.04, 1.73], [0.0, 0.0, 0.0], [3.13, 4.45, 1.71], [1.93, 1.23, 1.49], [3.0, 1.52, 1.81], [3.51, 2.78, 1.39], [1.23, 2.87, 1.96]]
00:29:18.717 XYZ [[2.02, 3.42, 1.79], [2.58, 4.14, 1.7], [1.39, 2.09, 1.71], [0.0, 0.0, 0.0], [3.11, 4.44, 1.69], [1.92, 1.23, 1.5], [3.0, 1.51, 1.8], [3.52, 2.77, 1.39], [1.22, 2.87, 1.97]]
00:29:18.801 XYZ [[2.05, 3.45, 1.78], [2.56, 4.17, 1.69], [1.32, 2.12, 1.72], [0.0, 0.0, 0.0], [3.12, 4.45, 1.7], [1.93, 1.24, 1.52], [3.0, 1.52, 1.79], [3.53, 2.76, 1.39], [1.22, 2.88, 1.99]]
00:29:18.884 XYZ [[2.05, 3.47, 1.78], [2.57, 4.21, 1.69], [1.29, 2.13, 1.7], [0.0, 0.0, 0.0], [3.1, 4.44, 1.72], [1.95, 1.23, 1.54], [2.98, 1.52, 1.79], [3.53, 2.73, 1.44], [1.22, 2.87, 1.97]]
00:29:18.968 XYZ [[2.06, 3.51, 1.76], [2.57, 4.22, 1.7], [1.26, 2.12, 1.69], [2.53, 2.59, 1.81], [0.0, 0.0, 0.0], [3.08, 4.42, 1.71], [1.95, 1.22, 1.54], [3.0, 1.52, 1.8], [3.54, 2.71, 1.45], [1.22, 2.87, 1.95]]
00:29:19.052 XYZ [[2.09, 3.53, 1.79], [2.58, 4.24, 1.71], [1.26, 2.11, 1.67], [2.54, 2.59, 1.82], [0.0, 0.0, 0.0], [3.07, 4.41, 1.71], [1.94, 1.22, 1.55], [3.0, 1.54, 1.75], [3.57, 2.71, 1.45], [1.24, 2.88, 1.97]]
00:29:19.136 XYZ [[2.1, 3.53, 1.81], [2.61, 4.29, 1.68], [1.24, 2.1, 1.69], [2.55, 2.63, 1.75], [0.0, 0.0, 0.0], [3.07, 4.39, 1.68], [1.96, 1.21, 1.57], [2.99, 1.59, 1.74], [3.57, 2.69, 1.47], [1.24, 2.89, 1.96]]
00:29:19.219 XYZ [[2.13, 3.55, 1.79], [2.62, 4.31, 1.66], [1.19, 2.04, 1.7], [2.57, 2.63, 1.74], [0.0, 0.0, 0.0], [3.08, 4.38, 1.67], [1.95, 1.21, 1.58], [2.96, 1.62, 1.73], [3.57, 2.69, 1.47], [1.26, 2.89, 1.94]]
00:29:19.303 XYZ [[2.13, 3.55, 1.82], [2.64, 4.33, 1.65], [1.18, 2.02, 1.69], [2.57, 2.63, 1.73], [0.0, 0.0, 0.0], [3.09, 4.37, 1.64], [1.96, 1.21, 1.57], [2.95, 1.65, 1.73], [3.57, 2.7, 1.47], [1.27, 2.9, 1.94]]
00:29:19.386 XYZ [[2.15, 3.56, 1.81], [2.65, 4.35, 1.65], [1.14, 2.02, 1.69], [2.61, 2.61, 1.73], [0.0, 0.0, 0.0], [3.11, 4.39, 1.67], [1.95, 1.2, 1.56], [2.93, 1.67, 1.72], [3.55, 2.72, 1.45], [1.29, 2.91, 1.91]]
00:29:19.469 XYZ [[2.15, 3.55, 1.8], [2.71, 4.35, 1.68], [1.12, 2.06, 1.71], [2.56, 2.63, 1.72], [0.0, 0.0, 0.0], [3.13, 4.4, 1.67], [1.94, 1.21, 1.57], [2.93, 1.68, 1.72], [3.54, 2.72, 1.47], [1.3, 2.91, 1.9]]
00:29:19.553 XYZ [[2.17, 3.56, 1.8], [2.73, 4.36, 1.7], [1.11, 2.05, 1.72], [2.55, 2.63, 1.72], [0.0, 0.0, 0.0], [3.19, 4.41, 1.68], [1.94, 1.21, 1.56], [2.94, 1.69, 1.7], [3.53, 2.74, 1.48], [1.29, 2.91, 1.89]]
00:29:19.636 XYZ [[2.18, 3.54, 1.81], [2.74, 4.38, 1.71], [1.14, 2.08, 1.76], [2.58, 2.63, 1.76], [0.0, 0.0, 0.0], [3.28, 4.39, 1.74], [1.94, 1.2, 1.57], [2.97, 1.72, 1.67], [3.56, 2.75, 1.5], [1.28, 2.91, 1.88]]
00:29:19.720 XYZ [[2.2, 3.52, 1.82], [2.76, 4.37, 1.7], [1.09, 2.04, 1.78], [2.61, 2.62, 1.77], [0.0, 0.0, 0.0], [3.28, 4.4, 1.75], [1.95, 1.22, 1.58], [2.97, 1.73, 1.64], [3.57, 2.75, 1.52], [1.28, 2.91, 1.88]]
00:29:19.803 XYZ [[2.18, 3.5, 1.82], [2.81, 4.36, 1.7], [1.13, 2.02, 1.77], [2.67, 2.6, 1.71], [0.0, 0.0, 0.0], [3.31, 4.41, 1.77], [1.94, 1.22, 1.57], [2.97, 1.75, 1.63], [3.59, 2.75, 1.53], [1.27, 2.9, 1.89]]
