00:33:18.184 XYZ [[3.26, 4.87, 1.69], [3.47, 2.55, 2.07]]
00:33:18.267 XYZ [[3.26, 4.86, 1.7], [3.43, 2.58, 2.05]]
00:33:18.351 XYZ [[3.27, 4.86, 1.69], [3.45, 2.61, 2.04]]
00:33:18.434 XYZ [[3.27, 4.84, 1.72], [3.84, 4.33, 1.79], [3.45, 2.62, 2.03], [0.0, 0.0, 0.0]]
00:33:18.518 XYZ [[3.27, 4.83, 1.73], [3.85, 4.33, 1.78], [3.44, 2.63, 2.02], [0.0, 0.0, 0.0]]
00:33:18.601 XYZ [[3.29, 4.83, 1.74], [3.82, 4.35, 1.78], [3.44, 2.64, 2.02], [0.0, 0.0, 0.0], [2.92, 2.23, 1.62], [1.87, 3.66, 1.68]]
00:33:18.685 XYZ [[3.27, 4.81, 1.74], [3.8, 4.35, 1.76], [3.45, 2.66, 2.02], [0.0, 0.0, 0.0], [2.91, 2.24, 1.62], [1.95, 2.96, 1.77], [1.87, 3.65, 1.68]]
00:33:18.768 XYZ [[3.26, 4.79, 1.72], [3.81, 4.34, 1.74], [3.46, 2.69, 1.98], [0.0, 0.0, 0.0], [4.03, 3.57, 1.39], [2.88, 2.26, 1.59], [1.95, 2.97, 1.77], [1.87, 3.65, 1.68]]
00:33:18.852 XYZ [[3.26, 4.78, 1.72], [3.81, 4.34, 1.73], [3.45, 2.7, 1.97], [0.0, 0.0, 0.0], [4.05, 3.57, 1.4], [2.87, 2.27, 1.57], [1.95, 2.97, 1.78], [1.87, 3.65, 1.69]]
00:33:18.935 XYZ [[3.25, 4.78, 1.68], [3.81, 4.32, 1.73], [3.47, 2.7, 1.93], [0.0, 0.0, 0.0], [4.08, 3.56, 1.41], [2.87, 2.26, 1.58], [1.95, 2.99, 1.78], [1.88, 3.64, 1.66], [2.47, 4.9, 2.06]]
00:33:19.019 XYZ [[3.25, 4.79, 1.67], [3.83, 4.32, 1.74], [3.45, 2.71, 1.87], [1.93, 4.54, 1.61], [0.0, 0.0, 0.0], [4.07, 3.56, 1.45], [2.85, 2.24, 1.58], [1.94, 2.99, 1.78], [1.86, 3.66, 1.64], [2.46, 4.89, 2.04]]
00:33:19.102 XYZ [[3.25, 4.81, 1.67], [3.8, 4.32, 1.74], [3.46, 2.72, 1.85], [1.93, 4.54, 1.61], [0.0, 0.0, 0.0], [4.07, 3.55, 1.46], [2.84, 2.22, 1.57], [1.92, 2.98, 1.8], [1.86, 3.67, 1.63], [2.46, 4.89, 2.01]]
00:33:19.185 XYZ [[3.26, 4.82, 1.65], [3.82, 4.32, 1.75], [3.44, 2.71, 1.82], [1.93, 4.54, 1.62], [0.0, 0.0, 0.0], [4.08, 3.56, 1.48], [2.82, 2.22, 1.58], [1.93, 2.99, 1.82], [1.85, 3.67, 1.63], [2.45, 4.87, 2.0]]
00:33:19.269 XYZ [[3.26, 4.82, 1.66], [3.85, 4.33, 1.75], [3.44, 2.71, 1.8], [1.93, 4.54, 1.62], [0.0, 0.0, 0.0], [4.08, 3.54, 1.54], [2.81, 2.21, 1.61], [1.92, 2.98, 1.84], [1.86, 3.68, 1.62], [2.45, 4.85, 2.0]]
00:33:19.352 XYZ [[3.28, 4.83, 1.68], [3.83, 4.35, 1.75], [3.43, 2.72, 1.78], [1.92, 4.53, 1.64], [0.0, 0.0, 0.0], [4.1, 3.54, 1.56], [2.78, 2.2, 1.62], [1.92, 3.0, 1.86], [1.85, 3.69, 1.61], [2.46, 4.84, 1.99]]
00:33:19.436 XYZ [[3.27, 4.84, 1.67], [3.8, 4.37, 1.73], [3.41, 2.72, 1.81], [1.91, 4.52, 1.63], [0.0, 0.0, 0.0], [4.1, 3.53, 1.6], [2.76, 2.19, 1.62], [1.91, 3.02, 1.87], [1.85, 3.71, 1.61], [2.45, 4.85, 1.99]]
00:33:19.519 XYZ [[3.29, 4.84, 1.67], [3.83, 4.37, 1.77], [3.41, 2.72, 1.81], [1.91, 4.53, 1.64], [0.0, 0.0, 0.0], [4.09, 3.52, 1.61], [2.75, 2.17, 1.64], [1.91, 3.03, 1.88], [1.83, 3.73, 1.62], [2.47, 4.85, 2.01]]
00:33:19.603 XYZ [[3.29, 4.85, 1.65], [3.83, 4.36, 1.76], [3.46, 2.75, 1.77], [1.91, 4.52, 1.64], [0.0, 0.0, 0.0], [4.09, 3.51, 1.61], [2.72, 2.14, 1.63], [1.92, 3.0, 1.83], [1.84, 3.75, 1.63], [2.48, 4.85, 2.01]]
00:33:19.689 XYZ [[3.28, 4.84, 1.64], [3.8, 4.38, 1.75], [3.47, 2.74, 1.72], [1.91, 4.53, 1.64], [0.0, 0.0, 0.0], [4.08, 3.49, 1.64], [2.73, 2.11, 1.62], [1.92, 3.0, 1.82], [1.83, 3.76, 1.63], [2.48, 4.85, 2.01]]
00:33:19.773 XYZ [[3.28, 4.84, 1.64], [3.8, 4.38, 1.74], [3.49, 2.71, 1.7], [1.91, 4.53, 1.64], [0.0, 0.0, 0.0], [4.1, 3.48, 1.67], [2.74, 2.1, 1.63], [1.89, 2.97, 1.92], [1.83, 3.79, 1.63], [2.5, 4.85, 2.01]]
00:33:19.856 XYZ [[3.3, 4.85, 1.64], [3.79, 4.39, 1.74], [3.49, 2.69, 1.69], [1.92, 4.54, 1.67], [0.0, 0.0, 0.0], [4.1, 3.47, 1.68], [2.77, 2.07, 1.65], [1.88, 3.01, 1.94], [1.84, 3.81, 1.64], [2.5, 4.84, 1.99]]
