00:45:18.235 XYZ [[2.32, 3.14, 1.67], [2.78, 3.34, 1.92]]
00:45:18.324 XYZ [[2.33, 3.16, 1.65], [2.74, 3.33, 1.9]]
00:45:18.408 XYZ [[2.31, 3.15, 1.66], [2.65, 3.31, 1.88], [0.0, 0.0, 0.0], [3.7, 4.15, 1.75], [1.01, 4.84, 1.97]]
00:45:18.491 XYZ [[2.35, 3.17, 1.66], [2.57, 3.28, 1.84], [0.0, 0.0, 0.0], [3.74, 4.14, 1.75], [1.01, 4.83, 1.96]]
00:45:18.575 XYZ [[2.36, 3.17, 1.65], [0.88, 3.51, 1.39], [2.53, 3.27, 1.85], [0.0, 0.0, 0.0], [3.83, 4.14, 1.84], [1.02, 4.84, 1.97], [2.94, 4.7, 1.66]]
00:45:18.658 XYZ [[2.39, 3.17, 1.64], [0.9, 3.5, 1.42], [2.44, 3.25, 1.86], [0.0, 0.0, 0.0], [3.79, 4.16, 1.85], [1.02, 4.82, 1.97], [2.94, 4.71, 1.66]]
00:45:18.742 XYZ [[2.4, 3.17, 1.64], [0.96, 3.51, 1.46], [2.43, 3.32, 1.72], [0.0, 0.0, 0.0], [1.23, 5.6, 1.56], [3.81, 4.17, 1.94], [1.01, 4.81, 1.98], [2.94, 4.7, 1.66]]
00:45:18.825 XYZ [[2.39, 3.17, 1.65], [1.01, 3.52, 1.52], [2.45, 3.3, 1.68], [0.0, 0.0, 0.0], [0.7, 4.27, 1.23], [1.22, 5.6, 1.56], [3.86, 4.19, 1.97], [1.0, 4.82, 1.98], [2.94, 4.69, 1.67]]
00:45:18.909 XYZ [[2.42, 3.18, 1.64], [1.05, 3.55, 1.55], [2.44, 3.3, 1.7], [0.0, 0.0, 0.0], [0.68, 4.27, 1.23], [1.22, 5.6, 1.57], [3.89, 4.2, 2.01], [1.0, 4.82, 1.98], [2.92, 4.7, 1.66]]
00:45:18.992 XYZ [[2.44, 3.2, 1.64], [1.08, 3.6, 1.58], [2.41, 3.29, 1.71], [0.0, 0.0, 0.0], [0.68, 4.29, 1.23], [1.21, 5.6, 1.57], [3.94, 4.22, 2.03], [1.02, 4.83, 1.98], [2.95, 4.71, 1.7]]
00:45:19.076 XYZ [[2.47, 3.21, 1.64], [1.14, 3.62, 1.59], [2.34, 3.26, 1.71], [1.67, 5.47, 1.67], [0.0, 0.0, 0.0], [0.68, 4.29, 1.24], [1.22, 5.6, 1.57], [3.9, 4.24, 2.0], [1.03, 4.84, 1.97], [2.93, 4.72, 1.68]]
00:45:19.159 XYZ [[2.46, 3.2, 1.63], [1.13, 3.63, 1.61], [2.37, 3.27, 1.76], [1.67, 5.46, 1.66], [0.0, 0.0, 0.0], [0.68, 4.29, 1.22], [1.2, 5.61, 1.57], [3.91, 4.27, 2.03], [1.03, 4.83, 1.98], [2.93, 4.72, 1.66]]
00:45:19.243 XYZ [[2.43, 3.22, 1.64], [1.13, 3.65, 1.62], [2.35, 3.24, 1.79], [1.67, 5.45, 1.65], [0.0, 0.0, 0.0], [0.66, 4.27, 1.21], [1.2, 5.61, 1.57], [3.82, 4.23, 2.07], [1.02, 4.83, 1.99], [2.93, 4.71, 1.65]]
00:45:19.326 XYZ [[2.43, 3.22, 1.66], [1.14, 3.66, 1.6], [2.3, 3.22, 1.85], [1.68, 5.43, 1.66], [0.0, 0.0, 0.0], [0.62, 4.25, 1.21], [1.19, 5.61, 1.59], [3.8, 4.22, 2.06], [1.02, 4.82, 1.99], [2.93, 4.72, 1.65]]
00:45:19.410 XYZ [[2.42, 3.22, 1.66], [1.15, 3.66, 1.6], [2.41, 3.26, 1.9], [1.69, 5.42, 1.65], [0.0, 0.0, 0.0], [0.6, 4.25, 1.2], [1.2, 5.61, 1.59], [3.8, 4.21, 2.1], [1.03, 4.82, 2.0], [2.93, 4.71, 1.65]]
00:45:19.493 XYZ [[2.4, 3.23, 1.65], [1.11, 3.67, 1.59], [2.44, 3.29, 1.9], [1.68, 5.39, 1.66], [0.0, 0.0, 0.0], [0.58, 4.25, 1.2], [1.18, 5.61, 1.59], [3.66, 4.23, 2.03], [1.03, 4.83, 1.99], [2.92, 4.71, 1.64]]
00:45:19.577 XYZ [[2.41, 3.22, 1.65], [1.12, 3.69, 1.58], [2.43, 3.3, 1.91], [1.68, 5.39, 1.68], [0.0, 0.0, 0.0], [0.6, 4.27, 1.19], [1.19, 5.62, 1.59], [3.65, 4.21, 2.0], [1.01, 4.83, 2.0], [2.92, 4.7, 1.63]]
00:45:19.660 XYZ [[2.4, 3.2, 1.64], [1.13, 3.7, 1.57], [2.51, 3.42, 1.8], [1.69, 5.39, 1.68], [0.0, 0.0, 0.0], [0.6, 4.27, 1.21], [1.21, 5.62, 1.58], [3.63, 4.2, 1.94], [1.02, 4.85, 2.04], [2.92, 4.68, 1.63]]
00:45:19.744 XYZ [[2.37, 3.2, 1.62], [1.15, 3.71, 1.57], [2.59, 3.5, 1.82], [1.67, 5.37, 1.68], [0.0, 0.0, 0.0], [0.6, 4.29, 1.27], [1.2, 5.63, 1.58], [3.6, 4.16, 1.91], [1.0, 4.86, 2.08], [2.94, 4.68, 1.65]]
00:45:19.828 XYZ [[2.36, 3.22, 1.62], [1.15, 3.72, 1.54], [2.63, 3.53, 1.84], [1.68, 5.36, 1.68], [0.0, 0.0, 0.0], [0.6, 4.3, 1.29], [1.21, 5.64, 1.58], [3.58, 4.15, 1.85], [1.01, 4.86, 2.09], [2.94, 4.67, 1.65]]
00:45:19.914 XYZ [[2.36, 3.22, 1.6], [1.13, 3.71, 1.54], [2.68, 3.6, 1.84], [1.69, 5.33, 1.65], [0.0, 0.0, 0.0], [0.61, 4.31, 1.33], [1.2, 5.64, 1.6], [3.54, 4.1, 1.76], [0.99, 4.89, 2.08], [2.94, 4.66, 1.65]]
