01:10:18.231 XYZ [[3.49, 6.1, 1.89], [1.39, 5.6, 1.93]]
01:10:18.321 XYZ [[2.25, 6.3, 1.63], [2.03, 1.98, 1.26], [3.5, 6.09, 1.9], [1.39, 5.61, 1.91]]
01:10:18.405 XYZ [[2.26, 6.32, 1.62], [2.02, 1.95, 1.29], [3.49, 6.07, 1.87], [1.4, 5.63, 1.89], [1.1, 2.95, 1.51]]
01:10:18.489 XYZ [[2.25, 6.32, 1.63], [2.01, 1.95, 1.31], [3.52, 6.09, 1.87], [1.4, 5.64, 1.89], [1.13, 2.97, 1.52]]
01:10:18.572 XYZ [[2.24, 6.32, 1.66], [1.0, 4.7, 1.73], [1.99, 1.94, 1.31], [3.5, 6.1, 1.86], [0.84, 3.87, 1.7], [1.39, 5.64, 1.9], [1.13, 2.98, 1.52]]
01:10:18.656 XYZ [[2.24, 6.32, 1.67], [0.98, 4.69, 1.74], [1.95, 1.95, 1.31], [3.48, 6.13, 1.87], [0.86, 3.89, 1.72], [2.57, 0.26, 1.64], [1.4, 5.66, 1.9], [1.13, 2.99, 1.54], [3.65, 3.24, 1.4]]
01:10:18.739 XYZ [[2.24, 6.32, 1.66], [0.98, 4.69, 1.74], [1.93, 1.98, 1.31], [3.51, 6.15, 1.89], [0.87, 3.89, 1.74], [2.62, 0.15, 1.66], [1.42, 5.65, 1.88], [1.12, 2.98, 1.55], [3.62, 3.25, 1.42]]
01:10:18.823 XYZ [[2.25, 6.3, 1.65], [0.98, 4.69, 1.74], [1.89, 1.97, 1.32], [3.51, 6.15, 1.88], [0.88, 3.91, 1.74], [2.67, 0.13, 1.67], [1.44, 5.66, 1.87], [1.11, 2.97, 1.56], [3.62, 3.24, 1.41]]
01:10:18.906 XYZ [[2.25, 6.29, 1.65], [0.98, 4.65, 1.77], [1.91, 1.96, 1.29], [3.52, 6.16, 1.85], [0.88, 3.9, 1.76], [2.71, 0.12, 1.69], [1.47, 5.67, 1.88], [1.13, 2.96, 1.59], [3.6, 3.24, 1.41]]
01:10:18.990 XYZ [[2.26, 6.27, 1.65], [0.98, 4.65, 1.75], [1.92, 1.95, 1.26], [3.54, 6.17, 1.8], [0.89, 3.9, 1.77], [2.79, 0.05, 1.73], [1.47, 5.67, 1.88], [1.13, 2.94, 1.67], [3.59, 3.24, 1.43]]
01:10:19.073 XYZ [[2.26, 6.27, 1.63], [0.98, 4.65, 1.77], [1.93, 1.95, 1.25], [3.87, 4.59, 1.59], [3.54, 6.16, 1.78], [0.89, 3.91, 1.8], [2.75, 0.03, 1.75], [1.47, 5.65, 1.92], [1.17, 2.96, 1.66], [3.59, 3.25, 1.44]]
01:10:19.157 XYZ [[2.26, 6.26, 1.63], [0.98, 4.65, 1.8], [1.96, 1.95, 1.24], [3.86, 4.6, 1.59], [3.54, 6.16, 1.76], [0.92, 3.93, 1.82], [2.74, 0.06, 1.81], [1.49, 5.66, 1.92], [1.17, 2.97, 1.71], [3.57, 3.25, 1.44]]
01:10:19.240 XYZ [[2.26, 6.27, 1.64], [0.98, 4.66, 1.8], [1.95, 1.95, 1.23], [3.84, 4.6, 1.59], [3.53, 6.15, 1.74], [0.93, 3.94, 1.83], [2.72, 0.03, 1.84], [1.51, 5.67, 1.92], [1.18, 2.98, 1.74], [3.55, 3.25, 1.44]]
01:10:19.324 XYZ [[2.25, 6.27, 1.64], [1.0, 4.66, 1.77], [1.98, 1.9, 1.27], [3.83, 4.6, 1.58], [3.54, 6.15, 1.74], [0.95, 3.95, 1.81], [2.71, 0.07, 1.83], [1.51, 5.65, 1.92], [1.2, 2.99, 1.74], [3.54, 3.24, 1.44]]
01:10:19.407 XYZ [[2.25, 6.27, 1.62], [1.03, 4.68, 1.73], [1.97, 1.94, 1.23], [3.8, 4.6, 1.56], [3.55, 6.16, 1.71], [0.95, 3.96, 1.8], [2.69, 0.13, 1.82], [1.51, 5.64, 1.92], [1.21, 3.0, 1.75], [3.52, 3.21, 1.41]]
01:10:19.491 XYZ [[2.26, 6.3, 1.61], [1.04, 4.69, 1.72], [1.95, 1.93, 1.28], [3.82, 4.62, 1.56], [3.57, 6.16, 1.7], [0.97, 3.99, 1.77], [2.69, 0.22, 1.82], [1.54, 5.65, 1.91], [1.21, 3.0, 1.8], [3.52, 3.19, 1.43]]
01:10:19.575 XYZ [[2.26, 6.3, 1.61], [1.05, 4.69, 1.72], [1.95, 1.95, 1.3], [3.81, 4.63, 1.55], [3.57, 6.15, 1.7], [0.97, 3.99, 1.77], [2.67, 0.25, 1.82], [1.54, 5.64, 1.91], [1.21, 3.0, 1.82], [3.52, 3.2, 1.45]]
01:10:19.658 XYZ [[2.22, 6.28, 1.62], [1.07, 4.7, 1.75], [1.95, 1.95, 1.27], [3.8, 4.63, 1.55], [3.59, 6.13, 1.7], [0.97, 3.99, 1.77], [2.63, 0.3, 1.83], [1.55, 5.62, 1.91], [1.23, 3.02, 1.84], [3.55, 3.21, 1.45]]
01:10:19.741 XYZ [[2.21, 6.28, 1.62], [1.1, 4.7, 1.76], [1.96, 1.92, 1.23], [3.8, 4.62, 1.56], [3.59, 6.1, 1.74], [0.97, 3.99, 1.77], [2.6, 0.36, 1.82], [1.57, 5.59, 1.91], [1.23, 3.01, 1.86], [3.58, 3.18, 1.46]]
01:10:19.825 XYZ [[2.21, 6.27, 1.61], [1.11, 4.71, 1.78], [1.97, 1.89, 1.29], [3.8, 4.62, 1.56], [3.59, 6.1, 1.74], [0.97, 3.99, 1.77], [2.59, 0.4, 1.8], [1.6, 5.54, 1.9], [1.22, 3.0, 1.87], [3.6, 3.16, 1.44]]
01:10:19.908 XYZ [[2.2, 6.28, 1.62], [1.11, 4.72, 1.83], [2.02, 1.87, 1.26], [3.81, 4.61, 1.56], [3.6, 6.08, 1.78], [0.97, 3.99, 1.77], [2.59, 0.41, 1.79], [1.61, 5.5, 1.89], [1.22, 3.0, 1.88], [3.68, 3.13, 1.46]]
01:10:19.992 XYZ [[2.2, 6.29, 1.63], [1.12, 4.72, 1.83], [1.99, 1.84, 1.28], [3.8, 4.6, 1.55], [3.6, 6.09, 1.79], [0.97, 3.99, 1.77], [2.57, 0.43, 1.8], [1.6, 5.49, 1.89], [1.21, 3.0, 1.89], [3.72, 3.1, 1.45]]
01:10:20.076 XYZ [[2.2, 6.29, 1.62], [1.13, 4.73, 1.83], [1.94, 1.8, 1.42], [3.81, 4.61, 1.55], [3.58, 6.08, 1.81], [0.93, 3.86, 1.57], [2.56, 0.44, 1.8], [1.59, 5.46, 1.88], [1.21, 3.0, 1.89], [3.75, 3.08, 1.46]]
01:10:20.159 XYZ [[2.2, 6.29, 1.62], [1.15, 4.73, 1.82], [1.94, 1.8, 1.42], [3.81, 4.61, 1.55], [3.59, 6.09, 1.82], [0.93, 3.86, 1.57], [2.54, 0.45, 1.8], [1.59, 5.46, 1.88], [1.2, 3.0, 1.89], [3.77, 3.07, 1.46]]
01:10:20.242 XYZ [[2.21, 6.27, 1.63], [1.18, 4.75, 1.8], [1.92, 1.77, 1.46], [3.79, 4.61, 1.56], [3.56, 6.09, 1.82], [0.93, 3.87, 1.48], [2.5, 0.47, 1.81], [1.58, 5.41, 1.88], [1.19, 3.01, 1.91], [3.82, 3.04, 1.5]]
01:10:20.326 XYZ [[2.19, 6.26, 1.63], [1.18, 4.77, 1.79], [1.92, 1.82, 1.45], [3.79, 4.61, 1.56], [3.57, 6.08, 1.81], [0.92, 3.89, 1.44], [2.49, 0.48, 1.8], [1.57, 5.39, 1.87], [1.19, 3.0, 1.92], [3.83, 3.04, 1.51]]
01:10:20.409 XYZ [[2.19, 6.27, 1.62], [1.19, 4.79, 1.78], [1.92, 1.79, 1.56], [3.8, 4.6, 1.56], [3.56, 6.08, 1.82], [0.91, 3.89, 1.39], [2.49, 0.52, 1.79], [1.55, 5.38, 1.88], [1.19, 2.98, 1.91], [3.82, 3.05, 1.52]]
01:10:20.493 XYZ [[2.18, 6.27, 1.63], [1.18, 4.8, 1.77], [1.9, 1.72, 1.56], [3.8, 4.6, 1.56], [3.57, 6.1, 1.81], [0.86, 3.89, 1.31], [2.47, 0.53, 1.78], [1.55, 5.37, 1.87], [1.22, 2.93, 1.91], [3.8, 3.05, 1.52]]
01:10:20.576 XYZ [[2.19, 6.28, 1.63], [1.19, 4.8, 1.75], [1.92, 1.72, 1.59], [3.82, 4.6, 1.57], [3.56, 6.07, 1.81], [0.83, 3.88, 1.24], [2.47, 0.45, 1.86], [1.51, 5.36, 1.84], [1.21, 2.91, 1.93], [3.79, 3.07, 1.54]]
01:10:20.662 XYZ [[2.2, 6.28, 1.62], [1.19, 4.8, 1.75], [1.89, 1.73, 1.57], [3.8, 4.6, 1.57], [3.53, 6.05, 1.82], [0.77, 3.86, 1.21], [2.45, 0.46, 1.88], [1.49, 5.36, 1.83], [1.22, 2.9, 1.94], [3.8, 3.09, 1.58]]
01:10:20.746 XYZ [[2.21, 6.28, 1.62], [1.19, 4.8, 1.75], [1.85, 1.71, 1.59], [3.81, 4.61, 1.56], [3.53, 6.06, 1.83], [0.77, 3.86, 1.21], [2.45, 0.47, 1.87], [1.48, 5.36, 1.82], [1.2, 2.93, 1.94], [3.84, 3.11, 1.58]]
01:10:20.829 XYZ [[2.23, 6.28, 1.63], [1.19, 4.8, 1.75], [1.85, 1.72, 1.56], [3.82, 4.62, 1.53], [3.5, 6.05, 1.81], [0.79, 3.9, 1.21], [2.47, 0.49, 1.86], [1.46, 5.36, 1.81], [1.17, 2.92, 1.92], [3.87, 3.13, 1.54]]
01:10:20.913 XYZ [[2.23, 6.28, 1.64], [1.19, 4.8, 1.75], [1.81, 1.74, 1.55], [3.82, 4.62, 1.52], [3.46, 6.02, 1.81], [0.79, 3.94, 1.16], [2.46, 0.5, 1.86], [1.44, 5.37, 1.81], [1.15, 2.96, 1.87], [3.88, 3.16, 1.53]]
01:10:20.999 XYZ [[2.23, 6.27, 1.64], [1.19, 4.8, 1.75], [1.83, 1.74, 1.49], [3.82, 4.63, 1.53], [3.45, 6.0, 1.83], [0.81, 3.96, 1.12], [2.48, 0.51, 1.85], [1.42, 5.39, 1.8], [1.11, 2.99, 1.82], [3.91, 3.19, 1.52]]
